scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
balanceado,Balanceado,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.6632466132986395,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
balanceado,Balanceado,2,C066,CUATRO PONIENTE,Comunal,4,0.5773870627172858,49812,126728,29943,101,1,140,0,0,2,676,1868,94271,88175,318
balanceado,Balanceado,3,I26,SAN PABLO,Intercomunal,2,0.5639825636469636,33063,89662,24215,154,2,139,-1,1,3,883,2751,127334,112390,472
balanceado,Balanceado,4,I11,JOSE JOAQUIN PEREZ,Intercomunal,8,0.5575870061624664,28111,1128669,53252,107,1,139,0,0,3,690,3441,155445,165642,579
balanceado,Balanceado,5,I16,MATTA-VESPUCIO NORTE,Intercomunal,6,0.5502072458808959,34088,84165,18290,126,3,137,-2,2,5,990,4431,189533,183932,705
balanceado,Balanceado,6,I22,PEDRO FONTOVA,Intercomunal,15,0.6358375694312588,16446,1185713,79843,72,3,135,-2,2,7,688,5119,205979,263775,777
balanceado,Balanceado,7,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,7,0.5711097257051089,28110,292020,36471,108,2,134,-1,1,8,800,5919,234089,300246,885
balanceado,Balanceado,8,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,52,0.5933348790706826,4301,335823,85198,62,4,131,-3,3,11,332,6251,238390,385444,947
balanceado,Balanceado,9,C068,SAN CARLOS,Comunal,9,0.5909865190380025,35574,407794,74172,67,3,129,-2,2,13,587,6838,273964,459616,1014
balanceado,Balanceado,10,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,20,0.5479126643297912,9981,470981,43806,147,3,127,-2,2,15,1435,8273,283945,503422,1161
balanceado,Balanceado,11,I14,LO OVALLE,Intercomunal,3,0.5759170752692402,45894,192584,29134,231,1,127,0,0,15,1374,9647,329839,532556,1392
balanceado,Balanceado,12,I04,DEL FERROCARRIL,Intercomunal,26,0.5416348460942249,6753,372165,63476,59,3,125,-2,2,17,652,10299,336592,596032,1451
balanceado,Balanceado,13,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,5,0.5217562837929542,0,64354,33578,156,3,123,-2,2,19,341,10640,336592,629610,1607
balanceado,Balanceado,14,I21,PEDRO DE VALDIVIA,Intercomunal,23,0.5199361330261241,14501,740377,25388,75,1,123,0,0,19,474,11114,351093,654998,1682
balanceado,Balanceado,15,EP-I10,GRAN AVENIDA,Intercomunal,13,0.5114821086495734,16187,21396,11712,124,2,122,-1,1,20,913,12027,367280,666710,1806
balanceado,Balanceado,16,I27,SANTA CECILIA - NONATO COO,Intercomunal,36,0.4878924496545857,24624,24624,14290,124,1,122,0,0,20,644,12671,391904,681000,1930
balanceado,Balanceado,17,I25,SAN FRANCISCO,Intercomunal,46,0.4728387569014382,26575,26575,13574,210,1,122,0,0,20,1001,13672,418479,694574,2140
balanceado,Balanceado,18,I01,BARÓN DE JURAS REALES,Intercomunal,12,0.47278393345847886,16219,16219,9010,123,1,122,0,0,20,781,14453,434698,703584,2263
balanceado,Balanceado,19,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,10,0.44793471886560166,22368,22368,11753,138,1,122,0,0,20,1031,15484,457066,715337,2401
