rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.6632466132986395
2,I26,SAN PABLO,Intercomunal,0.6144144508647507
3,I14,LO OVALLE,Intercomunal,0.6104879829488095
4,C066,CUATRO PONIENTE,Comunal,0.5773870627172858
5,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.5568901634520315
6,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5502072458808959
7,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5320086965515451
8,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5319677891973138
9,C068,SAN CARLOS,Comunal,0.500278693173342
10,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.47744413543222747
11,C006,DOMINGO TOCORNAL,Comunal,0.4710150004827107
12,I01,BARÓN DE JURAS REALES,Intercomunal,0.447984902959432
13,EP-I10,GRAN AVENIDA,Intercomunal,0.44566611016613655
14,I08,GENERAL OSCAR BONILLA,Intercomunal,0.4429885183235589
15,I22,PEDRO FONTOVA,Intercomunal,0.4385252146090737
16,EP-I34,VICUÑA MACKENNA,Intercomunal,0.4368055224633501
17,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.43350905101279563
18,I15,MARTINEZ DE ROZAS,Intercomunal,0.42641558266848545
19,I10,GRAN AVENIDA,Intercomunal,0.40042022675202404
20,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.39924139581601786
21,C029,MARIA ELENA,Comunal,0.3953657241424081
22,C003,CONCHA Y TORO,Comunal,0.3929049875215115
23,I21,PEDRO DE VALDIVIA,Intercomunal,0.3865997842441647
24,I02,CARLOS VALDOVINOS,Intercomunal,0.3849797966707047
25,C050,MAR DE DRAKE,Comunal,0.38275439842006137
26,I04,DEL FERROCARRIL,Intercomunal,0.3782924363041671
27,C060,ROJAS MAGALLANES,Comunal,0.3776735368487652
28,I07,EL GUANACO,Intercomunal,0.3763020807158513
29,I29,SANTA ROSA,Intercomunal,0.3737788006881356
30,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.3695379486581836
31,I09,GENERAL VELASQUEZ,Intercomunal,0.36683264488663614
32,I24,RADAL,Intercomunal,0.3664124492957662
33,C086,LA ESTRELLA,Comunal,0.35609673471698194
34,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.35403046213198464
35,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.3519075845820016
36,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.350168672754678
37,C043,NEPTUNO,Comunal,0.34482230260779995
38,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.34460727476809627
39,C053,CONDELL,Comunal,0.3401854673675568
40,C023,AVENIDA DORSAL,Comunal,0.3374083487470848
41,C061,EL PINAR,Comunal,0.3370658419392852
42,EP-I33,LA CHIMBA,Intercomunal,0.3370005822925432
43,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.3348039976407146
44,I06,DIAGONAL ORIENTE,Intercomunal,0.32841742491310844
45,C078,WALDO TAFF,Comunal,0.3165639875095479
46,I25,SAN FRANCISCO,Intercomunal,0.3126262994972617
47,C041,VISTA HERMOSA,Comunal,0.3071632357036571
48,C032,OBISPO MANUEL UMAÑA,Comunal,0.3071018676187075
49,C044,LOS CERRILLOS,Comunal,0.29716566032400754
50,I13,LO ESPEJO-RIQUELME,Intercomunal,0.29311724749452617
51,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.28334555586771565
52,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.281916818643966
53,C014,JOSE DOMINGO CAÑAS,Comunal,0.2816729129361582
54,C001,SAN EUGENIO,Comunal,0.2806709474590377
55,C087,SALVADOR GUTIERREZ,Comunal,0.2779313436330033
56,I17,MATUCANA,Intercomunal,0.27191447280983744
57,I28,SANTA RAQUEL,Intercomunal,0.2661192761444829
58,C022,LLANURA  - EL DESIERTO,Comunal,0.2634709012598797
59,C007,EDUARDO CASTILLO VELASCO,Comunal,0.26310309294060424
60,C090,SANTO DOMINGO,Comunal,0.26238610957098746
61,C083,ORIENTAL-LAS PARCELAS,Comunal,0.2610060417352075
62,C074,URETA COX,Comunal,0.2575304783253384
63,I18,NUEVA IMPERIAL,Intercomunal,0.2569392089761469
64,C035,PRODIVENCIA,Comunal,0.2549901884596126
65,C063,LONGITUDINAL,Comunal,0.25435700088086893
66,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.2537426151555205
67,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.2514382009730354
68,C015,JOSE MANUEL GUZMAN,Comunal,0.2500406657786039
69,C088,ÑUBLE,Comunal,0.2475581721816966
70,C065,NUEVA SAN MARTIN,Comunal,0.24686312631142657
71,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.24587884507787938
72,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.24435581323837233
73,I31,FERNANDEZ ALBANO,Intercomunal,0.24388860991454317
74,C037,SAN ALFONSO,Comunal,0.24289974460612965
75,C046,EUCALIPTOS,Comunal,0.24113559520404937
76,C028,MADRID,Comunal,0.24081265623491752
77,C030,MAULE,Comunal,0.24053221625127638
78,C034,PEDRO LEON UGALDE,Comunal,0.2404822156016317
79,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.23984384780840462
80,C089,J J PEREZ,Comunal,0.23952873473445788
81,C042,PRINCIPE DE GALES,Comunal,0.2384160652407623
82,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.23297744089940944
83,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.23263012206973174
84,C062,CORONA SUECA,Comunal,0.23245607571136848
85,C011,EYZAGUIRRE,Comunal,0.23109629198712694
86,C013,HEROES DE LA CONCEPCION,Comunal,0.23046310192603195
87,C027,LOS PRESIDENTES,Comunal,0.2299576932154991
88,C009,EL ROSAL - SANTA ELENA,Comunal,0.22865750139735808
89,C047,VIOLETA PARRA,Comunal,0.22809315163667623
90,C033,OBSERVATORIO,Comunal,0.22766887445932235
91,I32,EINSTEIN,Intercomunal,0.22723070590754615
