step,best_population_scenario,best_population_label,best_population_share,best_demand_scenario,best_demand_label,best_demand_share,best_components_scenario,best_components_label,best_components_share,best_joint_pd_scenario,best_joint_pd_label,best_joint_pd_index,best_joint_pdc_scenario,best_joint_pdc_label,best_joint_pdc_index
1,equidad,Equidad,0.08299551632268481,demanda,Demanda,0.06681743963630897,ponderacion_rmc,RMC,0.05714285714285714,demanda,Demanda,0.07044696020390735,demanda,Demanda,0.06601225918355728
2,balanceado,Balanceado,0.15707199709419054,continuidad,Continuidad,0.10995373557679068,continuidad,Continuidad,0.14285714285714285,demanda,Demanda,0.12912354268031706,continuidad,Continuidad,0.11641858684234979
3,educacion,Educación,0.2138685754369128,integracion,Integración,0.17265625717144456,continuidad,Continuidad,0.2,demanda,Demanda,0.17346568676270074,integracion,Integración,0.1674532680496319
4,educacion,Educación,0.26895732425601115,demanda,Demanda,0.23909678500164658,continuidad,Continuidad,0.2571428571428571,demanda,Demanda,0.2250855923601981,continuidad,Continuidad,0.21785967237683476
5,balanceado,Balanceado,0.315795173757075,demanda,Demanda,0.32420433982896335,continuidad,Continuidad,0.3142857142857143,demanda,Demanda,0.2972756270779518,demanda,Demanda,0.2743742275757774
6,balanceado,Balanceado,0.3431970901917268,demanda,Demanda,0.37386991987460827,continuidad,Continuidad,0.37142857142857144,equidad,Equidad,0.33734588573066626,demanda,Demanda,0.31552040467935605
7,equidad,Equidad,0.4005651666091836,demanda,Demanda,0.43586354243042813,continuidad,Continuidad,0.37142857142857144,equidad,Equidad,0.4094348487378451,equidad,Equidad,0.3777184705871348
8,educacion,Educación,0.4665007156222248,demanda,Demanda,0.45685013006176645,demanda,Demanda,0.4,ponderacion_rmc,RMC,0.44670545255467786,equidad,Equidad,0.41122830322350595
9,educacion,Educación,0.5107793201005704,continuidad,Continuidad,0.5748343109446571,continuidad,Continuidad,0.4857142857142857,educacion,Educación,0.4950920393634788,continuidad,Continuidad,0.466713361278964
10,educacion,Educación,0.5700518347087609,continuidad,Continuidad,0.6269907930126034,continuidad,Continuidad,0.5428571428571428,educacion,Educación,0.5672779115896864,continuidad,Continuidad,0.5086898390566431
11,educacion,Educación,0.5996031170804612,integracion,Integración,0.6614102846547151,continuidad,Continuidad,0.5428571428571428,educacion,Educación,0.6075592256750492,demanda,Demanda,0.5457267962951996
12,educacion,Educación,0.6473906864141745,continuidad,Continuidad,0.6900811463295973,continuidad,Continuidad,0.5428571428571428,educacion,Educación,0.6417689899268111,continuidad,Continuidad,0.5789304397365167
13,educacion,Educación,0.658642367168352,balanceado,Balanceado,0.7224349434487918,intermodal,Intermodal,0.5714285714285714,educacion,Educación,0.683737416521875,balanceado,Balanceado,0.6087044369038005
14,educacion,Educación,0.6828035729459809,demanda,Demanda,0.751566535744324,continuidad,Continuidad,0.5714285714285714,educacion,Educación,0.7103370392291201,demanda,Demanda,0.6264687029281876
15,educacion,Educación,0.7238314697164336,ponderacion_rmc,RMC,0.7734589695368159,balanceado,Balanceado,0.5714285714285714,educacion,Educación,0.7390493830466526,ponderacion_rmc,RMC,0.6555164312018338
16,educacion,Educación,0.7238314697164336,educacion,Educación,0.7927957388997512,balanceado,Balanceado,0.5714285714285714,educacion,Educación,0.7583136043080925,balanceado,Balanceado,0.6686035907981962
17,educacion,Educación,0.7508551643931707,educacion,Educación,0.8031340933917146,continuidad,Continuidad,0.6,educacion,Educación,0.7769946288924426,demanda,Demanda,0.6885551021474048
18,educacion,Educación,0.7543857895254233,educacion,Educación,0.8136135819128136,continuidad,Continuidad,0.6,educacion,Educación,0.7839996857191185,demanda,Demanda,0.7054733721974816
19,balanceado,Balanceado,0.7615520088240636,demanda,Demanda,0.8208016210962824,ponderacion_rmc,RMC,0.6,demanda,Demanda,0.791176814960173,demanda,Demanda,0.7179274004496392
20,demanda,Demanda,0.7837937808346538,demanda,Demanda,0.8374669682126059,continuidad,Continuidad,0.6285714285714286,demanda,Demanda,0.8106303745236298,ponderacion_rmc,RMC,0.7332201892860253
21,demanda,Demanda,0.7931643498501275,demanda,Demanda,0.8516527081189064,continuidad,Continuidad,0.6571428571428571,demanda,Demanda,0.8224085289845169,demanda,Demanda,0.7482723526563446
22,demanda,Demanda,0.8004605308100777,demanda,Demanda,0.8737282116421058,continuidad,Continuidad,0.6857142857142857,demanda,Demanda,0.8370943712260918,demanda,Demanda,0.7675867236745374
23,demanda,Demanda,0.8168840192143317,demanda,Demanda,0.8803202261824031,continuidad,Continuidad,0.7142857142857143,demanda,Demanda,0.8486021226983674,fractal_alameda,Fractal,0.7757278355470435
24,educacion,Educación,0.8236520226533173,demanda,Demanda,0.8867148818887699,continuidad,Continuidad,0.7428571428571429,demanda,Demanda,0.8517994505515508,integracion,Integración,0.7872457685168918
25,educacion,Educación,0.8308182419519575,demanda,Demanda,0.8958002728600623,continuidad,Continuidad,0.7428571428571429,demanda,Demanda,0.8604226089672993,integracion,Integración,0.7983894576163229
26,educacion,Educación,0.8432712349856792,demanda,Demanda,0.9006332694211994,balanceado,Balanceado,0.7428571428571429,educacion,Educación,0.8667155475454378,balanceado,Balanceado,0.8089087525550518
27,educacion,Educación,0.8514321608458838,demanda,Demanda,0.9062017718692521,continuidad,Continuidad,0.7714285714285715,educacion,Educación,0.8753386903238957,balanceado,Balanceado,0.8219466254626501
