scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
ciclistas_biogeme,Ciclistas inducidos (Biogeme),1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.7150180885082573,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
ciclistas_biogeme,Ciclistas inducidos (Biogeme),2,EP-I34,VICUÑA MACKENNA,Intercomunal,5,0.5583073246720296,0,0,0,271,2,139,-1,1,3,539,1731,44459,58232,488
ciclistas_biogeme,Ciclistas inducidos (Biogeme),3,I26,SAN PABLO,Intercomunal,3,0.5580785407588081,33063,89662,24215,154,2,138,-1,1,4,883,2614,77522,82447,642
ciclistas_biogeme,Ciclistas inducidos (Biogeme),4,I14,LO OVALLE,Intercomunal,2,0.5576129190047813,45894,53668,20424,228,1,138,0,0,4,1374,3988,123416,102871,870
ciclistas_biogeme,Ciclistas inducidos (Biogeme),5,I25,SAN FRANCISCO,Intercomunal,20,0.7330711122765435,26575,599607,109712,210,2,137,-1,1,5,1001,4989,149991,212583,1080
ciclistas_biogeme,Ciclistas inducidos (Biogeme),6,I11,JOSE JOAQUIN PEREZ,Intercomunal,10,0.5408411043502135,28111,1281032,56159,107,1,137,0,0,5,690,5679,178102,268742,1187
ciclistas_biogeme,Ciclistas inducidos (Biogeme),7,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,18,0.5384717564727108,9981,467175,46473,149,3,135,-2,2,7,1435,7114,188083,315215,1336
ciclistas_biogeme,Ciclistas inducidos (Biogeme),8,C068,SAN CARLOS,Comunal,14,0.5513583914375612,35574,366698,74223,67,3,133,-2,2,9,587,7701,223657,389438,1403
ciclistas_biogeme,Ciclistas inducidos (Biogeme),9,I16,MATTA-VESPUCIO NORTE,Intercomunal,6,0.5234634421223687,34088,84165,18290,126,3,131,-2,2,11,990,8691,257745,407728,1529
ciclistas_biogeme,Ciclistas inducidos (Biogeme),10,I22,PEDRO FONTOVA,Intercomunal,22,0.5971767619797479,16446,1205264,80382,72,3,129,-2,2,13,688,9379,274191,488110,1601
ciclistas_biogeme,Ciclistas inducidos (Biogeme),11,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,4,0.5331653118318042,0,64354,28552,156,3,127,-2,2,15,341,9720,274191,516662,1757
ciclistas_biogeme,Ciclistas inducidos (Biogeme),12,C066,CUATRO PONIENTE,Comunal,7,0.51907901501457,49812,126728,29943,101,1,127,0,0,15,676,10396,324003,546605,1858
ciclistas_biogeme,Ciclistas inducidos (Biogeme),13,I04,DEL FERROCARRIL,Intercomunal,34,0.49741664398463986,6753,436519,68501,59,3,125,-2,2,17,652,11048,330756,615106,1917
ciclistas_biogeme,Ciclistas inducidos (Biogeme),14,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,9,0.48721024199817337,28110,40675,21894,108,2,124,-1,1,18,800,11848,358866,637000,2025
ciclistas_biogeme,Ciclistas inducidos (Biogeme),15,I15,MARTINEZ DE ROZAS,Intercomunal,8,0.462531169791755,0,0,0,251,1,124,0,0,18,640,12488,358866,637000,2276
ciclistas_biogeme,Ciclistas inducidos (Biogeme),16,I06,DIAGONAL ORIENTE,Intercomunal,12,0.46237740043563735,4804,4804,2794,254,1,124,0,0,18,1138,13626,363670,639794,2530
