rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.7150180885082573
2,I14,LO OVALLE,Intercomunal,0.6811390619717375
3,I26,SAN PABLO,Intercomunal,0.5931326335081755
4,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.5751240467845989
5,EP-I34,VICUÑA MACKENNA,Intercomunal,0.5583073246720296
6,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5234634421223687
7,C066,CUATRO PONIENTE,Comunal,0.51907901501457
8,I15,MARTINEZ DE ROZAS,Intercomunal,0.518595463776038
9,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.4964116718897393
10,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.4916163602503147
11,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.4713593486330748
12,I06,DIAGONAL ORIENTE,Intercomunal,0.45473446485931507
13,EP-I10,GRAN AVENIDA,Intercomunal,0.45172686333548284
14,C068,SAN CARLOS,Comunal,0.4515201464217506
15,I01,BARÓN DE JURAS REALES,Intercomunal,0.4362892727786841
16,C006,DOMINGO TOCORNAL,Comunal,0.42846632305629245
17,EP-I33,LA CHIMBA,Intercomunal,0.42108564009905036
18,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.41726561469705503
19,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.41189118489243726
20,I25,SAN FRANCISCO,Intercomunal,0.40865214895636653
21,I08,GENERAL OSCAR BONILLA,Intercomunal,0.4016399334761559
22,I22,PEDRO FONTOVA,Intercomunal,0.38844426551289746
23,I29,SANTA ROSA,Intercomunal,0.3855511137724109
24,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.37781121964840697
25,I02,CARLOS VALDOVINOS,Intercomunal,0.3709776272074579
26,I24,RADAL,Intercomunal,0.3672449758327373
27,I10,GRAN AVENIDA,Intercomunal,0.36486657392114963
28,I21,PEDRO DE VALDIVIA,Intercomunal,0.36420943475113315
29,C029,MARIA ELENA,Comunal,0.3567247571131572
30,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.35655039029155833
31,I07,EL GUANACO,Intercomunal,0.3537645413829591
32,C060,ROJAS MAGALLANES,Comunal,0.3460335202681512
33,C053,CONDELL,Comunal,0.3296522359928393
34,I04,DEL FERROCARRIL,Intercomunal,0.3273072141945243
35,I09,GENERAL VELASQUEZ,Intercomunal,0.3213096173221371
36,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.31888156558551156
37,I13,LO ESPEJO-RIQUELME,Intercomunal,0.31781042777302104
38,C003,CONCHA Y TORO,Comunal,0.31416090702464455
39,C050,MAR DE DRAKE,Comunal,0.30660340056527546
40,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.2975052406138873
41,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.2915496746194061
42,C086,LA ESTRELLA,Comunal,0.2845230093324997
43,C014,JOSE DOMINGO CAÑAS,Comunal,0.2823743292001802
44,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.2802085326805379
45,C023,AVENIDA DORSAL,Comunal,0.2786399579014614
46,C061,EL PINAR,Comunal,0.2734841819649505
47,I17,MATUCANA,Intercomunal,0.2696237429742141
48,C083,ORIENTAL-LAS PARCELAS,Comunal,0.2670712147655788
49,C043,NEPTUNO,Comunal,0.26627063160179626
50,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.26473485914218875
51,C078,WALDO TAFF,Comunal,0.2631562162873176
52,C032,OBISPO MANUEL UMAÑA,Comunal,0.2588361991959208
53,C007,EDUARDO CASTILLO VELASCO,Comunal,0.2543560912879924
54,I28,SANTA RAQUEL,Intercomunal,0.24543453028560053
55,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.24336198295540148
56,C047,VIOLETA PARRA,Comunal,0.24322330127790998
57,I18,NUEVA IMPERIAL,Intercomunal,0.2394479358210364
58,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.2361784489196916
59,C041,VISTA HERMOSA,Comunal,0.235583832755771
60,C001,SAN EUGENIO,Comunal,0.23178797067396792
61,C044,LOS CERRILLOS,Comunal,0.2313834810950989
62,C022,LLANURA  - EL DESIERTO,Comunal,0.22916446150209302
63,I32,EINSTEIN,Intercomunal,0.22550844133680195
64,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.22315425115161255
65,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.22133491905315877
66,C090,SANTO DOMINGO,Comunal,0.22069296607078578
67,C063,LONGITUDINAL,Comunal,0.21745448958458824
68,C034,PEDRO LEON UGALDE,Comunal,0.21497458081943435
69,C088,ÑUBLE,Comunal,0.21410999164155073
70,C028,MADRID,Comunal,0.21345608571844954
71,C074,URETA COX,Comunal,0.21345150143056565
72,I31,FERNANDEZ ALBANO,Intercomunal,0.21252739159483783
73,I03,CARRASCAL,Intercomunal,0.21250707766129948
74,C056,TEMUCO - TORO MAZOTTE,Comunal,0.2115701314419019
75,C087,SALVADOR GUTIERREZ,Comunal,0.21039752826780417
76,C030,MAULE,Comunal,0.20991081415482768
77,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.20593829196073657
78,C062,CORONA SUECA,Comunal,0.20334009431951494
79,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.20178205114702175
80,C048,GENERAL ARRIAGADA,Comunal,0.20019755786136345
81,C033,OBSERVATORIO,Comunal,0.20015733206260883
82,C046,EUCALIPTOS,Comunal,0.19618975975855113
83,C004,CONSISTORIAL,Comunal,0.19605441104810026
84,C069,LOS OLMOS,Comunal,0.19390455819420666
85,C080,PARAGUAY,Comunal,0.1936109851707893
86,C037,SAN ALFONSO,Comunal,0.19201768382824808
87,C089,J J PEREZ,Comunal,0.1914692215142691
88,C065,NUEVA SAN MARTIN,Comunal,0.19122996779584284
89,C011,EYZAGUIRRE,Comunal,0.1903737656291834
90,C015,JOSE MANUEL GUZMAN,Comunal,0.18960468177331652
91,C035,PRODIVENCIA,Comunal,0.18908094919869084
92,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.18466648030243932
93,C027,LOS PRESIDENTES,Comunal,0.18299382515583398
94,C042,PRINCIPE DE GALES,Comunal,0.1824105801875916
95,C009,EL ROSAL - SANTA ELENA,Comunal,0.18029990435815174
96,C026,LOS MAITENES,Comunal,0.18024776614985574
97,C076,ISLA DECEPCION,Comunal,0.17999371251977017
98,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.17888675002243204
99,C012,GABRIELA ORIENTE,Comunal,0.17690033815567452
100,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.17500757546995116
101,C054,VICTORIA,Comunal,0.17470758960201238
102,C013,HEROES DE LA CONCEPCION,Comunal,0.1743374965448725
103,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.17163153599968162
104,C017,LA PARINACOTA,Comunal,0.165128579848105
105,C071,BARROS ARANA,Comunal,0.16451746479014384
106,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.1639294070953937
107,C082,CAUPOLICAN,Comunal,0.16373473682739917
108,C084,EL PINO - UNO SUR,Comunal,0.16161985002307172
109,C031,NECOCHEA,Comunal,0.15780159348001108
110,C008,EL CERRO,Comunal,0.1529399104401457
111,C077,RICARDO VIAL,Comunal,0.1503326114866315
112,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.14908897852462838
113,C079,LAS AMERICAS,Comunal,0.14744018350384308
114,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.14714790065052327
115,C039,TUPUNGATO,Comunal,0.14683077288651858
116,C072,COVADONGA,Comunal,0.14198578441090953
117,C045,PORTO ALEGRE,Comunal,0.14048938720715112
118,C085,LOS LIBERTADORES,Comunal,0.13921316133204648
119,C018,LA PRIMAVERA,Comunal,0.13788652654852657
120,C021,LAUTARO,Comunal,0.13541619523974366
121,C055,ARTURO PRAT,Comunal,0.13183620483021238
122,C073,LOS MORROS,Comunal,0.12911338868955238
123,C016,JUANITA,Comunal,0.12160360526517436
124,C025,LOS DURAZNOS,Comunal,0.10581804103083872
