scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
continuidad,Continuidad de red,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.7213128714343641,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
continuidad,Continuidad de red,2,C006,DOMINGO TOCORNAL,Comunal,5,0.5886031963823608,13425,257783,37594,64,4,137,-3,3,5,439,1631,57884,95826,281
continuidad,Continuidad de red,3,I16,MATTA-VESPUCIO NORTE,Intercomunal,6,0.587635290005539,34088,84165,18290,126,3,135,-2,2,7,990,2621,91972,114116,407
continuidad,Continuidad de red,4,I22,PEDRO FONTOVA,Intercomunal,13,0.6925343859884106,16446,1074728,73950,72,3,133,-2,2,9,688,3309,108418,188066,479
continuidad,Continuidad de red,5,I08,GENERAL OSCAR BONILLA,Intercomunal,11,0.5853676292343275,14953,111752,32869,84,3,131,-2,2,11,595,3904,123371,220935,563
continuidad,Continuidad de red,6,I04,DEL FERROCARRIL,Intercomunal,27,0.6428362677918557,14321,305277,62787,58,3,129,-2,2,13,652,4556,137692,283722,621
continuidad,Continuidad de red,7,I11,JOSE JOAQUIN PEREZ,Intercomunal,9,0.6591788558936381,33712,1357310,68671,107,1,129,0,0,13,690,5246,171404,352393,728
continuidad,Continuidad de red,8,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,8,0.6052858477045523,28110,292020,36471,108,2,128,-1,1,14,800,6046,199514,388864,836
continuidad,Continuidad de red,9,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,34,0.8204104366749876,4301,509829,112111,62,4,125,-3,3,17,332,6378,203815,500975,898
continuidad,Continuidad de red,10,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,16,0.6919358517362515,9981,561447,45455,147,3,123,-2,2,19,1435,7813,213796,546430,1045
continuidad,Continuidad de red,11,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,19,0.5384060076820665,38793,181816,24405,137,1,123,0,0,19,1031,8844,252589,570835,1182
continuidad,Continuidad de red,12,C066,CUATRO PONIENTE,Comunal,10,0.5448238618398709,49812,49812,30579,101,1,123,0,0,19,676,9520,302401,601414,1283
continuidad,Continuidad de red,13,I21,PEDRO DE VALDIVIA,Intercomunal,29,0.5232629964702759,14501,722644,25050,75,1,123,0,0,19,474,9994,316902,626464,1358
