rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.7213128714343641
2,I14,LO OVALLE,Intercomunal,0.6848847273590867
3,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.6768980492641532
4,I26,SAN PABLO,Intercomunal,0.5965290104679533
5,C006,DOMINGO TOCORNAL,Comunal,0.5886031963823608
6,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.587635290005539
7,C068,SAN CARLOS,Comunal,0.5660882265250096
8,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5592070666735997
9,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5511424780545622
10,C066,CUATRO PONIENTE,Comunal,0.5270016546670268
11,I08,GENERAL OSCAR BONILLA,Intercomunal,0.4900305916696513
12,C003,CONCHA Y TORO,Comunal,0.47811742634437077
13,I22,PEDRO FONTOVA,Intercomunal,0.4745781402683058
14,I01,BARÓN DE JURAS REALES,Intercomunal,0.4724178220026327
15,EP-I10,GRAN AVENIDA,Intercomunal,0.4650784166189134
16,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.46175022509834235
17,EP-I34,VICUÑA MACKENNA,Intercomunal,0.4486749522651728
18,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.4472353755329898
19,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.4343370929714473
20,C029,MARIA ELENA,Comunal,0.43233369580314324
21,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.43028655592271164
22,I07,EL GUANACO,Intercomunal,0.42833324095741543
23,I24,RADAL,Intercomunal,0.42757062788614325
24,I02,CARLOS VALDOVINOS,Intercomunal,0.4205353595653468
25,I29,SANTA ROSA,Intercomunal,0.4154756070970643
26,I15,MARTINEZ DE ROZAS,Intercomunal,0.40815296588954836
27,I04,DEL FERROCARRIL,Intercomunal,0.4020562284852301
28,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.400050821645875
29,I21,PEDRO DE VALDIVIA,Intercomunal,0.39972183388626975
30,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.3978975275182277
31,C060,ROJAS MAGALLANES,Comunal,0.3943429486114466
32,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.3932323616475581
33,EP-I33,LA CHIMBA,Intercomunal,0.38871981461863014
34,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.37680561892384523
35,C050,MAR DE DRAKE,Comunal,0.3734770566159973
36,I09,GENERAL VELASQUEZ,Intercomunal,0.36440639930793745
37,I10,GRAN AVENIDA,Intercomunal,0.36325385492060597
38,C022,LLANURA  - EL DESIERTO,Comunal,0.35990216069541586
39,C001,SAN EUGENIO,Comunal,0.3504712763744829
40,C053,CONDELL,Comunal,0.34641880469416103
41,C041,VISTA HERMOSA,Comunal,0.3457889230663217
42,C061,EL PINAR,Comunal,0.34453784299891627
43,C032,OBISPO MANUEL UMAÑA,Comunal,0.3417085348954219
44,C086,LA ESTRELLA,Comunal,0.34123973827588483
45,C074,URETA COX,Comunal,0.33602999172086534
46,I06,DIAGONAL ORIENTE,Intercomunal,0.33383123838778705
47,I13,LO ESPEJO-RIQUELME,Intercomunal,0.32963155262557503
48,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.32917070375337554
49,C044,LOS CERRILLOS,Comunal,0.324868000246572
50,C023,AVENIDA DORSAL,Comunal,0.31790459486721667
51,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.3073279412461284
52,C035,PRODIVENCIA,Comunal,0.3033997749634316
53,I25,SAN FRANCISCO,Intercomunal,0.30050012794327874
54,C078,WALDO TAFF,Comunal,0.3003257891353815
55,C014,JOSE DOMINGO CAÑAS,Comunal,0.29863318017124696
56,C089,J J PEREZ,Comunal,0.2939941728264062
57,I17,MATUCANA,Intercomunal,0.2910912666854916
58,C083,ORIENTAL-LAS PARCELAS,Comunal,0.2891278416138664
59,C007,EDUARDO CASTILLO VELASCO,Comunal,0.28798241518405054
60,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.27905676517686634
61,C088,ÑUBLE,Comunal,0.278243494671927
62,C028,MADRID,Comunal,0.27550844586747425
63,C030,MAULE,Comunal,0.27546340104493927
64,C034,PEDRO LEON UGALDE,Comunal,0.2752735270695933
65,C037,SAN ALFONSO,Comunal,0.2750692385470604
66,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.27432160814423473
67,C042,PRINCIPE DE GALES,Comunal,0.2724299057845071
68,C087,SALVADOR GUTIERREZ,Comunal,0.2721155927790111
69,C043,NEPTUNO,Comunal,0.271818666736464
70,C013,HEROES DE LA CONCEPCION,Comunal,0.2686848134358324
71,C027,LOS PRESIDENTES,Comunal,0.2677013215193376
72,I32,EINSTEIN,Intercomunal,0.26577768758202364
73,C063,LONGITUDINAL,Comunal,0.2580175876186815
74,C090,SANTO DOMINGO,Comunal,0.25801542405893246
75,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.2570900181128705
76,C004,CONSISTORIAL,Comunal,0.25407022520703854
77,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.2539339652688188
78,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.2498980982156539
79,C046,EUCALIPTOS,Comunal,0.24356923092808033
80,C079,LAS AMERICAS,Comunal,0.24047735103133488
81,C011,EYZAGUIRRE,Comunal,0.2403374063291167
82,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.24016555138940848
83,C065,NUEVA SAN MARTIN,Comunal,0.23885652270419921
84,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.23721570233540823
85,C076,ISLA DECEPCION,Comunal,0.23691508579301784
86,C047,VIOLETA PARRA,Comunal,0.2362464246136225
87,C033,OBSERVATORIO,Comunal,0.23547590382610942
88,C009,EL ROSAL - SANTA ELENA,Comunal,0.23545211953431786
89,C017,LA PARINACOTA,Comunal,0.2333822744443017
90,I03,CARRASCAL,Intercomunal,0.23261487552616802
91,C048,GENERAL ARRIAGADA,Comunal,0.2325574341339676
92,C026,LOS MAITENES,Comunal,0.2283067657485815
93,C054,VICTORIA,Comunal,0.2280140426993501
94,C082,CAUPOLICAN,Comunal,0.22753749303002646
95,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.22728162149380726
96,C045,PORTO ALEGRE,Comunal,0.2266868139982972
97,C071,BARROS ARANA,Comunal,0.2265572516765256
98,C012,GABRIELA ORIENTE,Comunal,0.2199079574416374
99,I28,SANTA RAQUEL,Intercomunal,0.21549552408956843
100,I18,NUEVA IMPERIAL,Intercomunal,0.20618442839819176
101,I31,FERNANDEZ ALBANO,Intercomunal,0.20136598473818385
102,C015,JOSE MANUEL GUZMAN,Comunal,0.20030976006730072
103,C084,EL PINO - UNO SUR,Comunal,0.19450773040925237
104,C021,LAUTARO,Comunal,0.19435500341092005
105,C062,CORONA SUECA,Comunal,0.19117280460659924
106,C069,LOS OLMOS,Comunal,0.18693413289448124
107,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.18177304461466276
108,C018,LA PRIMAVERA,Comunal,0.1809614285325999
109,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.17784730949261665
110,C031,NECOCHEA,Comunal,0.17784588503284968
111,C025,LOS DURAZNOS,Comunal,0.1768365870216099
112,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.17522609038451117
113,C056,TEMUCO - TORO MAZOTTE,Comunal,0.1736969998957388
114,C080,PARAGUAY,Comunal,0.17156510301146044
115,C077,RICARDO VIAL,Comunal,0.1702799032733223
116,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.166905167502939
117,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.16528069794176262
118,C072,COVADONGA,Comunal,0.1618246758459676
119,C039,TUPUNGATO,Comunal,0.16141318240644223
120,C008,EL CERRO,Comunal,0.16139568825819717
121,C016,JUANITA,Comunal,0.1585725662099134
122,C055,ARTURO PRAT,Comunal,0.13944283786366174
123,C085,LOS LIBERTADORES,Comunal,0.1339285860083768
124,C073,LOS MORROS,Comunal,0.11571854172232515
