scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
demanda,Demanda potencial,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.7560176571717905,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
demanda,Demanda potencial,2,C066,CUATRO PONIENTE,Comunal,3,0.6097955302543104,49812,126728,29943,101,1,140,0,0,2,676,1868,94271,88175,318
demanda,Demanda potencial,3,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,6,0.5577709290882763,28110,292020,36471,108,2,139,-1,1,3,800,2668,122381,124646,426
demanda,Demanda potencial,4,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,51,0.7209483283254255,4301,335823,83729,62,4,136,-3,3,6,332,3000,126682,208375,488
demanda,Demanda potencial,5,C068,SAN CARLOS,Comunal,7,0.7098153518127217,35574,407794,74172,67,3,134,-2,2,8,587,3587,162256,282547,555
demanda,Demanda potencial,6,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,27,0.5622909525581657,9981,470981,43284,147,3,132,-2,2,10,1435,5022,172237,325831,702
demanda,Demanda potencial,7,I04,DEL FERROCARRIL,Intercomunal,31,0.5896571321315257,14321,272736,54028,58,3,130,-2,2,12,652,5674,186558,379859,760
demanda,Demanda potencial,8,I16,MATTA-VESPUCIO NORTE,Intercomunal,8,0.5406282658100847,34088,84165,18290,126,3,128,-2,2,14,990,6664,220646,398149,886
demanda,Demanda potencial,9,I22,PEDRO FONTOVA,Intercomunal,21,0.8063412471850445,16446,1222146,76683,72,3,126,-2,2,16,688,7352,237092,474832,958
demanda,Demanda potencial,10,I26,SAN PABLO,Intercomunal,5,0.5603127785393234,33063,89662,28028,154,2,125,-1,1,17,883,8235,270155,502860,1112
demanda,Demanda potencial,11,I11,JOSE JOAQUIN PEREZ,Intercomunal,9,0.847125021187446,28111,1500857,67545,107,1,125,0,0,17,690,8925,298266,570405,1219
demanda,Demanda potencial,12,I14,LO OVALLE,Intercomunal,2,0.6015021153485928,38326,185016,25626,232,1,125,0,0,17,1374,10299,336592,596031,1451
demanda,Demanda potencial,13,I21,PEDRO DE VALDIVIA,Intercomunal,20,0.591669459789314,14501,740377,25388,75,1,125,0,0,17,474,10773,351093,621419,1526
demanda,Demanda potencial,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,4,0.6437565288747313,0,64354,33578,156,3,123,-2,2,19,341,11114,351093,654997,1682
demanda,Demanda potencial,15,I25,SAN FRANCISCO,Intercomunal,41,0.5121029684526552,26575,26575,13574,210,1,123,0,0,19,1001,12115,377668,668571,1892
demanda,Demanda potencial,16,I27,SANTA CECILIA - NONATO COO,Intercomunal,43,0.5100470291182635,24624,24624,14290,124,1,123,0,0,19,644,12759,402292,682861,2016
demanda,Demanda potencial,17,EP-I10,GRAN AVENIDA,Intercomunal,12,0.5083493955286618,16187,21396,11712,124,2,122,-1,1,20,913,13672,418479,694573,2140
demanda,Demanda potencial,18,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,11,0.47264410009342467,22368,22368,11753,138,1,122,0,0,20,1031,14703,440847,706326,2278
demanda,Demanda potencial,19,I01,BARÓN DE JURAS REALES,Intercomunal,23,0.4494146234279929,16219,16219,9010,123,1,122,0,0,20,781,15484,457066,715336,2401
demanda,Demanda potencial,20,C063,LONGITUDINAL,Comunal,63,0.3898641857081784,13349,24325,14524,38,1,122,0,0,20,192,15676,470415,729860,2439
demanda,Demanda potencial,21,C086,LA ESTRELLA,Comunal,33,0.37258985636564385,5624,26432,12363,33,2,121,-1,1,21,185,15861,476039,742223,2472
demanda,Demanda potencial,22,EP-I33,LA CHIMBA,Intercomunal,38,0.5994721092516765,4379,306521,19239,198,2,120,-1,1,22,971,16832,480418,761462,2670
demanda,Demanda potencial,23,C053,CONDELL,Comunal,22,0.3994221269577567,9857,9857,5745,74,1,120,0,0,22,280,17112,490275,767207,2744
demanda,Demanda potencial,24,C089,J J PEREZ,Comunal,85,0.38668785860804666,0,9565,5573,20,2,119,-1,1,23,198,17310,490275,772780,2764
demanda,Demanda potencial,25,I08,GENERAL OSCAR BONILLA,Intercomunal,25,0.3824804624507286,4898,13286,7918,87,1,119,0,0,23,595,17905,495173,780698,2851
demanda,Demanda potencial,26,C046,EUCALIPTOS,Comunal,83,0.3748883260629366,16,7223,4212,30,2,118,-1,1,24,206,18111,495189,784910,2881
demanda,Demanda potencial,27,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,71,0.3787031200305492,8320,8320,4853,37,1,118,0,0,24,259,18370,503509,789763,2918
demanda,Demanda potencial,28,I29,SANTA ROSA,Intercomunal,36,0.40017109858472094,5202,5202,2827,132,2,117,-1,1,25,710,19080,508711,792590,3050
demanda,Demanda potencial,29,C035,PRODIVENCIA,Comunal,77,0.36746358447481176,0,11942,7334,2,2,116,-1,1,26,33,19113,508711,799924,3052
demanda,Demanda potencial,30,I13,LO ESPEJO-RIQUELME,Intercomunal,50,0.3650853050258115,5121,10062,4569,124,2,115,-1,1,27,700,19813,513832,804493,3176
demanda,Demanda potencial,31,I06,DIAGONAL ORIENTE,Intercomunal,39,0.3638818071963802,4804,4804,2894,251,1,115,0,0,27,1138,20951,518636,807387,3427
demanda,Demanda potencial,32,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,37,0.35783946611984385,3082,11698,5585,47,2,114,-1,1,28,336,21287,521718,812972,3474
demanda,Demanda potencial,33,I03,CARRASCAL,Intercomunal,90,0.4263709146063547,0,16584,9569,61,2,113,-1,1,29,442,21729,521718,822541,3535
demanda,Demanda potencial,34,C029,MARIA ELENA,Comunal,13,0.3453967289617205,7474,7474,4249,55,1,113,0,0,29,270,21999,529192,826790,3590
demanda,Demanda potencial,35,C060,ROJAS MAGALLANES,Comunal,19,0.34477883644583024,6013,6013,3413,66,1,113,0,0,29,395,22394,535205,830203,3656
demanda,Demanda potencial,36,I28,SANTA RAQUEL,Intercomunal,57,0.399419011111898,10375,10375,5709,66,1,113,0,0,29,300,22694,545580,835912,3722
demanda,Demanda potencial,37,EP-I34,VICUÑA MACKENNA,Intercomunal,28,0.33710273676549757,0,0,0,274,2,112,-1,1,30,539,23233,545580,835912,3996
demanda,Demanda potencial,38,C056,TEMUCO - TORO MAZOTTE,Comunal,81,0.33323148901651,8042,8042,4827,85,1,112,0,0,30,186,23419,553622,840739,4081
demanda,Demanda potencial,39,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,16,0.3261069227460534,4221,4221,2516,109,1,112,0,0,30,644,24063,557843,843255,4190
demanda,Demanda potencial,40,C006,DOMINGO TOCORNAL,Comunal,10,0.3206437128306379,0,4416,2578,70,2,111,-1,1,31,439,24502,557843,845833,4260
demanda,Demanda potencial,41,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,64,0.30055044801172914,5025,5025,2899,66,1,111,0,0,31,361,24863,562868,848732,4326
demanda,Demanda potencial,42,C050,MAR DE DRAKE,Comunal,18,0.2825310065993187,0,10761,2704,31,1,111,0,0,31,177,25040,562868,851436,4357
demanda,Demanda potencial,43,C085,LOS LIBERTADORES,Comunal,115,0.279145275689465,5017,5017,2992,8,1,111,0,0,31,177,25217,567885,854428,4365
demanda,Demanda potencial,44,I15,MARTINEZ DE ROZAS,Intercomunal,26,0.27804946397134234,0,0,0,254,1,111,0,0,31,640,25857,567885,854428,4619
demanda,Demanda potencial,45,I09,GENERAL VELASQUEZ,Intercomunal,34,0.2779487996584176,735,4715,2016,73,1,111,0,0,31,643,26500,568620,856444,4692
demanda,Demanda potencial,46,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,100,0.27392108834174433,0,5802,3562,5,2,110,-1,1,32,49,26549,568620,860006,4697
demanda,Demanda potencial,47,C026,LOS MAITENES,Comunal,101,0.2695654556904073,0,6013,3587,30,2,109,-1,1,33,150,26699,568620,863593,4727
