rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.7560176571717905
2,I14,LO OVALLE,Intercomunal,0.7156561067671524
3,C066,CUATRO PONIENTE,Comunal,0.6097955302543104
4,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.6077220291318478
5,I26,SAN PABLO,Intercomunal,0.5566620699174448
6,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5565411457901958
7,C068,SAN CARLOS,Comunal,0.5449913179835277
8,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5406282658100847
9,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5085445640894158
10,C006,DOMINGO TOCORNAL,Comunal,0.5028685708056829
11,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.46685414937561553
12,EP-I10,GRAN AVENIDA,Intercomunal,0.4649155287716072
13,C029,MARIA ELENA,Comunal,0.42068214400476345
14,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.4148874582398021
15,C003,CONCHA Y TORO,Comunal,0.4089750727626218
16,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.3965252319840389
17,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.3937422471882709
18,C050,MAR DE DRAKE,Comunal,0.38955276765463287
19,C060,ROJAS MAGALLANES,Comunal,0.3860730474350308
20,I21,PEDRO DE VALDIVIA,Intercomunal,0.38465947192151506
21,I22,PEDRO FONTOVA,Intercomunal,0.3842500279841407
22,C053,CONDELL,Comunal,0.38112531748395845
23,I01,BARÓN DE JURAS REALES,Intercomunal,0.3745812258018351
24,I24,RADAL,Intercomunal,0.3557247949279333
25,I08,GENERAL OSCAR BONILLA,Intercomunal,0.35289132131523504
26,I15,MARTINEZ DE ROZAS,Intercomunal,0.3514777508226029
27,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.3453897904881352
28,EP-I34,VICUÑA MACKENNA,Intercomunal,0.33610285579894594
29,I10,GRAN AVENIDA,Intercomunal,0.3356552050451905
30,I07,EL GUANACO,Intercomunal,0.32915860846812034
31,I04,DEL FERROCARRIL,Intercomunal,0.32029315360687366
32,C032,OBISPO MANUEL UMAÑA,Comunal,0.31506982084293916
33,C086,LA ESTRELLA,Comunal,0.3095302468520726
34,I09,GENERAL VELASQUEZ,Intercomunal,0.30242518806493945
35,I02,CARLOS VALDOVINOS,Intercomunal,0.29965229097768675
36,I29,SANTA ROSA,Intercomunal,0.2972088917659602
37,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.2894231471443881
38,EP-I33,LA CHIMBA,Intercomunal,0.2810972414998436
39,I06,DIAGONAL ORIENTE,Intercomunal,0.28031056749814687
40,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.2787936316280544
41,I25,SAN FRANCISCO,Intercomunal,0.275840694684236
42,C043,NEPTUNO,Comunal,0.27497987532440704
43,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.27093090852258894
44,C023,AVENIDA DORSAL,Comunal,0.2676439852866633
45,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.26493654087128504
46,C061,EL PINAR,Comunal,0.25816880724785507
47,C044,LOS CERRILLOS,Comunal,0.25412884414795145
48,C078,WALDO TAFF,Comunal,0.24077696067607918
