scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
educacion,Educación superior,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.7440616983480424,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
educacion,Educación superior,2,C066,CUATRO PONIENTE,Comunal,4,0.6591413720101017,49812,126728,29943,101,1,140,0,0,2,676,1868,94271,88175,318
educacion,Educación superior,3,I16,MATTA-VESPUCIO NORTE,Intercomunal,5,0.6408465316416821,34088,84165,18290,126,3,138,-2,2,4,990,2858,128359,106465,444
educacion,Educación superior,4,I26,SAN PABLO,Intercomunal,3,0.6278204445403901,33063,89662,24215,154,2,137,-1,1,5,883,3741,161422,130680,598
educacion,Educación superior,5,I22,PEDRO FONTOVA,Intercomunal,13,0.566260742079495,16446,1153393,75914,72,3,135,-2,2,7,688,4429,177868,206594,670
educacion,Educación superior,6,I11,JOSE JOAQUIN PEREZ,Intercomunal,6,0.5832857395327496,28111,1232013,57182,107,1,135,0,0,7,690,5119,205979,263776,777
educacion,Educación superior,7,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,10,0.5382543887355741,28110,292020,36471,108,2,134,-1,1,8,800,5919,234089,300247,885
educacion,Educación superior,8,I14,LO OVALLE,Intercomunal,2,0.5421154645721677,45894,53668,22783,228,1,134,0,0,8,1374,7293,279983,323030,1113
educacion,Educación superior,9,I25,SAN FRANCISCO,Intercomunal,23,0.6081439701143264,26575,371327,94777,210,2,133,-1,1,9,1001,8294,306558,417807,1323
educacion,Educación superior,10,C068,SAN CARLOS,Comunal,9,0.6250618535691677,35574,407373,74165,67,3,131,-2,2,11,587,8881,342132,491972,1390
educacion,Educación superior,11,EP-I10,GRAN AVENIDA,Intercomunal,15,0.5234665852065894,17736,514724,44457,123,2,130,-1,1,12,913,9794,359868,536429,1513
educacion,Educación superior,12,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,7,0.4471634668066996,28681,177796,17981,138,1,130,0,0,12,1031,10825,388549,554410,1651
educacion,Educación superior,13,I04,DEL FERROCARRIL,Intercomunal,22,0.47425724802373614,6753,370784,63346,59,3,128,-2,2,14,652,11477,395302,617756,1710
educacion,Educación superior,14,I21,PEDRO DE VALDIVIA,Intercomunal,24,0.4365209177313318,14501,736076,25307,75,1,128,0,0,14,474,11951,409803,643063,1785
educacion,Educación superior,15,I27,SANTA CECILIA - NONATO COO,Intercomunal,18,0.45105519169924196,24624,24624,14290,124,1,128,0,0,14,644,12595,434427,657353,1909
educacion,Educación superior,16,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,11,0.44034471276234544,0,64354,33578,156,3,126,-2,2,16,341,12936,434427,690931,2065
educacion,Educación superior,17,I01,BARÓN DE JURAS REALES,Intercomunal,19,0.4096946382628129,16219,16219,9010,123,1,126,0,0,16,781,13717,450646,699941,2188
educacion,Educación superior,18,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,12,0.3507104809750942,2119,18003,9133,150,3,124,-2,2,18,1435,15152,452765,709074,2338
educacion,Educación superior,19,EP-I34,VICUÑA MACKENNA,Intercomunal,29,0.32730628432557746,0,0,0,271,2,123,-1,1,19,539,15691,452765,709074,2609
educacion,Educación superior,20,C063,LONGITUDINAL,Comunal,52,0.3223444314854631,13349,24325,14524,38,1,123,0,0,19,192,15883,466114,723598,2647
educacion,Educación superior,21,C086,LA ESTRELLA,Comunal,36,0.31407919745595075,5624,26432,12363,33,2,122,-1,1,20,185,16068,471738,735961,2680
educacion,Educación superior,22,EP-I33,LA CHIMBA,Intercomunal,45,0.4076363486622943,4379,306521,19239,198,2,121,-1,1,21,971,17039,476117,755200,2878
educacion,Educación superior,23,C053,CONDELL,Comunal,35,0.3292593523041843,9857,9857,5745,74,1,121,0,0,21,280,17319,485974,760945,2952
educacion,Educación superior,24,I10,GRAN AVENIDA,Intercomunal,14,0.31015540482051873,8363,8363,4326,81,1,121,0,0,21,448,17767,494337,765271,3033
educacion,Educación superior,25,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,55,0.3052576486215573,4301,12567,6265,64,3,119,-2,2,23,332,18099,498638,771536,3097
educacion,Educación superior,26,C029,MARIA ELENA,Comunal,26,0.29522362174872635,7474,7474,4249,55,1,119,0,0,23,270,18369,506112,775785,3152
educacion,Educación superior,27,I08,GENERAL OSCAR BONILLA,Intercomunal,8,0.29421131747926194,4898,13286,7918,87,1,119,0,0,23,595,18964,511010,783703,3239
educacion,Educación superior,28,C060,ROJAS MAGALLANES,Comunal,28,0.29044026222269953,6013,6013,3413,66,1,119,0,0,23,395,19359,517023,787116,3305
educacion,Educación superior,29,I28,SANTA RAQUEL,Intercomunal,56,0.33789083191106606,10375,10375,5709,66,1,119,0,0,23,300,19659,527398,792825,3371
educacion,Educación superior,30,I29,SANTA ROSA,Intercomunal,39,0.3391988577282074,5202,5202,2827,132,2,118,-1,1,24,710,20369,532600,795652,3503
educacion,Educación superior,31,I06,DIAGONAL ORIENTE,Intercomunal,53,0.29029221572535413,4804,4804,2894,254,1,118,0,0,24,1138,21507,537404,798546,3757
educacion,Educación superior,32,C089,J J PEREZ,Comunal,74,0.2886175707317867,0,9565,5573,20,2,117,-1,1,25,198,21705,537404,804119,3777
educacion,Educación superior,33,C046,EUCALIPTOS,Comunal,89,0.3076986049005963,16,7223,4212,30,2,116,-1,1,26,206,21911,537420,808331,3807
educacion,Educación superior,34,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,63,0.3258361208284491,8320,8320,4853,37,1,116,0,0,26,259,22170,545740,813184,3844
educacion,Educación superior,35,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,16,0.28147474500516706,4221,4221,2516,109,1,116,0,0,26,644,22814,549961,815700,3953
educacion,Educación superior,36,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,32,0.28122959320518853,3082,11698,5585,47,2,115,-1,1,27,336,23150,553043,821285,4000
educacion,Educación superior,37,I03,CARRASCAL,Intercomunal,105,0.30998298553151976,0,16584,9569,61,2,114,-1,1,28,442,23592,553043,830854,4061
educacion,Educación superior,38,C035,PRODIVENCIA,Comunal,60,0.2793402337454376,0,11942,7334,2,2,113,-1,1,29,33,23625,553043,838188,4063
educacion,Educación superior,39,I09,GENERAL VELASQUEZ,Intercomunal,27,0.2657766575838931,735,9656,3912,73,1,113,0,0,29,643,24268,553778,842100,4136
