rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.7440616983480424
2,I14,LO OVALLE,Intercomunal,0.7088756059816531
3,I26,SAN PABLO,Intercomunal,0.6817767228944737
4,C066,CUATRO PONIENTE,Comunal,0.6591413720101017
5,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.6408465316416821
6,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.6017818314969422
7,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.55638436689267
8,I08,GENERAL OSCAR BONILLA,Intercomunal,0.5378571978264814
9,C068,SAN CARLOS,Comunal,0.531226910080942
10,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5110068301358187
11,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.506526402115196
12,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.4383171323868003
13,I22,PEDRO FONTOVA,Intercomunal,0.4359746904264888
14,I10,GRAN AVENIDA,Intercomunal,0.42759032175860134
15,EP-I10,GRAN AVENIDA,Intercomunal,0.42551105625507185
16,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.4206729546680224
17,C006,DOMINGO TOCORNAL,Comunal,0.41119443409341144
18,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.4062812099984026
19,I01,BARÓN DE JURAS REALES,Intercomunal,0.3976515841220207
20,I24,RADAL,Intercomunal,0.3637467751111181
21,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.3587766583954023
22,I04,DEL FERROCARRIL,Intercomunal,0.3544195210760613
23,I25,SAN FRANCISCO,Intercomunal,0.35239905464705035
24,I21,PEDRO DE VALDIVIA,Intercomunal,0.33845942463420753
25,I15,MARTINEZ DE ROZAS,Intercomunal,0.33461239830510126
26,C029,MARIA ELENA,Comunal,0.3340168944161301
27,I09,GENERAL VELASQUEZ,Intercomunal,0.3288399218699254
28,C060,ROJAS MAGALLANES,Comunal,0.32806313191376907
29,EP-I34,VICUÑA MACKENNA,Intercomunal,0.32730628432557746
30,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.31962138313764704
31,I02,CARLOS VALDOVINOS,Intercomunal,0.31909050936867334
32,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.3156520527946971
33,C050,MAR DE DRAKE,Comunal,0.3090445973752414
34,I07,EL GUANACO,Intercomunal,0.3089216553840852
35,C053,CONDELL,Comunal,0.30858727790007806
36,C086,LA ESTRELLA,Comunal,0.3050653078442123
37,C003,CONCHA Y TORO,Comunal,0.30052332766108925
38,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.2941398125246384
39,I29,SANTA ROSA,Intercomunal,0.2940677927616907
40,I13,LO ESPEJO-RIQUELME,Intercomunal,0.28648498892498625
41,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.2829953870530235
42,C023,AVENIDA DORSAL,Comunal,0.28179872616464546
43,C041,VISTA HERMOSA,Comunal,0.279411155606089
44,C044,LOS CERRILLOS,Comunal,0.27809695602660567
45,EP-I33,LA CHIMBA,Intercomunal,0.275155220912756
46,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.27166178648708533
47,C032,OBISPO MANUEL UMAÑA,Comunal,0.2709648322822232
48,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.2674790200746312
49,C065,NUEVA SAN MARTIN,Comunal,0.26643058175055284
