scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
eficiencia,Eficiencia presupuestaria,1,I26,SAN PABLO,Intercomunal,1,0.6046558828980009,38151,89662,23411,154,2,141,-1,1,1,883,883,38151,23411,154
eficiencia,Eficiencia presupuestaria,2,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,2,0.5996515187759651,0,554542,50875,149,4,138,-3,3,4,341,1224,38151,74286,303
eficiencia,Eficiencia presupuestaria,3,I11,JOSE JOAQUIN PEREZ,Intercomunal,5,0.585721979580608,28111,1142354,57083,107,1,138,0,0,4,690,1914,66262,131369,410
eficiencia,Eficiencia presupuestaria,4,C066,CUATRO PONIENTE,Comunal,3,0.58211119139438,49812,126728,29943,101,1,138,0,0,4,676,2590,116074,161312,511
eficiencia,Eficiencia presupuestaria,5,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,6,0.5456112183783682,28110,289542,36209,108,2,137,-1,1,5,800,3390,144184,197521,619
eficiencia,Eficiencia presupuestaria,6,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,65,0.585555813805907,4301,335823,81103,62,4,134,-3,3,8,332,3722,148485,278624,681
eficiencia,Eficiencia presupuestaria,7,C068,SAN CARLOS,Comunal,7,0.5901337590837372,35574,405316,74125,67,3,132,-2,2,10,587,4309,184059,352749,748
eficiencia,Eficiencia presupuestaria,8,I10,GRAN AVENIDA,Intercomunal,11,0.5811222313782309,38695,313845,31188,76,1,132,0,0,10,448,4757,222754,383937,824
eficiencia,Eficiencia presupuestaria,9,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,4,0.5064937672410654,39371,69324,26475,223,2,131,-1,1,11,1192,5949,262125,410412,1047
eficiencia,Eficiencia presupuestaria,10,I04,DEL FERROCARRIL,Intercomunal,44,0.5287273505261881,14321,414801,66725,58,3,129,-2,2,13,652,6601,276446,477137,1105
eficiencia,Eficiencia presupuestaria,11,EP-I10,GRAN AVENIDA,Intercomunal,26,0.5058141882363041,6553,628591,39221,126,2,128,-1,1,14,913,7514,282999,516358,1231
eficiencia,Eficiencia presupuestaria,12,I16,MATTA-VESPUCIO NORTE,Intercomunal,10,0.503484181922536,34088,84165,18290,126,3,126,-2,2,16,990,8504,317087,534648,1357
eficiencia,Eficiencia presupuestaria,13,I22,PEDRO FONTOVA,Intercomunal,24,0.6591368364854632,16446,1409468,84453,72,3,124,-2,2,18,688,9192,333533,619101,1429
eficiencia,Eficiencia presupuestaria,14,I21,PEDRO DE VALDIVIA,Intercomunal,22,0.5370108619236197,14501,740377,25388,75,1,124,0,0,18,474,9666,348034,644489,1504
eficiencia,Eficiencia presupuestaria,15,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,13,0.5475040740499305,44866,186874,26273,137,1,124,0,0,18,1031,10697,392900,670762,1641
eficiencia,Eficiencia presupuestaria,16,I27,SANTA CECILIA - NONATO COO,Intercomunal,33,0.52313556849311,24624,24624,14290,124,1,124,0,0,18,644,11341,417524,685052,1765
