scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
equidad,Equidad territorial,1,C066,CUATRO PONIENTE,Comunal,1,0.6977868680693263,49812,126728,29943,101,1,142,0,0,0,676,676,49812,29943,101
equidad,Equidad territorial,2,I26,SAN PABLO,Intercomunal,2,0.6712129136425887,38151,89662,23411,154,2,141,-1,1,1,883,1559,87963,53354,255
equidad,Equidad territorial,3,I16,MATTA-VESPUCIO NORTE,Intercomunal,4,0.6033046292122374,34088,84165,18290,126,3,139,-2,2,3,990,2549,122051,71644,381
equidad,Equidad territorial,4,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,34,0.5646820746140193,20704,62835,4563,144,3,137,-2,2,5,1435,3984,142755,76207,525
equidad,Equidad territorial,5,I14,LO OVALLE,Intercomunal,11,0.5548423480352437,45894,686274,70565,230,3,135,-2,2,7,1374,5358,188649,146772,755
equidad,Equidad territorial,6,EP-I10,GRAN AVENIDA,Intercomunal,36,0.706974951069181,16187,700404,143789,124,3,133,-2,2,9,913,6271,204836,290561,879
equidad,Equidad territorial,7,C068,SAN CARLOS,Comunal,12,0.6039864141586629,35574,356554,73996,67,3,131,-2,2,11,587,6858,240410,364557,946
equidad,Equidad territorial,8,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,13,0.5601498789613367,28110,40675,21894,108,2,130,-1,1,12,800,7658,268520,386451,1054
equidad,Equidad territorial,9,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,9,0.5464788866907032,18972,52321,16254,107,1,130,0,0,12,644,8302,287492,402705,1161
equidad,Equidad territorial,10,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,6,0.5424327798497833,28648,28648,14411,219,1,130,0,0,12,1192,9494,316140,417116,1380
equidad,Equidad territorial,11,I27,SANTA CECILIA - NONATO COO,Intercomunal,37,0.5181267821969834,24624,24624,13795,124,1,130,0,0,12,644,10138,340764,430911,1504
equidad,Equidad territorial,12,I11,JOSE JOAQUIN PEREZ,Intercomunal,3,0.5207555487819041,28111,1353851,57622,107,1,130,0,0,12,690,10828,368875,488533,1611
equidad,Equidad territorial,13,I10,GRAN AVENIDA,Intercomunal,41,0.5263966747982013,8363,8363,4326,81,1,130,0,0,12,448,11276,377238,492859,1692
equidad,Equidad territorial,14,I29,SANTA ROSA,Intercomunal,30,0.5421858268670647,5202,5202,2827,132,2,129,-1,1,13,710,11986,382440,495686,1824
equidad,Equidad territorial,15,I04,DEL FERROCARRIL,Intercomunal,18,0.5098758880222448,6753,372165,60863,59,3,127,-2,2,15,652,12638,389193,556549,1883
equidad,Equidad territorial,16,I22,PEDRO FONTOVA,Intercomunal,5,0.5073067742730876,5297,1352937,70599,73,3,125,-2,2,17,688,13326,394490,627148,1956
equidad,Equidad territorial,17,I21,PEDRO DE VALDIVIA,Intercomunal,42,0.49808167725268904,14501,760700,25802,75,1,125,0,0,17,474,13800,408991,652950,2031
equidad,Equidad territorial,18,I25,SAN FRANCISCO,Intercomunal,50,0.5003693887551713,26575,26575,13574,210,1,125,0,0,17,1001,14801,435566,666524,2241
equidad,Equidad territorial,19,C089,J J PEREZ,Comunal,71,0.4961861657772556,0,9565,5573,19,2,124,-1,1,18,198,14999,435566,672097,2260
equidad,Equidad territorial,20,C046,EUCALIPTOS,Comunal,73,0.5019388004674836,16,7223,4212,30,2,123,-1,1,19,206,15205,435582,676309,2290
equidad,Equidad territorial,21,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,61,0.5189963262767716,12471,12471,7274,36,1,123,0,0,19,259,15464,448053,683583,2326
equidad,Equidad territorial,22,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,88,0.5234049551498084,0,5802,3562,5,2,122,-1,1,20,49,15513,448053,687145,2331
equidad,Equidad territorial,23,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,29,0.5034451326607015,0,64354,33578,156,3,120,-2,2,22,341,15854,448053,720723,2487
