rank,id,nombre,escala,score
1,C066,CUATRO PONIENTE,Comunal,0.6977868680693263
2,I26,SAN PABLO,Intercomunal,0.6712129136425887
3,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.6147716619355102
4,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.6033046292122374
5,I22,PEDRO FONTOVA,Intercomunal,0.5730390410416615
6,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.5712463809859107
7,I01,BARÓN DE JURAS REALES,Intercomunal,0.5702520123603033
8,I15,MARTINEZ DE ROZAS,Intercomunal,0.5628381704464497
9,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.5591126077799005
10,I08,GENERAL OSCAR BONILLA,Intercomunal,0.5519339628865887
11,I14,LO OVALLE,Intercomunal,0.535613891759807
12,C068,SAN CARLOS,Comunal,0.5342776429112873
13,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5145417219720146
14,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.5139184707413584
15,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.5126163560551469
16,C086,LA ESTRELLA,Comunal,0.5120437800359288
17,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.5065239755320068
18,I04,DEL FERROCARRIL,Intercomunal,0.5013312233454696
19,C061,EL PINAR,Comunal,0.4997996248164191
20,C050,MAR DE DRAKE,Comunal,0.4981123077479573
21,C006,DOMINGO TOCORNAL,Comunal,0.4962132942485289
22,C043,NEPTUNO,Comunal,0.49616666168379936
23,I07,EL GUANACO,Intercomunal,0.4927171665090921
24,C023,AVENIDA DORSAL,Comunal,0.4920543583398218
25,I02,CARLOS VALDOVINOS,Intercomunal,0.4756644373321878
26,C078,WALDO TAFF,Comunal,0.4652887181441547
27,C087,SALVADOR GUTIERREZ,Comunal,0.45446316200724685
28,C041,VISTA HERMOSA,Comunal,0.45284706496791716
29,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.45096501940200356
30,I29,SANTA ROSA,Intercomunal,0.44628407751847093
31,I09,GENERAL VELASQUEZ,Intercomunal,0.43872035300977075
32,EP-I34,VICUÑA MACKENNA,Intercomunal,0.4365124528771578
33,C029,MARIA ELENA,Comunal,0.43536121966695884
34,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.4328872028191474
35,C003,CONCHA Y TORO,Comunal,0.427707848481885
36,EP-I10,GRAN AVENIDA,Intercomunal,0.4243477037419507
37,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.40201015528944967
38,C060,ROJAS MAGALLANES,Comunal,0.39360504614966063
39,I24,RADAL,Intercomunal,0.3872335236688706
40,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.3871015076459957
41,I10,GRAN AVENIDA,Intercomunal,0.38210311787008383
42,I21,PEDRO DE VALDIVIA,Intercomunal,0.35842818101071916
43,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.3542872495593109
44,C044,LOS CERRILLOS,Comunal,0.35167188187313025
45,C053,CONDELL,Comunal,0.3503023524220965
46,I28,SANTA RAQUEL,Intercomunal,0.3397300558458714
47,C001,SAN EUGENIO,Comunal,0.33956779847224594
48,C014,JOSE DOMINGO CAÑAS,Comunal,0.3364712163228976
49,C063,LONGITUDINAL,Comunal,0.32828982546322555
50,I25,SAN FRANCISCO,Intercomunal,0.3281671357554271
51,C022,LLANURA  - EL DESIERTO,Comunal,0.32644187658393614
52,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.3261678547602599
53,C007,EDUARDO CASTILLO VELASCO,Comunal,0.3259569996047678
54,I18,NUEVA IMPERIAL,Intercomunal,0.32583762727149285
55,C074,URETA COX,Comunal,0.3253116584936747
56,C065,NUEVA SAN MARTIN,Comunal,0.32424737540786974
57,I31,FERNANDEZ ALBANO,Intercomunal,0.32402195395777506
58,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.3231478791981628
59,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.3229898741250365
60,C015,JOSE MANUEL GUZMAN,Comunal,0.3199950459986122
61,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.3198618751225363
62,C035,PRODIVENCIA,Comunal,0.3187408034895415
63,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.31714578100793217
64,C088,ÑUBLE,Comunal,0.31634293704792793
65,C028,MADRID,Comunal,0.3136429529717374
66,C030,MAULE,Comunal,0.3135984856469272
67,C034,PEDRO LEON UGALDE,Comunal,0.3134110459533165
68,C037,SAN ALFONSO,Comunal,0.3132093765144058
69,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.3124713311167445
70,C042,PRINCIPE DE GALES,Comunal,0.3106038813513724
71,C089,J J PEREZ,Comunal,0.3094557859952985
72,C062,CORONA SUECA,Comunal,0.30883115651801657
73,C046,EUCALIPTOS,Comunal,0.3084896071155291
74,C011,EYZAGUIRRE,Comunal,0.3075302189277102
75,I13,LO ESPEJO-RIQUELME,Intercomunal,0.3073505713322933
76,C013,HEROES DE LA CONCEPCION,Comunal,0.3069068030071679
77,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.30679168159057696
78,C069,LOS OLMOS,Comunal,0.3064864172764002
79,C027,LOS PRESIDENTES,Comunal,0.3059359199613974
80,C076,ISLA DECEPCION,Comunal,0.3035761680650885
81,C017,LA PARINACOTA,Comunal,0.3026993171030313
82,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.30148216769008246
83,C047,VIOLETA PARRA,Comunal,0.30052531660575554
84,C033,OBSERVATORIO,Comunal,0.29976467428987724
85,C009,EL ROSAL - SANTA ELENA,Comunal,0.2997411949249036
86,C012,GABRIELA ORIENTE,Comunal,0.2995657730865601
87,EP-I33,LA CHIMBA,Intercomunal,0.29885412444814496
88,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.2986657871114235
89,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.2970422631031402
90,I03,CARRASCAL,Intercomunal,0.2969403258399351
91,C048,GENERAL ARRIAGADA,Comunal,0.2968836208758398
92,I06,DIAGONAL ORIENTE,Intercomunal,0.29643439623183465
93,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.29597440667710284
94,C031,NECOCHEA,Comunal,0.2959730004796404
95,C082,CAUPOLICAN,Comunal,0.2930632744431714
96,C026,LOS MAITENES,Comunal,0.2926874482389843
97,C054,VICTORIA,Comunal,0.2923984780493584
98,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.29223088165414046
99,C071,BARROS ARANA,Comunal,0.29096036383451884
100,C080,PARAGUAY,Comunal,0.2866461422353288
101,C077,RICARDO VIAL,Comunal,0.28595772447411627
102,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.2828594856680455
103,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.28014997304777317
104,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.27854633001943235
105,C085,LOS LIBERTADORES,Comunal,0.27827809481423804
106,C032,OBISPO MANUEL UMAÑA,Comunal,0.2766867157982921
107,C008,EL CERRO,Comunal,0.27584636460431416
108,C072,COVADONGA,Comunal,0.2751346158992244
109,C039,TUPUNGATO,Comunal,0.274728398016616
110,C090,SANTO DOMINGO,Comunal,0.26716140258797877
111,C055,ARTURO PRAT,Comunal,0.2658602373782302
112,C073,LOS MORROS,Comunal,0.25745496361696585
113,C083,ORIENTAL-LAS PARCELAS,Comunal,0.25230411992937457
114,I17,MATUCANA,Intercomunal,0.23383728926403108
115,C004,CONSISTORIAL,Comunal,0.2194042162147926
116,C084,EL PINO - UNO SUR,Comunal,0.2001171351697978
117,C056,TEMUCO - TORO MAZOTTE,Comunal,0.18961790174465237
118,I32,EINSTEIN,Intercomunal,0.18436323904646368
119,C079,LAS AMERICAS,Comunal,0.1834836496204464
120,C021,LAUTARO,Comunal,0.16069413111137462
121,C045,PORTO ALEGRE,Comunal,0.13739307698049702
122,C018,LA PRIMAVERA,Comunal,0.1273670248446758
123,C025,LOS DURAZNOS,Comunal,0.12337721580883713
124,C016,JUANITA,Comunal,0.11808571203894679
