scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
fractal_alameda,Red dendrítica Alameda (fractal),1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.7642578084841858,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
fractal_alameda,Red dendrítica Alameda (fractal),2,I26,SAN PABLO,Intercomunal,3,0.6604252003260335,33063,89662,24215,154,2,139,-1,1,3,883,2075,77522,82447,371
fractal_alameda,Red dendrítica Alameda (fractal),3,I11,JOSE JOAQUIN PEREZ,Intercomunal,5,0.6676522093459144,28111,1128669,53252,107,1,139,0,0,3,690,2765,105633,135699,478
fractal_alameda,Red dendrítica Alameda (fractal),4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,6,0.6567617920439427,28110,292020,36471,108,2,138,-1,1,4,800,3565,133743,172170,586
fractal_alameda,Red dendrítica Alameda (fractal),5,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,66,0.7090546101651674,4301,335823,85198,62,4,135,-3,3,7,332,3897,138044,257368,648
fractal_alameda,Red dendrítica Alameda (fractal),6,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,40,0.6534788696249357,9981,395519,42303,147,3,133,-2,2,9,1435,5332,148025,299671,795
fractal_alameda,Red dendrítica Alameda (fractal),7,I14,LO OVALLE,Intercomunal,2,0.6391864959905483,45894,192584,28595,231,1,133,0,0,9,1374,6706,193919,328266,1026
fractal_alameda,Red dendrítica Alameda (fractal),8,I04,DEL FERROCARRIL,Intercomunal,55,0.6199817278574484,6753,90038,33320,59,3,131,-2,2,11,652,7358,200672,361586,1085
fractal_alameda,Red dendrítica Alameda (fractal),9,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,4,0.7100660172903334,0,388395,59973,156,3,129,-2,2,13,341,7699,200672,421559,1241
fractal_alameda,Red dendrítica Alameda (fractal),10,C068,SAN CARLOS,Comunal,21,0.5965566540153759,35574,407794,75675,67,3,127,-2,2,15,587,8286,236246,497234,1308
fractal_alameda,Red dendrítica Alameda (fractal),11,I01,BARÓN DE JURAS REALES,Intercomunal,7,0.5918762762038201,16219,37720,9799,122,2,126,-1,1,16,781,9067,252465,507033,1430
fractal_alameda,Red dendrítica Alameda (fractal),12,I16,MATTA-VESPUCIO NORTE,Intercomunal,12,0.7922078791506126,34088,1108836,65163,126,3,124,-2,2,18,990,10057,286553,572196,1556
fractal_alameda,Red dendrítica Alameda (fractal),13,I22,PEDRO FONTOVA,Intercomunal,8,0.6326836845071009,16446,935218,35847,72,2,123,-1,1,19,688,10745,302999,608043,1628
fractal_alameda,Red dendrítica Alameda (fractal),14,I21,PEDRO DE VALDIVIA,Intercomunal,15,0.6156146936542666,14501,740377,25388,75,1,123,0,0,19,474,11219,317500,633431,1703
fractal_alameda,Red dendrítica Alameda (fractal),15,EP-I10,GRAN AVENIDA,Intercomunal,34,0.6220841967225861,16187,21396,11712,124,2,122,-1,1,20,913,12132,333687,645143,1827
fractal_alameda,Red dendrítica Alameda (fractal),16,I27,SANTA CECILIA - NONATO COO,Intercomunal,74,0.5996670434258355,24624,24624,14290,124,1,122,0,0,20,644,12776,358311,659433,1951
fractal_alameda,Red dendrítica Alameda (fractal),17,I25,SAN FRANCISCO,Intercomunal,65,0.5806351268949108,26575,26575,13574,210,1,122,0,0,20,1001,13777,384886,673007,2161
fractal_alameda,Red dendrítica Alameda (fractal),18,C066,CUATRO PONIENTE,Comunal,11,0.5739917079067051,49812,49812,30579,101,1,122,0,0,20,676,14453,434698,703586,2262
fractal_alameda,Red dendrítica Alameda (fractal),19,EP-I34,VICUÑA MACKENNA,Intercomunal,9,0.572930456910922,0,0,0,271,2,121,-1,1,21,539,14992,434698,703586,2533
fractal_alameda,Red dendrítica Alameda (fractal),20,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,30,0.5718722748258852,22368,22368,11753,138,1,121,0,0,21,1031,16023,457066,715339,2671
fractal_alameda,Red dendrítica Alameda (fractal),21,EP-I33,LA CHIMBA,Intercomunal,25,0.5312468780600959,4379,11547,5001,198,2,120,-1,1,22,971,16994,461445,720340,2869
fractal_alameda,Red dendrítica Alameda (fractal),22,C086,LA ESTRELLA,Comunal,60,0.6018361954951894,5624,295545,26421,33,2,119,-1,1,23,185,17179,467069,746761,2902
fractal_alameda,Red dendrítica Alameda (fractal),23,C089,J J PEREZ,Comunal,76,0.5434172120552143,0,9565,5573,19,2,118,-1,1,24,198,17377,467069,752334,2921
fractal_alameda,Red dendrítica Alameda (fractal),24,C046,EUCALIPTOS,Comunal,81,0.5492705135531449,16,7223,4212,30,2,117,-1,1,25,206,17583,467085,756546,2951
fractal_alameda,Red dendrítica Alameda (fractal),25,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,80,0.5528184010600362,12471,12471,7274,36,1,117,0,0,25,259,17842,479556,763820,2987
fractal_alameda,Red dendrítica Alameda (fractal),26,I06,DIAGONAL ORIENTE,Intercomunal,28,0.522988249576372,4804,4804,2894,254,1,117,0,0,25,1138,18980,484360,766714,3241
fractal_alameda,Red dendrítica Alameda (fractal),27,I13,LO ESPEJO-RIQUELME,Intercomunal,69,0.5215868889299634,5121,10062,4569,124,2,116,-1,1,26,700,19680,489481,771283,3365
fractal_alameda,Red dendrítica Alameda (fractal),28,C006,DOMINGO TOCORNAL,Comunal,24,0.518752585501461,0,4416,2578,70,2,115,-1,1,27,439,20119,489481,773861,3435
fractal_alameda,Red dendrítica Alameda (fractal),29,I29,SANTA ROSA,Intercomunal,18,0.5184754992570418,5202,5202,2827,132,2,114,-1,1,28,710,20829,494683,776688,3567
fractal_alameda,Red dendrítica Alameda (fractal),30,I24,RADAL,Intercomunal,17,0.5148861383867315,0,8616,3735,110,2,113,-1,1,29,509,21338,494683,780423,3677
fractal_alameda,Red dendrítica Alameda (fractal),31,I03,CARRASCAL,Intercomunal,91,0.5394834651344722,0,16584,9569,62,2,112,-1,1,30,442,21780,494683,789992,3739
fractal_alameda,Red dendrítica Alameda (fractal),32,C060,ROJAS MAGALLANES,Comunal,20,0.5119379213404744,6013,6013,3413,66,1,112,0,0,30,395,22175,500696,793405,3805
fractal_alameda,Red dendrítica Alameda (fractal),33,I28,SANTA RAQUEL,Intercomunal,79,0.5364819511954797,10375,10375,5709,66,1,112,0,0,30,300,22475,511071,799114,3871
fractal_alameda,Red dendrítica Alameda (fractal),34,I32,EINSTEIN,Intercomunal,54,0.5075930950996091,4200,4200,2503,69,1,112,0,0,30,366,22841,515271,801617,3940
fractal_alameda,Red dendrítica Alameda (fractal),35,I15,MARTINEZ DE ROZAS,Intercomunal,10,0.5053370404074412,0,0,0,254,1,112,0,0,30,640,23481,515271,801617,4194
fractal_alameda,Red dendrítica Alameda (fractal),36,I08,GENERAL OSCAR BONILLA,Intercomunal,32,0.4920146940974895,4898,13286,7918,88,1,112,0,0,30,595,24076,520169,809535,4282
fractal_alameda,Red dendrítica Alameda (fractal),37,C056,TEMUCO - TORO MAZOTTE,Comunal,105,0.4802620110732386,8042,8042,4827,85,1,112,0,0,30,186,24262,528211,814362,4367
fractal_alameda,Red dendrítica Alameda (fractal),38,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,77,0.47766429252953807,5025,5025,2899,66,1,112,0,0,30,361,24623,533236,817261,4433
fractal_alameda,Red dendrítica Alameda (fractal),39,I09,GENERAL VELASQUEZ,Intercomunal,23,0.4728388149532947,735,4715,2016,73,1,112,0,0,30,643,25266,533971,819277,4506
fractal_alameda,Red dendrítica Alameda (fractal),40,I17,MATUCANA,Intercomunal,37,0.46944875831878236,3082,3082,1850,89,1,112,0,0,30,287,25553,537053,821127,4595
fractal_alameda,Red dendrítica Alameda (fractal),41,I02,CARLOS VALDOVINOS,Intercomunal,16,0.4648373657739946,0,0,0,108,1,112,0,0,30,687,26240,537053,821127,4703
fractal_alameda,Red dendrítica Alameda (fractal),42,I10,GRAN AVENIDA,Intercomunal,56,0.45895687410916763,3242,3242,1653,83,1,112,0,0,30,448,26688,540295,822780,4786
fractal_alameda,Red dendrítica Alameda (fractal),43,C026,LOS MAITENES,Comunal,94,0.45549105173207793,0,6013,3587,30,2,111,-1,1,31,150,26838,540295,826367,4816
fractal_alameda,Red dendrítica Alameda (fractal),44,C014,JOSE DOMINGO CAÑAS,Comunal,35,0.4550501784972224,0,0,0,97,1,111,0,0,31,259,27097,540295,826367,4913
fractal_alameda,Red dendrítica Alameda (fractal),45,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,42,0.45398690404236425,21,21,13,110,1,111,0,0,31,644,27741,540316,826380,5023
fractal_alameda,Red dendrítica Alameda (fractal),46,C090,SANTO DOMINGO,Comunal,78,0.4520025108963464,0,0,0,47,1,111,0,0,31,150,27891,540316,826380,5070
fractal_alameda,Red dendrítica Alameda (fractal),47,C043,NEPTUNO,Comunal,67,0.4496829258401013,0,0,0,32,1,111,0,0,31,172,28063,540316,826380,5102
fractal_alameda,Red dendrítica Alameda (fractal),48,I18,NUEVA IMPERIAL,Intercomunal,82,0.4480089360722436,0,0,0,70,1,111,0,0,31,290,28353,540316,826380,5172
fractal_alameda,Red dendrítica Alameda (fractal),49,C035,PRODIVENCIA,Comunal,72,0.44778162587444054,0,11942,7334,2,2,110,-1,1,32,33,28386,540316,833714,5174
fractal_alameda,Red dendrítica Alameda (fractal),50,C058,ANTONIO EBNER-BARROS ARANA,Comunal,19,0.4471784178447992,0,0,0,143,1,110,0,0,32,341,28727,540316,833714,5317
fractal_alameda,Red dendrítica Alameda (fractal),51,C083,ORIENTAL-LAS PARCELAS,Comunal,39,0.4440924985820044,0,0,0,89,1,110,0,0,32,392,29119,540316,833714,5406
fractal_alameda,Red dendrítica Alameda (fractal),52,C007,EDUARDO CASTILLO VELASCO,Comunal,38,0.4435739542642244,0,0,0,76,1,110,0,0,32,409,29528,540316,833714,5482
fractal_alameda,Red dendrítica Alameda (fractal),53,I07,EL GUANACO,Intercomunal,14,0.44206349934889266,0,0,0,100,1,110,0,0,32,443,29971,540316,833714,5582
fractal_alameda,Red dendrítica Alameda (fractal),54,C062,CORONA SUECA,Comunal,96,0.43997224927306167,0,0,0,54,1,110,0,0,32,280,30251,540316,833714,5636
fractal_alameda,Red dendrítica Alameda (fractal),55,C001,SAN EUGENIO,Comunal,33,0.4391159750333651,0,0,0,31,1,110,0,0,32,114,30365,540316,833714,5667
fractal_alameda,Red dendrítica Alameda (fractal),56,C082,CAUPOLICAN,Comunal,97,0.4386735792995175,2416,2416,1394,12,1,110,0,0,32,118,30483,542732,835108,5679
fractal_alameda,Red dendrítica Alameda (fractal),57,C078,WALDO TAFF,Comunal,68,0.43823719870278016,0,0,0,49,1,110,0,0,32,157,30640,542732,835108,5728
fractal_alameda,Red dendrítica Alameda (fractal),58,C047,VIOLETA PARRA,Comunal,84,0.4381862722463952,0,0,0,95,1,110,0,0,32,240,30880,542732,835108,5823
fractal_alameda,Red dendrítica Alameda (fractal),59,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,62,0.43761982452782655,0,0,0,51,1,110,0,0,32,259,31139,542732,835108,5874
fractal_alameda,Red dendrítica Alameda (fractal),60,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,86,0.435504655974052,0,0,0,25,1,110,0,0,32,168,31307,542732,835108,5899
fractal_alameda,Red dendrítica Alameda (fractal),61,C033,OBSERVATORIO,Comunal,88,0.4347942948380991,0,0,0,42,1,110,0,0,32,207,31514,542732,835108,5941
fractal_alameda,Red dendrítica Alameda (fractal),62,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,26,0.43345415476964216,0,0,0,58,1,110,0,0,32,336,31850,542732,835108,5999
fractal_alameda,Red dendrítica Alameda (fractal),63,C061,EL PINAR,Comunal,27,0.4331077227285449,0,0,0,32,1,110,0,0,32,222,32072,542732,835108,6031
fractal_alameda,Red dendrítica Alameda (fractal),64,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,43,0.4328867005010871,0,0,0,48,1,110,0,0,32,146,32218,542732,835108,6079
