rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.7642578084841858
2,I14,LO OVALLE,Intercomunal,0.7316474453485672
3,I26,SAN PABLO,Intercomunal,0.6951652370260194
4,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.6899877503333715
5,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.6485844131676891
6,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.647828036551511
7,I01,BARÓN DE JURAS REALES,Intercomunal,0.5828139928425066
8,I22,PEDRO FONTOVA,Intercomunal,0.5795381290605883
9,EP-I34,VICUÑA MACKENNA,Intercomunal,0.572930456910922
10,I15,MARTINEZ DE ROZAS,Intercomunal,0.5645153812714698
11,C066,CUATRO PONIENTE,Comunal,0.5463851487152506
12,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5417036499729336
13,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.5387021882992837
14,I07,EL GUANACO,Intercomunal,0.5362243079377005
15,I21,PEDRO DE VALDIVIA,Intercomunal,0.536211808905914
16,I02,CARLOS VALDOVINOS,Intercomunal,0.5347218212933976
17,I24,RADAL,Intercomunal,0.5322390843006134
18,I29,SANTA ROSA,Intercomunal,0.5314858182057753
19,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.5291793991018785
20,C060,ROJAS MAGALLANES,Comunal,0.5281418490065646
21,C068,SAN CARLOS,Comunal,0.5213423313327507
22,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.5122114550550908
23,I09,GENERAL VELASQUEZ,Intercomunal,0.510751111007239
24,C006,DOMINGO TOCORNAL,Comunal,0.5093880724883012
25,EP-I33,LA CHIMBA,Intercomunal,0.5085795051891131
26,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.5067261586332493
27,C061,EL PINAR,Comunal,0.4930353625291055
28,I06,DIAGONAL ORIENTE,Intercomunal,0.492682700983841
29,C032,OBISPO MANUEL UMAÑA,Comunal,0.4779139803687945
30,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.4747320039916348
31,C044,LOS CERRILLOS,Comunal,0.4698944246668787
32,I08,GENERAL OSCAR BONILLA,Intercomunal,0.46692451123282414
33,C001,SAN EUGENIO,Comunal,0.46648955065591374
34,EP-I10,GRAN AVENIDA,Intercomunal,0.46525703553056674
35,C014,JOSE DOMINGO CAÑAS,Comunal,0.45388978953484227
36,C074,URETA COX,Comunal,0.4524559788920281
37,I17,MATUCANA,Intercomunal,0.4458839260536738
38,C007,EDUARDO CASTILLO VELASCO,Comunal,0.44264564309432025
39,C083,ORIENTAL-LAS PARCELAS,Comunal,0.44177291981085487
40,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.4382529182600912
41,C003,CONCHA Y TORO,Comunal,0.43782726071011324
42,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.4367829460609214
43,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.4328867005010871
44,C088,ÑUBLE,Comunal,0.43158843339688086
45,C029,MARIA ELENA,Comunal,0.43034493930193146
46,C028,MADRID,Comunal,0.4292178857674389
47,C034,PEDRO LEON UGALDE,Comunal,0.4290831854701294
48,C030,MAULE,Comunal,0.4289885952147764
49,C037,SAN ALFONSO,Comunal,0.42767851659409634
50,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.42751138328323923
51,C042,PRINCIPE DE GALES,Comunal,0.4247508572491964
52,C013,HEROES DE LA CONCEPCION,Comunal,0.42089145730768945
53,C027,LOS PRESIDENTES,Comunal,0.42044946395339955
54,I32,EINSTEIN,Intercomunal,0.4183125738465743
55,I04,DEL FERROCARRIL,Intercomunal,0.41270601526880324
56,I10,GRAN AVENIDA,Intercomunal,0.41237067813338174
57,C004,CONSISTORIAL,Comunal,0.4083835149600039
58,C050,MAR DE DRAKE,Comunal,0.40053341377133717
59,C079,LAS AMERICAS,Comunal,0.3935455066971847
60,C086,LA ESTRELLA,Comunal,0.383572846864338
61,C053,CONDELL,Comunal,0.38314899072568304
62,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.37947168454502805
63,C023,AVENIDA DORSAL,Comunal,0.3680114305461098
64,C041,VISTA HERMOSA,Comunal,0.36135907192671207
65,I25,SAN FRANCISCO,Intercomunal,0.3607486774634727
66,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.3585744349735123
67,C043,NEPTUNO,Comunal,0.3533880244817696
68,C078,WALDO TAFF,Comunal,0.3533438720119454
69,I13,LO ESPEJO-RIQUELME,Intercomunal,0.35266385365219094
70,C022,LLANURA  - EL DESIERTO,Comunal,0.3441053812913385
71,C087,SALVADOR GUTIERREZ,Comunal,0.32707137304251216
72,C035,PRODIVENCIA,Comunal,0.3222536194463519
73,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.3199858709049305
74,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.3175235976691481
75,C063,LONGITUDINAL,Comunal,0.31456069998556596
76,C089,J J PEREZ,Comunal,0.3139328554558527
77,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.31181229795374416
78,C090,SANTO DOMINGO,Comunal,0.31166536506012604
79,I28,SANTA RAQUEL,Intercomunal,0.30912739219647817
80,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.3065108782039987
81,C046,EUCALIPTOS,Comunal,0.30019536966633026
82,I18,NUEVA IMPERIAL,Intercomunal,0.3001090982564027
83,C011,EYZAGUIRRE,Comunal,0.29692592809625096
84,C047,VIOLETA PARRA,Comunal,0.2959806049067029
85,I31,FERNANDEZ ALBANO,Intercomunal,0.29460669792901584
86,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.2937631442193118
87,C076,ISLA DECEPCION,Comunal,0.293239903234835
88,C033,OBSERVATORIO,Comunal,0.29282070529088283
89,C015,JOSE MANUEL GUZMAN,Comunal,0.2924232989080445
90,C009,EL ROSAL - SANTA ELENA,Comunal,0.2919157733213865
91,I03,CARRASCAL,Intercomunal,0.2910243731627352
92,C048,GENERAL ARRIAGADA,Comunal,0.29031892028468986
93,C017,LA PARINACOTA,Comunal,0.28921478432218173
94,C026,LOS MAITENES,Comunal,0.28536644066354055
95,C054,VICTORIA,Comunal,0.28480442939067224
96,C062,CORONA SUECA,Comunal,0.28478047361163666
97,C082,CAUPOLICAN,Comunal,0.2837858788580641
98,C071,BARROS ARANA,Comunal,0.28292929382134935
99,C069,LOS OLMOS,Comunal,0.28039660011182155
100,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.27470157682815416
101,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.27048155246965266
102,C031,NECOCHEA,Comunal,0.2701552638947515
103,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.26729294381645397
104,C080,PARAGUAY,Comunal,0.26629993754972936
105,C056,TEMUCO - TORO MAZOTTE,Comunal,0.26476522957428456
106,C077,RICARDO VIAL,Comunal,0.26282720608992616
107,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.2610438919577539
108,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.2580780395901859
109,C008,EL CERRO,Comunal,0.25482577116590305
110,C072,COVADONGA,Comunal,0.2546378663175198
111,C039,TUPUNGATO,Comunal,0.25451780627423376
112,C021,LAUTARO,Comunal,0.25181759508801016
113,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.2490848968805396
114,C065,NUEVA SAN MARTIN,Comunal,0.24619248807206134
115,C018,LA PRIMAVERA,Comunal,0.2397409482789931
116,C025,LOS DURAZNOS,Comunal,0.23425080050360872
117,C012,GABRIELA ORIENTE,Comunal,0.22807186743413155
118,C084,EL PINO - UNO SUR,Comunal,0.2038172262578406
119,C045,PORTO ALEGRE,Comunal,0.20012104382186532
120,C055,ARTURO PRAT,Comunal,0.18417130579503027
121,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.18005511420368403
122,C016,JUANITA,Comunal,0.16894267539786342
123,C085,LOS LIBERTADORES,Comunal,0.13008831972135804
124,C073,LOS MORROS,Comunal,0.11286865836384037
