scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
integracion,Integración metropolitana,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.6926638335334819,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
integracion,Integración metropolitana,2,I16,MATTA-VESPUCIO NORTE,Intercomunal,5,0.5808782956468934,34088,84165,18290,126,3,138,-2,2,4,990,2182,78547,76522,343
integracion,Integración metropolitana,3,I22,PEDRO FONTOVA,Intercomunal,13,0.6543624369421966,16446,1074728,73950,72,3,136,-2,2,6,688,2870,94993,150472,415
integracion,Integración metropolitana,4,C066,CUATRO PONIENTE,Comunal,6,0.5782752167980454,49812,126728,29943,101,1,136,0,0,6,676,3546,144805,180415,516
integracion,Integración metropolitana,5,I26,SAN PABLO,Intercomunal,4,0.5757145280273704,33063,89662,26179,154,2,135,-1,1,7,883,4429,177868,206594,670
integracion,Integración metropolitana,6,I08,GENERAL OSCAR BONILLA,Intercomunal,12,0.6174025079098192,4898,1244791,59223,86,2,134,-1,1,8,595,5024,182766,265817,756
integracion,Integración metropolitana,7,I04,DEL FERROCARRIL,Intercomunal,27,0.6324221175962326,14321,370808,68264,58,3,132,-2,2,10,652,5676,197087,334081,814
integracion,Integración metropolitana,8,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,7,0.5794536513283944,28110,292020,36471,108,2,131,-1,1,11,800,6476,225197,370552,922
integracion,Integración metropolitana,9,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,45,0.6871340590150599,4301,335823,85198,62,4,128,-3,3,14,332,6808,229498,455750,984
integracion,Integración metropolitana,10,C068,SAN CARLOS,Comunal,10,0.6366435421043147,35574,407794,74172,67,3,126,-2,2,16,587,7395,265072,529922,1051
integracion,Integración metropolitana,11,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,20,0.6405217174886414,9981,628992,46505,147,3,124,-2,2,18,1435,8830,275053,576427,1198
integracion,Integración metropolitana,12,I10,GRAN AVENIDA,Intercomunal,32,0.576067328853708,38695,181718,24198,76,1,124,0,0,18,448,9278,313748,600625,1274
integracion,Integración metropolitana,13,I21,PEDRO DE VALDIVIA,Intercomunal,28,0.5325718054094526,14501,740377,25388,75,1,124,0,0,18,474,9752,328249,626013,1349
integracion,Integración metropolitana,14,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,18,0.5524970426613788,38793,38793,20508,137,1,124,0,0,18,1031,10783,367042,646521,1486
