rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.6926638335334819
2,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.6368151431577775
3,I14,LO OVALLE,Intercomunal,0.6264220472057908
4,I26,SAN PABLO,Intercomunal,0.6041301375782503
5,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5808782956468934
6,C066,CUATRO PONIENTE,Comunal,0.5782752167980454
7,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5202833047998942
8,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5192825571183656
9,C006,DOMINGO TOCORNAL,Comunal,0.5174771098861525
10,C068,SAN CARLOS,Comunal,0.5114083577780031
11,I01,BARÓN DE JURAS REALES,Intercomunal,0.46520617182463514
12,I08,GENERAL OSCAR BONILLA,Intercomunal,0.4596050928810635
13,I22,PEDRO FONTOVA,Intercomunal,0.456665805622574
14,EP-I10,GRAN AVENIDA,Intercomunal,0.4503469161844015
15,EP-I34,VICUÑA MACKENNA,Intercomunal,0.43623358274173457
16,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.43549873223911506
17,C003,CONCHA Y TORO,Comunal,0.4329614597518059
18,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.4319435073524532
19,C029,MARIA ELENA,Comunal,0.41367807922681754
20,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.41228247900587356
21,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.40913597687200787
22,C050,MAR DE DRAKE,Comunal,0.40477336650302037
23,I02,CARLOS VALDOVINOS,Intercomunal,0.4025530517873618
24,I24,RADAL,Intercomunal,0.4014519456293412
25,I07,EL GUANACO,Intercomunal,0.4006594166050621
26,I15,MARTINEZ DE ROZAS,Intercomunal,0.39416523398481895
27,I04,DEL FERROCARRIL,Intercomunal,0.3907225337168561
28,I21,PEDRO DE VALDIVIA,Intercomunal,0.39021331243754404
29,C060,ROJAS MAGALLANES,Comunal,0.38959164141967756
30,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.3884722625500887
31,I29,SANTA ROSA,Intercomunal,0.385225066034311
32,I10,GRAN AVENIDA,Intercomunal,0.3801979135162773
33,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.37233831829929537
34,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.3649857404451615
35,C086,LA ESTRELLA,Comunal,0.35753753511021347
36,I09,GENERAL VELASQUEZ,Intercomunal,0.3506511892658885
37,EP-I33,LA CHIMBA,Intercomunal,0.3495679196613725
38,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.3483014239501813
39,C061,EL PINAR,Comunal,0.3466680091880564
40,C053,CONDELL,Comunal,0.3447038575464586
41,C043,NEPTUNO,Comunal,0.33604801088198694
42,C032,OBISPO MANUEL UMAÑA,Comunal,0.33233688639479714
43,C023,AVENIDA DORSAL,Comunal,0.33167322007788513
44,C041,VISTA HERMOSA,Comunal,0.32545134212143484
45,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.3212435951610005
46,I06,DIAGONAL ORIENTE,Intercomunal,0.3139087540171538
47,C078,WALDO TAFF,Comunal,0.3051403274799695
48,C044,LOS CERRILLOS,Comunal,0.30101140756412315
49,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.29967935449456395
50,C001,SAN EUGENIO,Comunal,0.2990599019200996
51,I13,LO ESPEJO-RIQUELME,Intercomunal,0.29453681919801894
52,C022,LLANURA  - EL DESIERTO,Comunal,0.28757270612335695
53,C090,SANTO DOMINGO,Comunal,0.2819195232344631
54,C087,SALVADOR GUTIERREZ,Comunal,0.278744732764941
55,I25,SAN FRANCISCO,Intercomunal,0.2775006472088915
56,C074,URETA COX,Comunal,0.2763077118421828
57,C014,JOSE DOMINGO CAÑAS,Comunal,0.27430512522244843
58,C083,ORIENTAL-LAS PARCELAS,Comunal,0.2736495545833305
59,C035,PRODIVENCIA,Comunal,0.26836392988909435
60,I17,MATUCANA,Intercomunal,0.2660043401186158
61,C007,EDUARDO CASTILLO VELASCO,Comunal,0.26471320821643535
62,C088,ÑUBLE,Comunal,0.2559424844803709
63,C089,J J PEREZ,Comunal,0.2501467989196875
64,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.24692831483764577
65,C028,MADRID,Comunal,0.243732752418661
66,C030,MAULE,Comunal,0.24369218573637808
67,C034,PEDRO LEON UGALDE,Comunal,0.2435211881211542
68,C037,SAN ALFONSO,Comunal,0.24333720898390235
69,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.24266390441059735
70,C042,PRINCIPE DE GALES,Comunal,0.24096026602815263
71,C063,LONGITUDINAL,Comunal,0.23967665785542075
72,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.23835397342718553
73,C013,HEROES DE LA CONCEPCION,Comunal,0.23758749280186073
74,C027,LOS PRESIDENTES,Comunal,0.2367017749355438
75,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.23599900965729878
76,I18,NUEVA IMPERIAL,Intercomunal,0.23441950471727993
77,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.23392613865524164
78,I28,SANTA RAQUEL,Intercomunal,0.2330583472307614
79,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.23236436915327893
80,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.22944733867818073
81,C033,OBSERVATORIO,Comunal,0.22912254886483926
82,C065,NUEVA SAN MARTIN,Comunal,0.2282684473476414
83,C004,CONSISTORIAL,Comunal,0.22782580833707575
84,C046,EUCALIPTOS,Comunal,0.2266646875024817
85,C011,EYZAGUIRRE,Comunal,0.22375415540750862
86,I32,EINSTEIN,Intercomunal,0.22313876952075068
