scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
intermodal,Intermodalidad bici-metro,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.6572145480059471,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
intermodal,Intermodalidad bici-metro,2,I26,SAN PABLO,Intercomunal,2,0.6024627697331016,33063,89662,24215,154,2,139,-1,1,3,883,2075,77522,82447,371
intermodal,Intermodalidad bici-metro,3,I16,MATTA-VESPUCIO NORTE,Intercomunal,4,0.5799722310723535,34088,84165,18290,126,3,137,-2,2,5,990,3065,111610,100737,497
intermodal,Intermodalidad bici-metro,4,I22,PEDRO FONTOVA,Intercomunal,18,0.5675650760069334,16446,1153393,75914,72,3,135,-2,2,7,688,3753,128056,176651,569
intermodal,Intermodalidad bici-metro,5,I08,GENERAL OSCAR BONILLA,Intercomunal,8,0.5873228198787285,4898,1244791,59223,86,2,134,-1,1,8,595,4348,132954,235874,655
intermodal,Intermodalidad bici-metro,6,EP-I34,VICUÑA MACKENNA,Intercomunal,5,0.5206396176589108,0,0,0,271,2,133,-1,1,9,539,4887,132954,235874,926
intermodal,Intermodalidad bici-metro,7,I04,DEL FERROCARRIL,Intercomunal,36,0.509936994266737,14321,322684,68324,58,3,131,-2,2,11,652,5539,147275,304198,984
intermodal,Intermodalidad bici-metro,8,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,3,0.4838651039198233,0,32542,14518,157,2,130,-1,1,12,341,5880,147275,318716,1141
intermodal,Intermodalidad bici-metro,9,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,11,0.47476013697667363,28110,292020,36471,108,2,129,-1,1,13,800,6680,175385,355187,1249
intermodal,Intermodalidad bici-metro,10,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,59,0.5301885058654968,4301,335823,85198,62,4,126,-3,3,16,332,7012,179686,440385,1311
intermodal,Intermodalidad bici-metro,11,I10,GRAN AVENIDA,Intercomunal,10,0.5319090098907521,38695,165947,22401,76,1,126,0,0,16,448,7460,218381,462786,1387
intermodal,Intermodalidad bici-metro,12,C068,SAN CARLOS,Comunal,14,0.5287941005166639,35574,407794,74172,67,3,124,-2,2,18,587,8047,253955,536958,1454
