rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.6572145480059471
2,I26,SAN PABLO,Intercomunal,0.6391031174137652
3,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.6349486639111973
4,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5799722310723535
5,EP-I34,VICUÑA MACKENNA,Intercomunal,0.5206396176589108
6,I14,LO OVALLE,Intercomunal,0.519814986755329
7,C066,CUATRO PONIENTE,Comunal,0.4710550321248142
8,I08,GENERAL OSCAR BONILLA,Intercomunal,0.44643140744750875
9,C006,DOMINGO TOCORNAL,Comunal,0.43763261495255723
10,I10,GRAN AVENIDA,Intercomunal,0.4362739577184887
11,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.43411925511822896
12,EP-I10,GRAN AVENIDA,Intercomunal,0.4308138410620845
13,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.42583961080268373
14,C068,SAN CARLOS,Comunal,0.42451724589900985
15,I01,BARÓN DE JURAS REALES,Intercomunal,0.4116822972560362
16,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.40038522462482634
17,I02,CARLOS VALDOVINOS,Intercomunal,0.39174963582042277
18,I22,PEDRO FONTOVA,Intercomunal,0.3805668906754606
19,I21,PEDRO DE VALDIVIA,Intercomunal,0.3803810827899036
20,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.3759194154506859
21,C003,CONCHA Y TORO,Comunal,0.3675338910468874
22,C029,MARIA ELENA,Comunal,0.36386259435789375
23,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.35073023110096485
24,C050,MAR DE DRAKE,Comunal,0.34676977812575727
25,C060,ROJAS MAGALLANES,Comunal,0.34152542724108514
26,I24,RADAL,Intercomunal,0.33230584462977364
27,EP-I33,LA CHIMBA,Intercomunal,0.3257523430084603
28,I15,MARTINEZ DE ROZAS,Intercomunal,0.32237037831326965
29,I29,SANTA ROSA,Intercomunal,0.319888289952986
30,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.31916165221386944
31,C043,NEPTUNO,Comunal,0.319067164516103
32,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.3018414615853804
33,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.3017608640806506
34,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.3012819225201322
35,I07,EL GUANACO,Intercomunal,0.29975546071627984
36,I04,DEL FERROCARRIL,Intercomunal,0.29944439457816946
37,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.2921900196793585
38,C061,EL PINAR,Comunal,0.29039218547888734
39,C023,AVENIDA DORSAL,Comunal,0.28971538406367575
40,C032,OBISPO MANUEL UMAÑA,Comunal,0.28748742915929987
41,C053,CONDELL,Comunal,0.2856566394860053
42,C086,LA ESTRELLA,Comunal,0.2803394646299084
43,I06,DIAGONAL ORIENTE,Intercomunal,0.2794000714114613
44,I09,GENERAL VELASQUEZ,Intercomunal,0.2774572366228158
45,C078,WALDO TAFF,Comunal,0.27166781017899166
46,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.27071884355643167
47,I17,MATUCANA,Intercomunal,0.26885370046377144
48,C090,SANTO DOMINGO,Comunal,0.26156250203383735
49,I13,LO ESPEJO-RIQUELME,Intercomunal,0.25842172736225694
50,C001,SAN EUGENIO,Comunal,0.2531505104111357
51,I18,NUEVA IMPERIAL,Intercomunal,0.25168267982214354
52,C014,JOSE DOMINGO CAÑAS,Comunal,0.24326339830914676
53,C041,VISTA HERMOSA,Comunal,0.2416766276814236
54,I25,SAN FRANCISCO,Intercomunal,0.23851346468843285
55,C044,LOS CERRILLOS,Comunal,0.2368644802531472
56,C083,ORIENTAL-LAS PARCELAS,Comunal,0.23350458405690286
57,C007,EDUARDO CASTILLO VELASCO,Comunal,0.23232861292229187
58,C035,PRODIVENCIA,Comunal,0.2314904356291231
59,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.23018710209514776
60,I28,SANTA RAQUEL,Intercomunal,0.22790873806529025
61,C088,ÑUBLE,Comunal,0.2223299878631783
62,C022,LLANURA  - EL DESIERTO,Comunal,0.21283288498062697
63,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.21061241859588042
64,I32,EINSTEIN,Intercomunal,0.20953175925087755
65,C087,SALVADOR GUTIERREZ,Comunal,0.2093720085864514
66,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.20667579806697545
67,C033,OBSERVATORIO,Comunal,0.20508859459480566
68,C074,URETA COX,Comunal,0.20499079150008845
69,C063,LONGITUDINAL,Comunal,0.19489805662184628
70,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.19328699247105377
71,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.1907055376759873
72,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.18990329942645937
73,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.18983161224824946
74,C065,NUEVA SAN MARTIN,Comunal,0.18855936330964454
75,C089,J J PEREZ,Comunal,0.18850068410177714
76,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.1865620475014047
77,C028,MADRID,Comunal,0.18618867109060694
78,C030,MAULE,Comunal,0.18614242507280435
79,C034,PEDRO LEON UGALDE,Comunal,0.18594748779144915
80,C037,SAN ALFONSO,Comunal,0.18573775157498196
81,C056,TEMUCO - TORO MAZOTTE,Comunal,0.18499558655962517
82,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.18497018436141432
83,C042,PRINCIPE DE GALES,Comunal,0.18302803660542735
84,I31,FERNANDEZ ALBANO,Intercomunal,0.18006907766453542
85,C046,EUCALIPTOS,Comunal,0.1800644104194959
86,C013,HEROES DE LA CONCEPCION,Comunal,0.1791830751274546
87,C015,JOSE MANUEL GUZMAN,Comunal,0.17898468700242876
88,C027,LOS PRESIDENTES,Comunal,0.17817335675985332
89,C011,EYZAGUIRRE,Comunal,0.17674640383122653
