scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
ponderacion_rmc,Ponderación RMC,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.6686769070660649,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
ponderacion_rmc,Ponderación RMC,2,I26,SAN PABLO,Intercomunal,3,0.5863061971581027,33063,89662,24215,154,2,139,-1,1,3,883,2075,77522,82447,371
ponderacion_rmc,Ponderación RMC,3,I11,JOSE JOAQUIN PEREZ,Intercomunal,6,0.6007075437890453,28111,1128669,53252,107,1,139,0,0,3,690,2765,105633,135699,478
ponderacion_rmc,Ponderación RMC,4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,4,0.5933615731760592,28110,292020,36471,108,2,138,-1,1,4,800,3565,133743,172170,586
ponderacion_rmc,Ponderación RMC,5,C066,CUATRO PONIENTE,Comunal,5,0.572487990377622,49812,126728,29943,101,1,138,0,0,4,676,4241,183555,202113,687
ponderacion_rmc,Ponderación RMC,6,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,57,0.552346446961781,4301,335823,85198,62,4,135,-3,3,7,332,4573,187856,287311,749
ponderacion_rmc,Ponderación RMC,7,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,9,0.5536853063056181,45106,202871,27196,137,1,135,0,0,7,1031,5604,232962,314507,886
ponderacion_rmc,Ponderación RMC,8,C068,SAN CARLOS,Comunal,12,0.5391152556715854,35574,407794,74172,67,3,133,-2,2,9,587,6191,268536,388679,953
ponderacion_rmc,Ponderación RMC,9,I16,MATTA-VESPUCIO NORTE,Intercomunal,8,0.5227107068074346,34088,84165,18290,126,3,131,-2,2,11,990,7181,302624,406969,1079
ponderacion_rmc,Ponderación RMC,10,I22,PEDRO FONTOVA,Intercomunal,14,0.6247029669832711,16446,1185713,79843,72,3,129,-2,2,13,688,7869,319070,486812,1151
ponderacion_rmc,Ponderación RMC,11,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,27,0.5623691570918944,3668,484781,40791,147,3,127,-2,2,15,1435,9304,322738,527603,1298
ponderacion_rmc,Ponderación RMC,12,I04,DEL FERROCARRIL,Intercomunal,32,0.5720647554031296,14321,374008,67208,58,3,125,-2,2,17,652,9956,337059,594811,1356
ponderacion_rmc,Ponderación RMC,13,I21,PEDRO DE VALDIVIA,Intercomunal,20,0.5477374045178947,14501,740377,25388,75,1,125,0,0,17,474,10430,351560,620199,1431
ponderacion_rmc,Ponderación RMC,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,0.5617558828443984,0,64354,33578,156,3,123,-2,2,19,341,10771,351560,653777,1587
ponderacion_rmc,Ponderación RMC,15,I10,GRAN AVENIDA,Intercomunal,28,0.5257981753640685,38695,38695,20301,76,1,123,0,0,19,448,11219,390255,674078,1663
