rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.6686769070660649
2,I14,LO OVALLE,Intercomunal,0.6371787956227899
3,I26,SAN PABLO,Intercomunal,0.6268373699221884
4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.5815413361963746
5,C066,CUATRO PONIENTE,Comunal,0.572487990377622
6,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5721603338810728
7,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.558260973877864
8,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.5227107068074346
9,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.49632538126901565
10,I15,MARTINEZ DE ROZAS,Intercomunal,0.49042582216035796
11,I01,BARÓN DE JURAS REALES,Intercomunal,0.48687720322810635
12,C068,SAN CARLOS,Comunal,0.48156244324655567
13,EP-I34,VICUÑA MACKENNA,Intercomunal,0.4789418889773093
14,I22,PEDRO FONTOVA,Intercomunal,0.4728109936708254
15,I09,GENERAL VELASQUEZ,Intercomunal,0.45347011016300426
16,I08,GENERAL OSCAR BONILLA,Intercomunal,0.44379823929485906
17,C006,DOMINGO TOCORNAL,Comunal,0.44257795158972896
18,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.43893681633352033
19,EP-I10,GRAN AVENIDA,Intercomunal,0.435180901694348
20,I21,PEDRO DE VALDIVIA,Intercomunal,0.43141163724900483
21,I07,EL GUANACO,Intercomunal,0.42548756362861406
22,I02,CARLOS VALDOVINOS,Intercomunal,0.4243998641097862
23,I29,SANTA ROSA,Intercomunal,0.42297111297710543
24,C060,ROJAS MAGALLANES,Comunal,0.4219139986989199
25,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.41723732777812184
26,I24,RADAL,Intercomunal,0.41533970570255174
27,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.41460848628355157
28,I10,GRAN AVENIDA,Intercomunal,0.40682183317748805
29,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.40679457494201116
30,EP-I33,LA CHIMBA,Intercomunal,0.4043195865206677
31,I06,DIAGONAL ORIENTE,Intercomunal,0.40267663972498335
32,I04,DEL FERROCARRIL,Intercomunal,0.3940478916997146
33,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.38932341506856066
34,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.387202115587132
35,C029,MARIA ELENA,Comunal,0.3866330072050211
36,C061,EL PINAR,Comunal,0.38117344530336017
37,C050,MAR DE DRAKE,Comunal,0.3754671127887729
38,C003,CONCHA Y TORO,Comunal,0.3709576416282776
39,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.369297779392275
40,C086,LA ESTRELLA,Comunal,0.36814789692769634
41,C032,OBISPO MANUEL UMAÑA,Comunal,0.36167847000046166
42,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.36006768212709356
43,I25,SAN FRANCISCO,Intercomunal,0.3566735624368237
44,C044,LOS CERRILLOS,Comunal,0.355273233150638
45,C043,NEPTUNO,Comunal,0.35474887854437137
46,I17,MATUCANA,Intercomunal,0.3532790270795219
47,C053,CONDELL,Comunal,0.3532028448920026
48,C023,AVENIDA DORSAL,Comunal,0.34913804016037303
49,C014,JOSE DOMINGO CAÑAS,Comunal,0.3434151720257287
50,C083,ORIENTAL-LAS PARCELAS,Comunal,0.33400841178333013
51,C078,WALDO TAFF,Comunal,0.33255806783730496
52,C001,SAN EUGENIO,Comunal,0.3301050844306759
53,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.32905890532348764
54,I13,LO ESPEJO-RIQUELME,Intercomunal,0.32833080195639963
55,C041,VISTA HERMOSA,Comunal,0.32433865422117386
56,C007,EDUARDO CASTILLO VELASCO,Comunal,0.3209682481807713
57,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.31744308727562154
58,C074,URETA COX,Comunal,0.31449957814869145
59,C090,SANTO DOMINGO,Comunal,0.3106717940498921
60,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.3106497256836105
61,C088,ÑUBLE,Comunal,0.30596663776619404
62,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.3053874986899725
63,C028,MADRID,Comunal,0.3053850663175511
64,C034,PEDRO LEON UGALDE,Comunal,0.30513444215224494
65,C037,SAN ALFONSO,Comunal,0.3032697592490899
66,C030,MAULE,Comunal,0.30294715823212187
67,C042,PRINCIPE DE GALES,Comunal,0.3015275299366899
68,C087,SALVADOR GUTIERREZ,Comunal,0.2988400180747415
69,I28,SANTA RAQUEL,Intercomunal,0.2960140924026152
70,C013,HEROES DE LA CONCEPCION,Comunal,0.29161502323158384
71,C027,LOS PRESIDENTES,Comunal,0.2903073892430075
72,I32,EINSTEIN,Intercomunal,0.2891830343121434
73,C004,CONSISTORIAL,Comunal,0.28796525159755554
74,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.28720997267232284
75,C063,LONGITUDINAL,Comunal,0.28538182252354
76,C015,JOSE MANUEL GUZMAN,Comunal,0.2845092001303485
77,C046,EUCALIPTOS,Comunal,0.2836213631052964
78,C022,LLANURA  - EL DESIERTO,Comunal,0.2832694397879176
79,I18,NUEVA IMPERIAL,Intercomunal,0.28249960315815087
80,I31,FERNANDEZ ALBANO,Intercomunal,0.27793271006427517
81,C035,PRODIVENCIA,Comunal,0.27556952254522565
82,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.2725119994529144
83,C062,CORONA SUECA,Comunal,0.27233361403980005
84,C089,J J PEREZ,Comunal,0.26495488367176884
85,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.264928178794096
86,C047,VIOLETA PARRA,Comunal,0.2648001936107111
87,C079,LAS AMERICAS,Comunal,0.26410913255677176
88,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.2599804114545511
89,C011,EYZAGUIRRE,Comunal,0.2597262361382782
90,C069,LOS OLMOS,Comunal,0.2594151168255869
91,C065,NUEVA SAN MARTIN,Comunal,0.2588125082913236
92,C009,EL ROSAL - SANTA ELENA,Comunal,0.258292338870139
93,C076,ISLA DECEPCION,Comunal,0.25765035826791644
94,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.2546555618818747
95,C048,GENERAL ARRIAGADA,Comunal,0.2517348978903142
96,C033,OBSERVATORIO,Comunal,0.25172362934577086
97,I03,CARRASCAL,Intercomunal,0.24854515940907576
98,C054,VICTORIA,Comunal,0.24818166256108362
99,C017,LA PARINACOTA,Comunal,0.24787162646529243
100,C056,TEMUCO - TORO MAZOTTE,Comunal,0.2468166288620158
101,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.24550764665869662
102,C026,LOS MAITENES,Comunal,0.24476449972018605
103,C031,NECOCHEA,Comunal,0.24437487011116932
104,C071,BARROS ARANA,Comunal,0.2432718387690382
105,C082,CAUPOLICAN,Comunal,0.24201028797730914
106,C080,PARAGUAY,Comunal,0.2404621201898296
107,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.23882288406802515
108,C077,RICARDO VIAL,Comunal,0.23530100578344948
109,C012,GABRIELA ORIENTE,Comunal,0.23493763531224565
110,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.23151138733257812
111,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.22770327755636682
112,C008,EL CERRO,Comunal,0.22664145134727998
113,C039,TUPUNGATO,Comunal,0.22275270275256875
114,C072,COVADONGA,Comunal,0.2222660174854263
115,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.219488334536514
