id,nombre,escala,scenario,scenario_label,rank
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,ponderacion_rmc,RMC,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,balanceado,Balanceado,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,equidad,Equidad,10
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,demanda,Demanda,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,ciclistas_biogeme,Logit,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,fractal_alameda,Fractal,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,continuidad,Continuidad,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,eficiencia,Eficiencia,9
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,educacion,Educación,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,integracion,Integración,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,seguridad,Seguridad,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,intermodal,Intermodal,1
I26,SAN PABLO,Intercomunal,ponderacion_rmc,RMC,2
I26,SAN PABLO,Intercomunal,balanceado,Balanceado,3
I26,SAN PABLO,Intercomunal,equidad,Equidad,2
I26,SAN PABLO,Intercomunal,demanda,Demanda,10
I26,SAN PABLO,Intercomunal,ciclistas_biogeme,Logit,3
I26,SAN PABLO,Intercomunal,fractal_alameda,Fractal,2
I26,SAN PABLO,Intercomunal,continuidad,Continuidad,19
I26,SAN PABLO,Intercomunal,eficiencia,Eficiencia,1
I26,SAN PABLO,Intercomunal,educacion,Educación,4
I26,SAN PABLO,Intercomunal,integracion,Integración,5
I26,SAN PABLO,Intercomunal,seguridad,Seguridad,4
I26,SAN PABLO,Intercomunal,intermodal,Intermodal,2
C066,CUATRO PONIENTE,Comunal,ponderacion_rmc,RMC,5
C066,CUATRO PONIENTE,Comunal,balanceado,Balanceado,2
C066,CUATRO PONIENTE,Comunal,equidad,Equidad,1
C066,CUATRO PONIENTE,Comunal,demanda,Demanda,2
C066,CUATRO PONIENTE,Comunal,ciclistas_biogeme,Logit,12
C066,CUATRO PONIENTE,Comunal,fractal_alameda,Fractal,18
C066,CUATRO PONIENTE,Comunal,continuidad,Continuidad,12
C066,CUATRO PONIENTE,Comunal,eficiencia,Eficiencia,4
C066,CUATRO PONIENTE,Comunal,educacion,Educación,2
C066,CUATRO PONIENTE,Comunal,integracion,Integración,4
C066,CUATRO PONIENTE,Comunal,seguridad,Seguridad,2
C066,CUATRO PONIENTE,Comunal,intermodal,Intermodal,15
I16,MATTA-VESPUCIO NORTE,Intercomunal,ponderacion_rmc,RMC,9
I16,MATTA-VESPUCIO NORTE,Intercomunal,balanceado,Balanceado,5
I16,MATTA-VESPUCIO NORTE,Intercomunal,equidad,Equidad,3
I16,MATTA-VESPUCIO NORTE,Intercomunal,demanda,Demanda,8
I16,MATTA-VESPUCIO NORTE,Intercomunal,ciclistas_biogeme,Logit,9
I16,MATTA-VESPUCIO NORTE,Intercomunal,fractal_alameda,Fractal,12
I16,MATTA-VESPUCIO NORTE,Intercomunal,continuidad,Continuidad,3
I16,MATTA-VESPUCIO NORTE,Intercomunal,eficiencia,Eficiencia,12
I16,MATTA-VESPUCIO NORTE,Intercomunal,educacion,Educación,3
I16,MATTA-VESPUCIO NORTE,Intercomunal,integracion,Integración,2
I16,MATTA-VESPUCIO NORTE,Intercomunal,seguridad,Seguridad,10
I16,MATTA-VESPUCIO NORTE,Intercomunal,intermodal,Intermodal,3
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,ponderacion_rmc,RMC,4
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,balanceado,Balanceado,7
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,equidad,Equidad,8
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,demanda,Demanda,3
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,ciclistas_biogeme,Logit,14
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,fractal_alameda,Fractal,4
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,continuidad,Continuidad,8
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,eficiencia,Eficiencia,5
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,educacion,Educación,7
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,integracion,Integración,8
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,seguridad,Seguridad,12
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,intermodal,Intermodal,9
I11,JOSE JOAQUIN PEREZ,Intercomunal,ponderacion_rmc,RMC,3
I11,JOSE JOAQUIN PEREZ,Intercomunal,balanceado,Balanceado,4
I11,JOSE JOAQUIN PEREZ,Intercomunal,equidad,Equidad,12
I11,JOSE JOAQUIN PEREZ,Intercomunal,demanda,Demanda,11
I11,JOSE JOAQUIN PEREZ,Intercomunal,ciclistas_biogeme,Logit,6
I11,JOSE JOAQUIN PEREZ,Intercomunal,fractal_alameda,Fractal,3
I11,JOSE JOAQUIN PEREZ,Intercomunal,continuidad,Continuidad,7
I11,JOSE JOAQUIN PEREZ,Intercomunal,eficiencia,Eficiencia,3
I11,JOSE JOAQUIN PEREZ,Intercomunal,educacion,Educación,6
I11,JOSE JOAQUIN PEREZ,Intercomunal,integracion,Integración,15
I11,JOSE JOAQUIN PEREZ,Intercomunal,seguridad,Seguridad,5
I11,JOSE JOAQUIN PEREZ,Intercomunal,intermodal,Intermodal,17
I22,PEDRO FONTOVA,Intercomunal,ponderacion_rmc,RMC,10
I22,PEDRO FONTOVA,Intercomunal,balanceado,Balanceado,6
I22,PEDRO FONTOVA,Intercomunal,equidad,Equidad,16
I22,PEDRO FONTOVA,Intercomunal,demanda,Demanda,9
I22,PEDRO FONTOVA,Intercomunal,ciclistas_biogeme,Logit,10
I22,PEDRO FONTOVA,Intercomunal,fractal_alameda,Fractal,13
I22,PEDRO FONTOVA,Intercomunal,continuidad,Continuidad,4
I22,PEDRO FONTOVA,Intercomunal,eficiencia,Eficiencia,13
I22,PEDRO FONTOVA,Intercomunal,educacion,Educación,5
I22,PEDRO FONTOVA,Intercomunal,integracion,Integración,3
I22,PEDRO FONTOVA,Intercomunal,seguridad,Seguridad,11
