id,nombre,escala,rank_min,rank_max,rank_range,rank_mean,rank_median,rank_sd,top10_count,top20_count,top30_count,best_scenario,best_scenario_label,worst_scenario,worst_scenario_label
I14,LO OVALLE,Intercomunal,4,124,120,34.916666666666664,11.5,36.28925078066813,5,7,7,ciclistas_biogeme,Logit,eficiencia,Eficiencia
I08,GENERAL OSCAR BONILLA,Intercomunal,5,116,111,33.083333333333336,33.5,27.90596809923561,3,3,5,continuidad,Continuidad,eficiencia,Eficiencia
I25,SAN FRANCISCO,Intercomunal,5,113,108,25.666666666666668,19.0,26.951602714660382,2,7,11,ciclistas_biogeme,Logit,eficiencia,Eficiencia
I05,DIAGONAL JOSE MARIA CARO,Intercomunal,9,110,101,41.25,36.5,23.53056522908024,1,1,3,equidad,Equidad,eficiencia,Eficiencia
C010,ESQ BLANCA - ALBERTO LLONA,Comunal,22,122,100,59.583333333333336,48.0,28.25024581997277,0,0,1,equidad,Equidad,fractal_alameda,Fractal
I06,DIAGONAL ORIENTE,Intercomunal,16,115,99,36.916666666666664,31.0,25.31619486064646,0,2,5,ciclistas_biogeme,Logit,eficiencia,Eficiencia
C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,4,100,96,20.5,9.0,25.934211638940045,8,8,9,demanda,Demanda,equidad,Equidad
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,4,98,94,16.75,10.0,24.762623043611516,7,11,11,equidad,Equidad,eficiencia,Eficiencia
I13,LO ESPEJO-RIQUELME,Intercomunal,25,114,89,47.833333333333336,48.0,22.322758690528275,0,0,3,ciclistas_biogeme,Logit,eficiencia,Eficiencia
C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,32,119,87,74.25,70.0,22.18529918662356,0,0,0,eficiencia,Eficiencia,equidad,Equidad
C085,LOS LIBERTADORES,Comunal,37,123,86,62,49.0,26.972207918522354,0,0,0,equidad,Equidad,fractal_alameda,Fractal
C053,CONDELL,Comunal,23,108,85,41.166666666666664,39.5,21.613396051728866,0,0,4,demanda,Demanda,fractal_alameda,Fractal
C070,MENDOZA (EX-CORONEL ROBLES),Comunal,29,113,84,53.5,47.0,24.924887161229034,0,0,2,continuidad,Continuidad,equidad,Equidad
I24,RADAL,Intercomunal,27,111,84,51.083333333333336,51.0,21.88019779516528,0,0,3,ciclistas_biogeme,Logit,eficiencia,Eficiencia
C029,MARIA ELENA,Comunal,26,106,80,41.333333333333336,35.5,20.02220989024161,0,0,1,educacion,Educación,fractal_alameda,Fractal
C026,LOS MAITENES,Comunal,39,116,77,59.083333333333336,56.5,19.198343389180454,0,0,0,continuidad,Continuidad,equidad,Equidad
C050,MAR DE DRAKE,Comunal,42,118,76,78.41666666666667,79.5,23.848334439863,0,0,0,demanda,Demanda,equidad,Equidad
C015,JOSE MANUEL GUZMAN,Comunal,42,117,75,70.58333333333333,65.5,20.67792032311008,0,0,0,eficiencia,Eficiencia,equidad,Equidad
C056,TEMUCO - TORO MAZOTTE,Comunal,35,109,74,45.5,40.5,19.341234017852464,0,0,0,eficiencia,Eficiencia,equidad,Equidad
C003,CONCHA Y TORO,Comunal,36,109,73,52.916666666666664,43.5,20.60120681470438,0,0,0,equidad,Equidad,fractal_alameda,Fractal
I17,MATUCANA,Intercomunal,38,111,73,49.416666666666664,45.5,18.931712078473574,0,0,0,seguridad,Seguridad,equidad,Equidad
I02,CARLOS VALDOVINOS,Intercomunal,36,107,71,49,44.5,18.0,0,0,0,ciclistas_biogeme,Logit,eficiencia,Eficiencia
I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,23,90,67,45.083333333333336,42.5,14.963613274280455,0,0,1,eficiencia,Eficiencia,equidad,Equidad
I18,NUEVA IMPERIAL,Intercomunal,46,112,66,58.75,54.0,17.243960295322726,0,0,0,intermodal,Intermodal,equidad,Equidad
C063,LONGITUDINAL,Comunal,20,84,64,31.666666666666668,28.0,16.254913786982144,0,2,9,demanda,Demanda,fractal_alameda,Fractal
I15,MARTINEZ DE ROZAS,Intercomunal,13,74,61,39.5,42.0,15.107944929738128,0,2,2,seguridad,Seguridad,eficiencia,Eficiencia
C082,CAUPOLICAN,Comunal,30,90,60,59.083333333333336,55.0,15.887407662114743,0,0,1,equidad,Equidad,ciclistas_biogeme,Logit
