scenario,scenario_label,metric,threshold_pct,step
ponderacion_rmc,Ponderación RMC,Población marginal acumulada,50,9
ponderacion_rmc,Ponderación RMC,Población marginal acumulada,75,20
ponderacion_rmc,Ponderación RMC,Población marginal acumulada,90,38
ponderacion_rmc,Ponderación RMC,Población marginal acumulada,95,59
ponderacion_rmc,Ponderación RMC,Población marginal acumulada,99,120
ponderacion_rmc,Ponderación RMC,Conexión OD / demanda habilitada,50,10
ponderacion_rmc,Ponderación RMC,Conexión OD / demanda habilitada,75,14
ponderacion_rmc,Ponderación RMC,Conexión OD / demanda habilitada,90,29
ponderacion_rmc,Ponderación RMC,Conexión OD / demanda habilitada,95,38
ponderacion_rmc,Ponderación RMC,Conexión OD / demanda habilitada,99,109
ponderacion_rmc,Ponderación RMC,Conectividad topológica / reducción de componentes,50,14
ponderacion_rmc,Ponderación RMC,Conectividad topológica / reducción de componentes,75,30
ponderacion_rmc,Ponderación RMC,Conectividad topológica / reducción de componentes,90,61
ponderacion_rmc,Ponderación RMC,Conectividad topológica / reducción de componentes,95,68
ponderacion_rmc,Ponderación RMC,Conectividad topológica / reducción de componentes,99,82
balanceado,Balanceado,Población marginal acumulada,50,11
balanceado,Balanceado,Población marginal acumulada,75,19
balanceado,Balanceado,Población marginal acumulada,90,35
balanceado,Balanceado,Población marginal acumulada,95,47
balanceado,Balanceado,Población marginal acumulada,99,118
balanceado,Balanceado,Conexión OD / demanda habilitada,50,9
balanceado,Balanceado,Conexión OD / demanda habilitada,75,14
balanceado,Balanceado,Conexión OD / demanda habilitada,90,27
balanceado,Balanceado,Conexión OD / demanda habilitada,95,38
balanceado,Balanceado,Conexión OD / demanda habilitada,99,59
balanceado,Balanceado,Conectividad topológica / reducción de componentes,50,13
balanceado,Balanceado,Conectividad topológica / reducción de componentes,75,32
balanceado,Balanceado,Conectividad topológica / reducción de componentes,90,48
balanceado,Balanceado,Conectividad topológica / reducción de componentes,95,57
balanceado,Balanceado,Conectividad topológica / reducción de componentes,99,57
equidad,Equidad territorial,Población marginal acumulada,50,10
equidad,Equidad territorial,Población marginal acumulada,75,25
equidad,Equidad territorial,Población marginal acumulada,90,38
equidad,Equidad territorial,Población marginal acumulada,95,94
equidad,Equidad territorial,Población marginal acumulada,99,115
equidad,Equidad territorial,Conexión OD / demanda habilitada,50,12
equidad,Equidad territorial,Conexión OD / demanda habilitada,75,18
equidad,Equidad territorial,Conexión OD / demanda habilitada,90,35
equidad,Equidad territorial,Conexión OD / demanda habilitada,95,45
equidad,Equidad territorial,Conexión OD / demanda habilitada,99,116
equidad,Equidad territorial,Conectividad topológica / reducción de componentes,50,19
equidad,Equidad territorial,Conectividad topológica / reducción de componentes,75,36
equidad,Equidad territorial,Conectividad topológica / reducción de componentes,90,48
equidad,Equidad territorial,Conectividad topológica / reducción de componentes,95,100
equidad,Equidad territorial,Conectividad topológica / reducción de componentes,99,120
demanda,Demanda potencial,Población marginal acumulada,50,12
demanda,Demanda potencial,Población marginal acumulada,75,19
demanda,Demanda potencial,Población marginal acumulada,90,36
demanda,Demanda potencial,Población marginal acumulada,95,48
demanda,Demanda potencial,Población marginal acumulada,99,118
demanda,Demanda potencial,Conexión OD / demanda habilitada,50,9
demanda,Demanda potencial,Conexión OD / demanda habilitada,75,14
demanda,Demanda potencial,Conexión OD / demanda habilitada,90,26
demanda,Demanda potencial,Conexión OD / demanda habilitada,95,35
demanda,Demanda potencial,Conexión OD / demanda habilitada,99,47
demanda,Demanda potencial,Conectividad topológica / reducción de componentes,50,14
demanda,Demanda potencial,Conectividad topológica / reducción de componentes,75,30
