scenario,scenario_label,steps,final_population,final_demand_enabled,final_components,final_component_reduction,final_cost_mclp,area_population_person_stage,population_early_capture_index,population_weighted_mean_stage,area_demand_trip_stage,demand_early_capture_index,demand_weighted_mean_stage,area_component_reduction_stage,component_early_capture_index,last_population_gain_step,last_demand_gain_step,last_component_reduction_step,population_50_step,demand_50_step,components_50_step,population_75_step,demand_75_step,components_75_step,population_90_step,demand_90_step,components_90_step,population_95_step,demand_95_step,components_95_step,population_99_step,demand_99_step,components_99_step,joint_population_demand_index,joint_95_step,joint_99_step
ponderacion_rmc,Ponderación RMC,124,600177,871511,105,36,43887,64430859,0.86575077287684,17.646904163271834,97336566,0.9007026950338124,13.312865815807259,3617,0.8102598566308243,124,123,117,9,10,14,20,14,30,38,29,69,59,38,83,120,110,110,0.8832267339553261,59,120
balanceado,Balanceado,124,600177,871511,105,36,43887,64836416,0.8712002002420038,16.97117516999152,97767367,0.9046891066945983,12.8185507698698,3753,0.8407258064516129,124,124,119,11,9,13,19,14,32,35,27,49,47,38,57,118,59,59,0.8879446534683011,47,118
equidad,Equidad territorial,124,600177,871511,105,36,43887,63895385,0.858555664251089,18.539097632864973,94646677,0.8758118408440129,16.39933173534241,3513,0.7869623655913979,124,124,120,10,12,16,25,18,33,38,35,57,75,45,100,115,116,120,0.867183752547551,75,116
demanda,Demanda potencial,124,600177,871509,105,36,43887,64945037,0.8726597293583339,16.790193559566596,98620452,0.912585212323053,11.839433671941427,3767,0.8438620071684588,124,124,119,12,9,14,19,14,29,36,26,47,48,35,67,118,47,67,0.8926224708406935,48,118
ciclistas_biogeme,Ciclistas inducidos (Biogeme),124,600177,871510,105,36,43887,63944093,0.8592101485975616,18.457941573902364,96788303,0.8956303779017583,13.941833140181982,3643,0.816084229390681,124,124,118,12,10,14,22,16,31,39,30,62,70,41,66,119,79,79,0.8774202632496599,70,119
fractal_alameda,Red dendrítica Alameda (fractal),124,600177,871513,105,36,43887,61816047,0.8306158151087365,22.00363892651668,95773352,0.8862354800622411,15.106800472282112,3655,0.8187724014336918,124,123,122,13,10,12,20,16,28,42,31,65,107,49,110,123,112,111,0.8584256475854888,107,123
continuidad,Continuidad de red,124,600177,871512,105,36,43887,63306767,0.8506464652067425,19.51983831436393,98038888,0.9072005819178475,12.507127842186913,3913,0.8765681003584229,124,123,112,12,9,10,25,15,27,40,28,38,57,36,43,120,57,48,0.878923523562295,57,120
eficiencia,Eficiencia presupuestaria,124,600177,871511,105,36,43887,63448811,0.8525550957091313,19.283168132067708,96249120,0.890640027085328,14.560636641419329,3574,0.8006272401433692,123,121,114,12,10,13,22,15,38,47,31,55,77,47,98,122,98,98,0.8715975613972297,77,122
educacion,Educación superior,124,600177,871512,105,36,43887,66003660,0.8868843368625611,15.026342229042433,97748744,0.9045157411265079,12.84004810031302,3658,0.8194444444444444,124,124,119,9,10,18,17,15,33,34,28,52,44,37,64,117,53,64,0.8957000389945344,44,117
integracion,Integración metropolitana,124,600177,871512,105,36,43887,64296688,0.8639479310592623,17.870456548651482,98263214,0.9092763773689271,12.24972920625304,3803,0.8519265232974911,124,124,119,12,9,11,21,15,29,37,28,45,44,35,52,118,45,52,0.8866121542140947,44,118
seguridad,Seguridad vial,124,600177,871512,105,36,43887,63820139,0.8575445915497939,18.664470647825556,96571636,0.8936233994816276,14.190698464278174,3697,0.8281810035842294,124,124,119,11,10,15,24,16,31,37,31,59,51,40,62,116,67,67,0.8755839955157108,51,116
intermodal,Intermodalidad bici-metro,124,600177,871512,105,36,43887,63672898,0.8555661294971747,18.90979994235034,97413507,0.9014136333029227,13.224709470437585,3761,0.8425179211469535,124,124,119,15,10,12,22,16,28,37,27,50,53,35,68,118,59,68,0.8784898814000487,53,118
