scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
seguridad,Seguridad vial,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.678788246977608,44459,550242,58232,217,3,140,-2,2,2,1192,1192,44459,58232,217
seguridad,Seguridad vial,2,C066,CUATRO PONIENTE,Comunal,5,0.5354274740588695,49812,126728,29943,101,1,140,0,0,2,676,1868,94271,88175,318
seguridad,Seguridad vial,3,EP-I34,VICUÑA MACKENNA,Intercomunal,6,0.5270111720545649,0,0,0,271,2,139,-1,1,3,539,2407,94271,88175,589
seguridad,Seguridad vial,4,I26,SAN PABLO,Intercomunal,2,0.5237513890920992,33063,89662,24215,154,2,138,-1,1,4,883,3290,127334,112390,743
seguridad,Seguridad vial,5,I11,JOSE JOAQUIN PEREZ,Intercomunal,8,0.5176897065340929,28111,1128669,53252,107,1,138,0,0,4,690,3980,155445,165642,850
seguridad,Seguridad vial,6,EP-I10,GRAN AVENIDA,Intercomunal,10,0.5047796696722838,17736,287223,30687,123,2,137,-1,1,5,913,4893,173181,196329,973
seguridad,Seguridad vial,7,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,18,0.654039930107553,8432,698656,115411,148,4,134,-3,3,8,1435,6328,181613,311740,1121
seguridad,Seguridad vial,8,C068,SAN CARLOS,Comunal,13,0.5223371803831155,35574,359032,74043,67,3,132,-2,2,10,587,6915,217187,385783,1188
seguridad,Seguridad vial,9,I14,LO OVALLE,Intercomunal,3,0.4992152860549866,45894,213607,31736,230,1,132,0,0,10,1374,8289,263081,417519,1418
seguridad,Seguridad vial,10,I16,MATTA-VESPUCIO NORTE,Intercomunal,11,0.48603432731743407,34088,84165,18290,126,3,130,-2,2,12,990,9279,297169,435809,1544
seguridad,Seguridad vial,11,I22,PEDRO FONTOVA,Intercomunal,19,0.5647074585417138,16446,1205264,80382,72,3,128,-2,2,14,688,9967,313615,516191,1616
seguridad,Seguridad vial,12,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,9,0.4899192995239625,28110,40675,21894,108,2,127,-1,1,15,800,10767,341725,538085,1724
seguridad,Seguridad vial,13,I15,MARTINEZ DE ROZAS,Intercomunal,4,0.47524308077936206,0,0,0,251,1,127,0,0,15,640,11407,341725,538085,1975
seguridad,Seguridad vial,14,I04,DEL FERROCARRIL,Intercomunal,28,0.46787965847549473,6753,372165,63476,59,3,125,-2,2,17,652,12059,348478,601561,2034
seguridad,Seguridad vial,15,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,0.48049917050988195,0,64354,33578,156,3,123,-2,2,19,341,12400,348478,635139,2190
seguridad,Seguridad vial,16,I21,PEDRO DE VALDIVIA,Intercomunal,26,0.46643876582691074,14501,736076,25307,75,1,123,0,0,19,474,12874,362979,660446,2265
seguridad,Seguridad vial,17,I06,DIAGONAL ORIENTE,Intercomunal,15,0.4532523255801292,4804,4804,2894,254,1,123,0,0,19,1138,14012,367783,663340,2519
seguridad,Seguridad vial,18,I27,SANTA CECILIA - NONATO COO,Intercomunal,29,0.44945042685665637,24624,24624,14290,124,1,123,0,0,19,644,14656,392407,677630,2643
seguridad,Seguridad vial,19,I10,GRAN AVENIDA,Intercomunal,16,0.4442332188818939,8363,8363,4326,81,1,123,0,0,19,448,15104,400770,681956,2724
seguridad,Seguridad vial,20,I29,SANTA ROSA,Intercomunal,21,0.4382461877765274,5202,5202,2827,132,2,122,-1,1,20,710,15814,405972,684783,2856
seguridad,Seguridad vial,21,EP-I33,LA CHIMBA,Intercomunal,20,0.4230384917386838,4379,11547,5001,198,2,121,-1,1,21,971,16785,410351,689784,3054
seguridad,Seguridad vial,22,I01,BARÓN DE JURAS REALES,Intercomunal,17,0.42062075548997596,16219,16219,9010,123,1,121,0,0,21,781,17566,426570,698794,3177
seguridad,Seguridad vial,23,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,12,0.3971030879541905,22368,22368,11753,138,1,121,0,0,21,1031,18597,448938,710547,3315
seguridad,Seguridad vial,24,C086,LA ESTRELLA,Comunal,35,0.3855081064597144,5624,295545,26421,33,2,120,-1,1,22,185,18782,454562,736968,3348
seguridad,Seguridad vial,25,I25,SAN FRANCISCO,Intercomunal,44,0.39979079385903726,26575,26575,13574,210,1,120,0,0,22,1001,19783,481137,750542,3558
seguridad,Seguridad vial,26,I32,EINSTEIN,Intercomunal,63,0.3386067075489868,4200,4200,2503,69,1,120,0,0,22,366,20149,485337,753045,3627
seguridad,Seguridad vial,27,C035,PRODIVENCIA,Comunal,73,0.3600296819981456,0,11942,7334,2,2,119,-1,1,23,33,20182,485337,760379,3629
seguridad,Seguridad vial,28,C063,LONGITUDINAL,Comunal,68,0.3417739768649604,13349,24325,14704,38,1,119,0,0,23,192,20374,498686,775083,3667
seguridad,Seguridad vial,29,C006,DOMINGO TOCORNAL,Comunal,14,0.33411632288854753,0,4416,2578,70,2,118,-1,1,24,439,20813,498686,777661,3737
seguridad,Seguridad vial,30,C089,J J PEREZ,Comunal,76,0.33376098289055983,0,9565,5573,19,2,117,-1,1,25,198,21011,498686,783234,3756
seguridad,Seguridad vial,31,C046,EUCALIPTOS,Comunal,75,0.34833879892755526,16,7223,4212,30,2,116,-1,1,26,206,21217,498702,787446,3786
seguridad,Seguridad vial,32,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,66,0.36529368244675425,12471,12471,7274,36,1,116,0,0,26,259,21476,511173,794720,3822
seguridad,Seguridad vial,33,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,51,0.32483443922043287,4301,12567,6265,64,3,114,-2,2,28,332,21808,515474,800985,3886
seguridad,Seguridad vial,34,C029,MARIA ELENA,Comunal,27,0.32346567572986257,7474,7474,4249,55,1,114,0,0,28,270,22078,522948,805234,3941
seguridad,Seguridad vial,35,C060,ROJAS MAGALLANES,Comunal,33,0.31381379621894406,6013,6013,3413,66,1,114,0,0,28,395,22473,528961,808647,4007
seguridad,Seguridad vial,36,I28,SANTA RAQUEL,Intercomunal,55,0.35453925127515407,10375,10375,5709,66,1,114,0,0,28,300,22773,539336,814356,4073
seguridad,Seguridad vial,37,I08,GENERAL OSCAR BONILLA,Intercomunal,22,0.362173396248453,4898,13286,7918,87,1,114,0,0,28,595,23368,544234,822274,4160
seguridad,Seguridad vial,38,I17,MATUCANA,Intercomunal,46,0.30362647310443963,3082,3082,1850,89,1,114,0,0,28,287,23655,547316,824124,4249
seguridad,Seguridad vial,39,I24,RADAL,Intercomunal,32,0.30202944533837967,0,8616,3735,114,2,113,-1,1,29,509,24164,547316,827859,4363
seguridad,Seguridad vial,40,I03,CARRASCAL,Intercomunal,60,0.3512931316995237,0,16584,9569,62,2,112,-1,1,30,442,24606,547316,837428,4425
seguridad,Seguridad vial,41,C053,CONDELL,Comunal,41,0.3015066373663201,5706,5706,3325,76,1,112,0,0,30,280,24886,553022,840753,4501
