rank,id,nombre,escala,score
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.678788246977608
2,I26,SAN PABLO,Intercomunal,0.5688456289654592
3,I14,LO OVALLE,Intercomunal,0.564898844718448
4,I15,MARTINEZ DE ROZAS,Intercomunal,0.5486128301560148
5,C066,CUATRO PONIENTE,Comunal,0.5354274740588695
6,EP-I34,VICUÑA MACKENNA,Intercomunal,0.5270111720545649
7,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.520803524379584
8,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.5079940946146336
9,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.48781743315181025
10,EP-I10,GRAN AVENIDA,Intercomunal,0.48661528611064003
11,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.48603432731743407
12,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.4532361824653527
13,C068,SAN CARLOS,Comunal,0.4387496301409594
14,C006,DOMINGO TOCORNAL,Comunal,0.43472401297428404
15,I06,DIAGONAL ORIENTE,Intercomunal,0.434145661680213
16,I10,GRAN AVENIDA,Intercomunal,0.41923215723956925
17,I01,BARÓN DE JURAS REALES,Intercomunal,0.4117280789596268
18,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.4011660208738926
19,I22,PEDRO FONTOVA,Intercomunal,0.39947910024952293
20,EP-I33,LA CHIMBA,Intercomunal,0.3986618995403225
21,I29,SANTA ROSA,Intercomunal,0.39610459258213954
22,I08,GENERAL OSCAR BONILLA,Intercomunal,0.38945229622171573
23,I02,CARLOS VALDOVINOS,Intercomunal,0.36791070669319903
24,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.36607004192294773
25,C003,CONCHA Y TORO,Comunal,0.3638859282316158
26,I21,PEDRO DE VALDIVIA,Intercomunal,0.36383349749250593
27,C029,MARIA ELENA,Comunal,0.35901688493358125
28,I04,DEL FERROCARRIL,Intercomunal,0.34953623554792396
29,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.3427889052750125
30,I07,EL GUANACO,Intercomunal,0.33550223740681995
31,C050,MAR DE DRAKE,Comunal,0.32869336392591514
32,I24,RADAL,Intercomunal,0.32274904195908216
33,C060,ROJAS MAGALLANES,Comunal,0.32001277082360574
34,C024,LOS ARRAYANES - LOS COPIHUES,Comunal,0.3090319546090073
35,C086,LA ESTRELLA,Comunal,0.3079609203141734
36,C061,EL PINAR,Comunal,0.30295658470144066
37,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.30132947935569715
38,C081,SAN GREGORIO - DIEGO MEZA,Comunal,0.3006328764322503
39,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.2978033205139703
40,I09,GENERAL VELASQUEZ,Intercomunal,0.2944432489877905
41,C053,CONDELL,Comunal,0.2934971640590592
42,C023,AVENIDA DORSAL,Comunal,0.28582293651168256
43,C070,MENDOZA (EX-CORONEL ROBLES),Comunal,0.284454715809704
44,I25,SAN FRANCISCO,Intercomunal,0.2824446011762806
45,C043,NEPTUNO,Comunal,0.2770294810020564
46,I17,MATUCANA,Intercomunal,0.2739281689178078
47,C001,SAN EUGENIO,Comunal,0.2652865223873766
48,C044,LOS CERRILLOS,Comunal,0.2627183629362572
49,C078,WALDO TAFF,Comunal,0.2620777757100156
50,C041,VISTA HERMOSA,Comunal,0.25716535708900723
51,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.25538114547332735
52,I13,LO ESPEJO-RIQUELME,Intercomunal,0.25391327279708376
53,C007,EDUARDO CASTILLO VELASCO,Comunal,0.25370892956568825
54,C049,FEDERICO ERRÁZURIZ (EX SERRANO),Comunal,0.24654279191581813
55,I28,SANTA RAQUEL,Intercomunal,0.24559664562617428
56,C032,OBISPO MANUEL UMAÑA,Comunal,0.24539456112314048
57,C014,JOSE DOMINGO CAÑAS,Comunal,0.23979541965402262
58,I18,NUEVA IMPERIAL,Intercomunal,0.23897944380202468
59,C022,LLANURA  - EL DESIERTO,Comunal,0.2345396708578938
60,I03,CARRASCAL,Intercomunal,0.2302728259726852
61,C064,SILVA CARVALLO - SANTA ELENA,Comunal,0.22924558806979956
62,C087,SALVADOR GUTIERREZ,Comunal,0.22874146077486646
63,I32,EINSTEIN,Intercomunal,0.22792648588830144
64,I31,FERNANDEZ ALBANO,Intercomunal,0.22715126097621918
65,C083,ORIENTAL-LAS PARCELAS,Comunal,0.22613305839272968
66,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.22557924605364446
67,C062,CORONA SUECA,Comunal,0.22493296108820457
68,C063,LONGITUDINAL,Comunal,0.22364269355408942
69,I23,PETERSEN - VICUÑA MACKENNA,Intercomunal,0.22311161278882183
70,C074,URETA COX,Comunal,0.2211614659524715
71,C065,NUEVA SAN MARTIN,Comunal,0.22098602200253295
72,C005,CORONEL ALEJANDRO SEPULVEDA,Comunal,0.21875215701199935
73,C035,PRODIVENCIA,Comunal,0.21820047633838585
74,C030,MAULE,Comunal,0.21602614812505008
75,C046,EUCALIPTOS,Comunal,0.21202706612215008
76,C089,J J PEREZ,Comunal,0.21186642184499846
77,C011,EYZAGUIRRE,Comunal,0.21044072862756932
78,C090,SANTO DOMINGO,Comunal,0.2099783905670713
79,C088,ÑUBLE,Comunal,0.2085131402389867
80,C033,OBSERVATORIO,Comunal,0.20593540719251435
81,C037,SAN ALFONSO,Comunal,0.20477078489768355
82,C051,JOSE MIGUEL INFANTE - DOMINGO STA MARIA,Comunal,0.20244804516855178
83,C012,GABRIELA ORIENTE,Comunal,0.2019452965095812
84,C028,MADRID,Comunal,0.20188363569382667
85,C009,EL ROSAL - SANTA ELENA,Comunal,0.2006284768405507
86,C034,PEDRO LEON UGALDE,Comunal,0.19966500776315751
87,C015,JOSE MANUEL GUZMAN,Comunal,0.19945263768194677
88,C027,LOS PRESIDENTES,Comunal,0.19865464935969782
89,C042,PRINCIPE DE GALES,Comunal,0.19863640848302574
90,C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,Comunal,0.19830617826010305
91,C010,ESQ BLANCA - ALBERTO LLONA,Comunal,0.19824829485959586
92,C048,GENERAL ARRIAGADA,Comunal,0.19761459527894887
93,C017,LA PARINACOTA,Comunal,0.19496820181993532
94,C40,VICUÑA MACKENNA - SAN MARTIN,Comunal,0.1942505961995306
95,C013,HEROES DE LA CONCEPCION,Comunal,0.19094151554190542
96,C069,LOS OLMOS,Comunal,0.18983260493708284
97,C026,LOS MAITENES,Comunal,0.18710025273551206
98,C076,ISLA DECEPCION,Comunal,0.18681499932205975
99,C047,VIOLETA PARRA,Comunal,0.1841229410308073
100,C071,BARROS ARANA,Comunal,0.1837964555949669
101,C004,CONSISTORIAL,Comunal,0.18261604042579554
102,C054,VICTORIA,Comunal,0.18009064470951655
103,C002,CAPITAN IGNACIO CARRERA PINTO,Comunal,0.17942423268855062
104,C036,RIO REFUGIO - SALAR SURIRE,Comunal,0.17876159918873766
105,C082,CAUPOLICAN,Comunal,0.1755433039032836
106,C080,PARAGUAY,Comunal,0.17266467444767852
107,C031,NECOCHEA,Comunal,0.1723671350011423
108,C019,LAS HIJUELAS SUR - LIBERTADOR BERNARDO OHIGGINS,Comunal,0.1702654255681173
109,C038,TALCAHUANO - SANTA INES - LOS EDILES,Comunal,0.16972771610784587
110,C072,COVADONGA,Comunal,0.16681711608556912
111,C056,TEMUCO - TORO MAZOTTE,Comunal,0.16631902274621535
112,C077,RICARDO VIAL,Comunal,0.16511531712490793
113,C079,LAS AMERICAS,Comunal,0.15989005194068565
114,C085,LOS LIBERTADORES,Comunal,0.15707679904183822
115,C039,TUPUNGATO,Comunal,0.15440038689138144
116,C045,PORTO ALEGRE,Comunal,0.1543243746051151
117,C084,EL PINO - UNO SUR,Comunal,0.15311209872600479
118,C008,EL CERRO,Comunal,0.152938760001665
119,C055,ARTURO PRAT,Comunal,0.14803874024451963
120,C073,LOS MORROS,Comunal,0.1357569339848902
121,C021,LAUTARO,Comunal,0.1338885164536177
122,C018,LA PRIMAVERA,Comunal,0.11896223430143381
123,C025,LOS DURAZNOS,Comunal,0.11464467647190169
124,C016,JUANITA,Comunal,0.11058246789766273
