label,from,to,k,jaccard_top_k,spearman_rank,kendall_tau,desplazamiento_medio,desplazamiento_maximo,coincidencias_top_k,reference,comparison
efecto_W_con_todos,balance_all,rmc_all,5,1,1,1,0,0,5,A,B
efecto_W_con_todos,balance_all,rmc_all,10,1,0.9878787878787879,0.9555555555555556,0.2,1,10,A,B
efecto_W_con_todos,balance_all,rmc_all,20,0.9047619047619048,0.9909774436090225,0.9473684210526315,0.45,3,19,A,B
efecto_W_con_todos,balance_all,rmc_all,30,1,0.9924360400444939,0.9494252873563218,0.5333333333333333,3,30,A,B
efecto_elegibilidad_con_balanceado,balance_all,balance_eligible,5,0,-0.4,-0.4,11.8,23,0,A,B
efecto_elegibilidad_con_balanceado,balance_all,balance_eligible,10,0.1111111111111111,0.5515151515151515,0.07142857142857142,10.4,23,2,A,B
efecto_elegibilidad_con_balanceado,balance_all,balance_eligible,20,0.2903225806451613,0.47518796992481205,0.2967032967032967,9.9,23,9,A,B
efecto_elegibilidad_con_balanceado,balance_all,balance_eligible,30,0.4634146341463415,0.7499443826473859,0.38011695906432746,11.333333333333334,26,19,A,B
efecto_elegibilidad_con_RMC,rmc_all,rmc_eligible,5,0,-0.1,0,12.6,24,0,A,B
efecto_elegibilidad_con_RMC,rmc_all,rmc_eligible,10,0.1111111111111111,-0.05454545454545454,0,9.9,24,2,A,B
efecto_elegibilidad_con_RMC,rmc_all,rmc_eligible,20,0.2903225806451613,0.675187969924812,0.31868131868131866,9.85,24,9,A,B
efecto_elegibilidad_con_RMC,rmc_all,rmc_eligible,30,0.3953488372093023,0.9012235817575084,0.3235294117647059,13,30,17,A,B
efecto_W_en_CI,balance_eligible,rmc_eligible,5,0.6666666666666666,0.4,0.4,1.6,3,4,A,B
efecto_W_en_CI,balance_eligible,rmc_eligible,10,0.8181818181818182,0.6,0.4666666666666667,3.1,12,9,A,B
efecto_W_en_CI,balance_eligible,rmc_eligible,20,0.9047619047619048,0.8075187969924812,0.6631578947368421,3,14,19,A,B
efecto_W_en_CI,balance_eligible,rmc_eligible,30,0.875,0.8883203559510567,0.7619047619047619,4.233333333333333,30,28,A,B
cambio_total_diseno,balance_all,rmc_eligible,5,0,-0.2,-0.2,12.8,24,0,A,B
cambio_total_diseno,balance_all,rmc_eligible,10,0.1111111111111111,-0.06666666666666667,-0.05555555555555555,9.7,24,2,A,B
cambio_total_diseno,balance_all,rmc_eligible,20,0.3333333333333333,0.58796992481203,0.2967032967032967,9.9,24,10,A,B
cambio_total_diseno,balance_all,rmc_eligible,30,0.3953488372093023,0.8754171301446051,0.3088235294117647,13.033333333333333,30,17,A,B
