id,nombre,escala,static_rank,score
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,0.668369
I14,LO OVALLE,Intercomunal,2,0.637624
I26,SAN PABLO,Intercomunal,3,0.626619
I30,WALKER - HUALLE - AGUIRRE,Intercomunal,4,0.581388
C066,CUATRO PONIENTE,Comunal,5,0.572345
I11,JOSE JOAQUIN PEREZ,Intercomunal,6,0.572009
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,0.55805
I16,MATTA-VESPUCIO NORTE,Intercomunal,8,0.522532
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,9,0.496133
I15,MARTINEZ DE ROZAS,Intercomunal,10,0.49008
I01,BARÓN DE JURAS REALES,Intercomunal,11,0.486704
C068,SAN CARLOS,Comunal,12,0.481467
EP-I34,VICUÑA MACKENNA,Intercomunal,13,0.478942
I22,PEDRO FONTOVA,Intercomunal,14,0.472712
I09,GENERAL VELASQUEZ,Intercomunal,15,0.453372
I08,GENERAL OSCAR BONILLA,Intercomunal,16,0.443682
C006,DOMINGO TOCORNAL,Comunal,17,0.442487
I05,DIAGONAL JOSE MARIA CARO,Intercomunal,18,0.438787
EP-I10,GRAN AVENIDA,Intercomunal,19,0.435007
I21,PEDRO DE VALDIVIA,Intercomunal,20,0.431305
