step,id,nombre,escala,score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.668369,44459,550242,58232,217,3,139,1192,1,100,44459,58232,217,1192
2,I26,SAN PABLO,Intercomunal,0.586088,33063,89662,24215,154,2,138,883,1,100,77522,82447,371,2075
3,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.600556,28111,1128669,53252,107,1,138,690,1,100,105633,135699,478,2765
4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.593208,28110,292020,36471,108,2,137,800,1,100,133743,172170,586,3565
5,C066,CUATRO PONIENTE,Comunal,0.572345,49812,126728,29943,101,1,137,676,2,50,183555,202113,687,4241
6,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,0.552259,4301,335823,85198,62,4,134,332,1,100,187856,287311,749,4573
7,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.553491,45106,202871,27196,137,1,134,1031,1,100,232962,314507,886,5604
8,C068,SAN CARLOS,Comunal,0.53902,35574,407794,74172,67,3,132,587,2,50,268536,388679,953,6191
9,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.522532,34088,84165,18290,126,3,130,990,2,50,302624,406969,1079,7181
10,I22,PEDRO FONTOVA,Intercomunal,0.624601,16446,1185713,79843,72,3,128,688,1,100,319070,486812,1151,7869
11,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.562161,3668,484781,40791,147,3,126,1435,1,100,322738,527603,1298,9304
12,I04,DEL FERROCARRIL,Intercomunal,0.571983,14321,374008,67208,58,3,124,652,1,100,337059,594811,1356,9956
13,I21,PEDRO DE VALDIVIA,Intercomunal,0.547631,14501,740377,25388,75,1,124,474,1,100,351560,620199,1431,10430
14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.561535,0,64354,33578,156,3,122,341,0,100,351560,653777,1587,10771
15,I10,GRAN AVENIDA,Intercomunal,0.52569,38695,38695,20301,76,1,122,448,2,50,390255,674078,1663,11219
16,I01,BARÓN DE JURAS REALES,Intercomunal,0.511438,16219,16219,9010,123,1,122,781,1,100,406474,683088,1786,12000
17,I27,SANTA CECILIA - NONATO COO,Intercomunal,0.508788,24624,24624,14290,124,1,122,644,1,100,431098,697378,1910,12644
18,EP-I34,VICUÑA MACKENNA,Intercomunal,0.478942,0,0,0,272,2,121,539,1,100,431098,697378,2182,13183
19,EP-I10,GRAN AVENIDA,Intercomunal,0.464428,4764,9973,5817,127,2,120,913,1,100,435862,703195,2309,14096
20,I25,SAN FRANCISCO,Intercomunal,0.438972,29567,29567,15082,210,1,120,1001,2,50,465429,718277,2519,15097
21,I09,GENERAL VELASQUEZ,Intercomunal,0.434081,735,13323,5298,71,1,120,643,1,100,466164,723575,2590,15740
22,EP-I33,LA CHIMBA,Intercomunal,0.433503,4379,11547,5001,199,2,119,971,1,100,470543,728576,2789,16711
23,C086,LA ESTRELLA,Comunal,0.497033,5624,295545,26421,33,2,118,185,1,100,476167,754997,2822,16896
24,I06,DIAGONAL ORIENTE,Intercomunal,0.443587,4804,4804,2894,256,1,118,1138,1,100,480971,757891,3078,18034
25,C089,J J PEREZ,Comunal,0.424807,0,9565,5573,19,2,117,198,1,100,480971,763464,3097,18232
26,C046,EUCALIPTOS,Comunal,0.450987,16,7223,4212,30,2,116,206,1,100,480987,767676,3127,18438
27,C052,BAQUEDANO - POSTALES ORIENTE,Comunal,0.453936,12471,12471,7274,36,1,116,259,1,100,493458,774950,3163,18697
28,C035,PRODIVENCIA,Comunal,0.439387,0,11942,7334,2,2,115,33,2,50,493458,782284,3165,18730
29,C063,LONGITUDINAL,Comunal,0.423211,13349,24325,14704,38,1,115,192,2,50,506807,796988,3203,18922
30,I24,RADAL,Intercomunal,0.415247,0,8616,3735,110,2,114,509,1,100,506807,800723,3313,19431
