rank,id,nombre,escala,score,poblacion_marginal,demanda_habilitada,componentes_unidos,grado_dendritico,score_dendritico
1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,0.668369,44459,58232,3,1.0,100
2,I14,LO OVALLE,Intercomunal,0.637624,45894,57930,3,1.0,100
3,I26,SAN PABLO,Intercomunal,0.626619,38151,23411,2,1.0,100
4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,0.581388,28110,36209,2,1.0,100
5,C066,CUATRO PONIENTE,Comunal,0.572345,49812,29943,1,2.0,50
6,I11,JOSE JOAQUIN PEREZ,Intercomunal,0.572009,33712,25448,2,1.0,100
7,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,0.55805,0,47572,4,0.0,100
8,I16,MATTA-VESPUCIO NORTE,Intercomunal,0.522532,34088,18290,3,2.0,50
9,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,0.496133,54569,21620,1,2.0,50
10,I15,MARTINEZ DE ROZAS,Intercomunal,0.49008,5601,1893,1,1.0,100
11,I01,BARÓN DE JURAS REALES,Intercomunal,0.486704,16219,9277,2,1.0,100
12,C068,SAN CARLOS,Comunal,0.481467,35574,42081,3,2.0,50
13,EP-I34,VICUÑA MACKENNA,Intercomunal,0.478942,0,0,2,1.0,100
14,I22,PEDRO FONTOVA,Intercomunal,0.472712,17615,13250,2,1.0,100
15,I09,GENERAL VELASQUEZ,Intercomunal,0.453372,11458,7329,1,1.0,100
16,I08,GENERAL OSCAR BONILLA,Intercomunal,0.443682,14953,4723,3,2.0,50
17,C006,DOMINGO TOCORNAL,Comunal,0.442487,13425,37594,4,2.0,50
18,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,0.438787,23514,16254,1,2.0,50
19,EP-I10,GRAN AVENIDA,Intercomunal,0.435007,17736,30687,2,2.0,50
20,I21,PEDRO DE VALDIVIA,Intercomunal,0.431305,14501,19983,1,1.0,100
21,I07,EL GUANACO,Intercomunal,0.425364,0,10066,2,1.0,100
22,I02,CARLOS VALDOVINOS,Intercomunal,0.424257,0,4476,2,1.0,100
23,I29,SANTA ROSA,Intercomunal,0.422785,5202,3216,2,1.0,100
24,C060,ROJAS MAGALLANES,Comunal,0.42182,10017,21585,1,1.0,100
25,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,Comunal,0.417195,8042,32280,2,1.0,100
26,I24,RADAL,Intercomunal,0.415198,5088,18184,2,1.0,100
27,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,0.414404,20704,4563,3,2.0,50
28,I10,GRAN AVENIDA,Intercomunal,0.406714,38695,7814,1,2.0,50
29,C058,ANTONIO EBNER-BARROS ARANA,Comunal,0.406632,0,28339,2,1.0,100
30,EP-I33,LA CHIMBA,Intercomunal,0.404423,4379,3687,2,1.0,100
