id,frecuencia,apariciones,escenarios
I12,1,12,12
I26,0.9166666666666666,11,12
C068,0.8333333333333334,10,12
I16,0.8333333333333334,10,12
I30,0.8333333333333334,10,12
C066,0.6666666666666666,8,12
C067,0.6666666666666666,8,12
I11,0.6666666666666666,8,12
I22,0.6666666666666666,8,12
I19,0.5833333333333334,7,12
I04,0.5,6,12
I14,0.4166666666666667,5,12
EP-ALAMEDA-T3,0.25,3,12
EP-I34,0.25,3,12
I08,0.25,3,12
EP-I10,0.16666666666666666,2,12
I25,0.16666666666666666,2,12
C006,0.08333333333333333,1,12
I05,0.08333333333333333,1,12
I10,0.08333333333333333,1,12
I20,0.08333333333333333,1,12
