baseline,normalization,step,id,nombre,score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
poblacion,fixed-G0,1,MET-L04,Radial,1,100383,1498876,215330,0,12,131,5765,,0,100383,215330,0,5765
poblacion,fixed-G0,2,MET-L07,Diagonal Padre Hurtado - Vitacura,0.796011,79906,264434,65078,0,6,127,4787,,0,180289,280408,0,10552
poblacion,fixed-G0,3,MET-L09,Rinconada Maipú - Cajon del Maipo,0.674297,67688,971558,230304,0,5,123,3067,,0,247977,510712,0,13619
poblacion,fixed-G0,4,MET-L03,Norte - Sur,0.625136,62753,972444,62369,0,4,120,3775,,0,310730,573081,0,17394
poblacion,fixed-G0,5,MET-L06,Diagonal Norte - Sur,0.493938,49583,119596,57146,0,6,115,5163,,0,360313,630227,0,22557
poblacion,fixed-G0,6,MET-L05,Diagonal San Bdo - La Dehesa,0.378998,38045,67671,35273,0,3,113,5116,,0,398358,665500,0,27673
poblacion,fixed-G0,7,I16,MATTA-VESPUCIO NORTE,0.339579,34088,1181770,60491,0,2,112,990,,0,432446,725991,0,28663
poblacion,fixed-G0,8,I26,SAN PABLO,0.327555,32881,80853,34854,0,2,111,883,,0,465327,760845,0,29546
poblacion,fixed-G0,9,C068,SAN CARLOS,0.326131,32738,32738,19120,0,1,111,587,,0,498065,779965,0,30133
poblacion,fixed-G0,10,I30,WALKER - HUALLE - AGUIRRE,0.280027,28110,28110,15869,0,1,111,800,,0,526175,795834,0,30933
poblacion,fixed-G0,11,MET-L08,Central,0.272098,27314,771681,54862,0,3,109,3335,,0,553489,850696,0,34268
poblacion,fixed-G0,12,MET-L02,Mapocho,0.259367,26036,38861,20864,0,3,107,3105,,0,579525,871560,0,37373
poblacion,fixed-G0,13,C066,CUATRO PONIENTE,0.216859,21769,21769,13362,0,1,107,676,,0,601294,884922,0,38049
poblacion,fixed-G0,14,I20,PAC - LO ESPEJO - EL BOSQUE,0.200263,20103,20103,10769,0,1,107,1031,,0,621397,895691,0,39080
poblacion,fixed-G0,15,MET-L01,Rinconada - Santuario,0.180688,18138,377613,41254,0,5,103,4415,,0,639535,936945,0,43495
poblacion,fixed-G0,16,I10,GRAN AVENIDA,0.136696,13722,13722,7060,0,1,103,448,,0,653257,944005,0,43943
poblacion,fixed-G0,17,I27,SANTA CECILIA - NONATO COO,0.134913,13543,13543,7818,0,1,103,644,,0,666800,951823,0,44587
poblacion,fixed-G0,18,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.131506,13201,13201,7387,0,1,103,1192,,0,680001,959210,0,45779
poblacion,fixed-G0,19,C044,LOS CERRILLOS,0.090723,9107,9107,5227,0,1,103,196,,0,689108,964437,0,45975
poblacion,fixed-G0,20,C052,BAQUEDANO - POSTALES ORIENTE,0.082883,8320,19283,11245,0,2,102,259,,0,697428,975682,0,46234
demanda,fixed-G0,1,MET-L05,Diagonal San Bdo - La Dehesa,1,74619,969094,231055,0,5,138,5116,,0,74619,231055,0,5116
demanda,fixed-G0,2,MET-L04,Radial,0.954284,96491,1488120,220492,0,12,127,5765,,0,171110,451547,0,10881
demanda,fixed-G0,3,I14,LO OVALLE,0.335383,45894,1010660,77492,0,3,125,1374,,0,217004,529039,0,12255
demanda,fixed-G0,4,I16,MATTA-VESPUCIO NORTE,0.255424,34088,1085358,59017,0,3,123,990,,0,251092,588056,0,13245
demanda,fixed-G0,5,MET-L06,Diagonal Norte - Sur,0.24025,51856,99600,55511,0,5,119,5163,,0,302948,643567,0,18408
demanda,fixed-G0,6,MET-L03,Norte - Sur,0.216009,38386,1053337,49910,0,4,116,3775,,0,341334,693477,0,22183
demanda,fixed-G0,7,MET-L01,Rinconada - Santuario,0.192513,21328,354802,44481,0,5,112,4415,,0,362662,737958,0,26598
demanda,fixed-G0,8,MET-L09,Rinconada Maipú - Cajon del Maipo,0.163039,55040,65025,37671,0,3,110,3067,,0,417702,775629,0,29665
demanda,fixed-G0,9,I26,SAN PABLO,0.159516,32881,80853,36857,0,2,109,883,,0,450583,812486,0,30548
demanda,fixed-G0,10,MET-L07,Diagonal Padre Hurtado - Vitacura,0.151393,45297,63081,34980,0,5,106,4787,,0,495880,847466,0,35335
demanda,fixed-G0,11,MET-L02,Mapocho,0.090299,26036,38861,20864,0,3,104,3105,,0,521916,868330,0,38440
demanda,fixed-G0,12,C068,SAN CARLOS,0.082751,32738,32738,19120,0,1,104,587,,0,554654,887450,0,39027
demanda,fixed-G0,13,MET-L08,Central,0.07142,27314,27314,16502,0,2,103,3335,,0,581968,903952,0,42362
demanda,fixed-G0,14,I30,WALKER - HUALLE - AGUIRRE,0.068681,28110,28110,15869,0,1,103,800,,0,610078,919821,0,43162
demanda,fixed-G0,15,C066,CUATRO PONIENTE,0.05783,21769,21769,13362,0,1,103,676,,0,631847,933183,0,43838
demanda,fixed-G0,16,C052,BAQUEDANO - POSTALES ORIENTE,0.048668,8320,19283,11245,0,2,102,259,,0,640167,944428,0,44097
demanda,fixed-G0,17,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.040557,16853,16853,9371,0,1,102,1192,,0,657020,953799,0,45289
demanda,fixed-G0,18,I22,PEDRO FONTOVA,0.035524,5297,13773,8208,0,2,101,688,,0,662317,962007,0,45977
demanda,fixed-G0,19,I27,SANTA CECILIA - NONATO COO,0.033836,13543,13543,7818,0,1,101,644,,0,675860,969825,0,46621
demanda,fixed-G0,20,I10,GRAN AVENIDA,0.030555,13722,13722,7060,0,1,101,448,,0,689582,976885,0,47069
equidad,fixed-G0,1,C023,AVENIDA DORSAL,1,16898,22891,2312,0,1,142,308,,0,16898,2312,0,308
equidad,fixed-G0,2,C050,MAR DE DRAKE,1,13308,53383,11221,0,1,142,177,,0,30206,13533,0,485
equidad,fixed-G0,3,C061,EL PINAR,1,5202,5202,2010,0,1,142,222,,0,35408,15543,0,707
equidad,fixed-G0,4,C086,LA ESTRELLA,1,18052,33460,3853,0,1,142,185,,0,53460,19396,0,892
equidad,fixed-G0,5,I19,PAC-LO ESPEJO-SN BDO,1,20704,62835,4563,0,3,140,1435,,0,74164,23959,0,2327
equidad,fixed-G0,6,C011,EYZAGUIRRE,1,4764,12356,173,0,2,139,284,,0,78928,24132,0,2611
equidad,fixed-G0,7,C054,VICTORIA,1,0,3426,47,0,1,139,249,,0,78928,24179,0,2860
equidad,fixed-G0,8,C046,EUCALIPTOS,1,16,16269,227,0,2,138,206,,0,78944,24406,0,3066
