p_id,p_nombre,q_id,q_nombre,score_p_G0,score_q_G0,score_q_after_p,score_p_after_q,interaction_p_on_q,interaction_q_on_p,V_pq,V_qp,delta_order,abs_delta_order
MET-L04,Radial,I22,PEDRO FONTOVA,0.768011,0.372226,0.2813798800924152,0.7642683807128579,-0.09084611990758479,-0.003742619287142146,1.0493908800924152,1.1364943807128578,-0.08710350062044259,0.08710350062044259
MET-L01,Rinconada - Santuario,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.591949,0.382805,0.28201688913831663,0.5780740609656896,-0.10078811086168338,-0.013874939034310363,0.8739658891383166,0.9608790609656896,-0.08691317182737301,0.08691317182737301
MET-L09,Rinconada Maipú - Cajon del Maipo,C068,SAN CARLOS,0.478703,0.360859,0.24806933400046396,0.44947458679684565,-0.11278966599953602,-0.029228413203154335,0.7267723340004639,0.8103335867968456,-0.08356125279638171,0.08356125279638171
MET-L04,Radial,I01,BARÓN DE JURAS REALES,0.768011,0.379776,0.28486476989802656,0.7522707359229529,-0.09491123010197344,-0.015740264077047095,1.0528757698980264,1.132046735922953,-0.07917096602492646,0.07917096602492646
MET-L06,Diagonal Norte - Sur,I30,WALKER - HUALLE - AGUIRRE,0.571155,0.366998,0.2823175276762119,0.5454382391998498,-0.08468047232378811,-0.025716760800150174,0.8534725276762118,0.9124362391998497,-0.058963711523637885,0.058963711523637885
MET-L01,Rinconada - Santuario,MET-L08,Central,0.591949,0.51574,0.4846052638856313,0.6091074023094702,-0.031134736114368677,0.0171584023094703,1.0765542638856314,1.1248474023094701,-0.048293138423838755,0.048293138423838755
MET-L04,Radial,MET-L08,Central,0.768011,0.51574,0.43052735488316696,0.7299599799703353,-0.08521264511683302,-0.03805102002966465,1.198538354883167,1.2456999799703352,-0.04716162508716826,0.04716162508716826
MET-L05,Diagonal San Bdo - La Dehesa,MET-L09,Rinconada Maipú - Cajon del Maipo,0.633937,0.478703,0.523840081767944,0.6333857931507976,0.045137081767944065,-0.0005512068492024014,1.157777081767944,1.1120887931507974,0.04568828861714658,0.04568828861714658
MET-L07,Diagonal Padre Hurtado - Vitacura,MET-L09,Rinconada Maipú - Cajon del Maipo,0.569592,0.478703,0.6335061104824795,0.6796756672161314,0.15480311048247952,0.11008366721613139,1.2030981104824794,1.1583786672161314,0.044719443266348025,0.044719443266348025
MET-L08,Central,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.51574,0.382805,0.2890347421978425,0.4642321515629574,-0.09377025780215753,-0.05150784843704259,0.8047747421978424,0.8470371515629573,-0.04226240936511494,0.04226240936511494
MET-L03,Norte - Sur,MET-L09,Rinconada Maipú - Cajon del Maipo,0.718422,0.478703,0.5497306538528351,0.7491881107495498,0.07102765385283516,0.030766110749549824,1.2681526538528352,1.2278911107495498,0.040261543103285335,0.040261543103285335
I26,SAN PABLO,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,0.448229,0.418101,0.41007777655405003,0.40303221908424774,-0.008023223445949967,-0.045196780915752244,0.85830677655405,0.8211332190842477,0.03717355746980222,0.03717355746980222
MET-L04,Radial,I14,LO OVALLE,0.768011,0.399958,0.454392911145239,0.7857032158571773,0.05443491114523902,0.017692215857177285,1.222403911145239,1.1856612158571773,0.03674269528806162,0.03674269528806162
I16,MATTA-VESPUCIO NORTE,I01,BARÓN DE JURAS REALES,0.404011,0.379776,0.32660119494589057,0.38725259413941165,-0.05317480505410943,-0.016758405860588355,0.7306121949458906,0.7670285941394117,-0.03641639919352113,0.03641639919352113
MET-L04,Radial,MET-L09,Rinconada Maipú - Cajon del Maipo,0.768011,0.478703,0.6068336399846989,0.8617451159269124,0.12813063998469887,0.09373411592691239,1.374844639984699,1.3404481159269124,0.03439652405778659,0.03439652405778659
MET-L04,Radial,MET-L05,Diagonal San Bdo - La Dehesa,0.768011,0.633937,0.6668158600605988,0.7674086223267407,0.032878860060598813,-0.0006023776732593245,1.434826860060599,1.4013456223267406,0.03348123773385825,0.03348123773385825
MET-L03,Norte - Sur,I22,PEDRO FONTOVA,0.718422,0.372226,0.34450258005111917,0.7229479602075298,-0.027723419948880834,0.004525960207529822,1.0629245800511191,1.0951739602075299,-0.03224938015641077,0.03224938015641077
