id,nombre,static_rank,score
MET-L04,Radial,1,0.768011
MET-L03,Norte - Sur,2,0.718422
MET-L05,Diagonal San Bdo - La Dehesa,3,0.633937
MET-L01,Rinconada - Santuario,4,0.591949
MET-L06,Diagonal Norte - Sur,5,0.571155
MET-L07,Diagonal Padre Hurtado - Vitacura,6,0.569592
MET-L08,Central,7,0.51574
MET-L02,Mapocho,8,0.512509
MET-L09,Rinconada Maipú - Cajon del Maipo,9,0.478703
I26,SAN PABLO,10,0.448229
C066,CUATRO PONIENTE,11,0.419639
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,12,0.418101
I16,MATTA-VESPUCIO NORTE,13,0.404011
I11,JOSE JOAQUIN PEREZ,14,0.402583
I14,LO OVALLE,15,0.399958
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,16,0.382805
I01,BARÓN DE JURAS REALES,17,0.379776
I22,PEDRO FONTOVA,18,0.372226
I30,WALKER - HUALLE - AGUIRRE,19,0.366998
C068,SAN CARLOS,20,0.360859
