id,nombre,static_rank,static_score,sequential_step,sequential_score,rank_delta_static_minus_sequential,poblacion_marginal_step,demanda_habilitada_step,ciclistas_inducidos_step,componentes_red_step,costo_mclp_step,grado_dendritico_step
MET-L04,Radial,1,0.768011,1,0.768011,0,100383,215330,931,131,5765,1
MET-L03,Norte - Sur,2,0.718422,2,0.739309,0,76016,210970,796,127,3775,1
MET-L05,Diagonal San Bdo - La Dehesa,3,0.633937,9,0.696438,-6,30883,39375,679,104,5116,1
MET-L01,Rinconada - Santuario,4,0.591949,4,0.720444,0,32199,75461,748,117,4415,1
MET-L06,Diagonal Norte - Sur,5,0.571155,3,0.708604,2,62231,96928,933,122,5163,1
MET-L07,Diagonal Padre Hurtado - Vitacura,6,0.569592,6,0.68366,0,59744,49209,559,110,4787,1
MET-L08,Central,7,0.51574,12,0.637006,-5,27314,16502,445,103,3335,1
MET-L02,Mapocho,8,0.512509,5,0.667111,3,26036,33377,574,114,3105,1
MET-L09,Rinconada Maipú - Cajon del Maipo,9,0.478703,7,0.647471,2,55040,53794,369,107,3067,1
I26,SAN PABLO,10,0.448229,10,0.739329,0,32881,22657,156,104,883,1
C066,CUATRO PONIENTE,11,0.419639,15,0.665852,-4,21769,13362,106,103,676,1
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,12,0.418101,17,0.620081,-5,13201,7387,231,102,1192,1
I16,MATTA-VESPUCIO NORTE,13,0.404011,8,0.638755,5,34088,64275,127,106,990,1
I11,JOSE JOAQUIN PEREZ,14,0.402583,28,0.608016,-14,5099,3029,114,101,690,1
I14,LO OVALLE,15,0.399958,,,,,,,,,
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,16,0.382805,,,,,,,,,
I01,BARÓN DE JURAS REALES,17,0.379776,21,0.620761,-4,7300,4306,125,101,781,1
I22,PEDRO FONTOVA,18,0.372226,19,0.603223,-1,5297,8208,73,101,688,1
I30,WALKER - HUALLE - AGUIRRE,19,0.366998,11,0.631512,8,28110,15869,114,104,800,1
C068,SAN CARLOS,20,0.360859,13,0.60165,7,32738,19120,69,103,587,1
I08,GENERAL OSCAR BONILLA,21,0.360681,,,,,,,,,
C006,DOMINGO TOCORNAL,22,0.356447,,,,,,,,,
I05,DIAGONAL JOSE MARIA CARO,23,0.346366,,,,,,,,,
I20,PAC - LO ESPEJO - EL BOSQUE,24,0.338432,14,0.594498,10,20103,10769,138,103,1031,1
I07,EL GUANACO,25,0.335275,,,,,,,,,
I15,MARTINEZ DE ROZAS,26,0.335196,,,,,,,,,
I29,SANTA ROSA,27,0.331469,,,,,,,,,
C081,SAN GREGORIO - DIEGO MEZA,28,0.331453,,,,,,,,,
I02,CARLOS VALDOVINOS,29,0.330062,,,,,,,,,
I04,DEL FERROCARRIL,30,0.328702,,,,,,,,,
I19,PAC-LO ESPEJO-SN BDO,31,0.324865,30,0.542266,1,2119,1195,155,101,1435,1
EP-I34,VICUÑA MACKENNA,32,0.318568,,,,,,,,,
C061,EL PINAR,33,0.314507,,,,,,,,,
C003,CONCHA Y TORO,34,0.31273,,,,,,,,,
C086,LA ESTRELLA,35,0.311381,,,,,,,,,
C050,MAR DE DRAKE,36,0.311249,,,,,,,,,
C024,LOS ARRAYANES - LOS COPIHUES,37,0.310313,,,,,,,,,
EP-I10,GRAN AVENIDA,38,0.309891,,,,,,,,,
C043,NEPTUNO,39,0.306975,,,,,,,,,
I24,RADAL,40,0.299796,,,,,,,,,
C023,AVENIDA DORSAL,41,0.299525,,,,,,,,,
C070,MENDOZA (EX-CORONEL ROBLES),42,0.296498,,,,,,,,,
C041,VISTA HERMOSA,43,0.29511,,,,,,,,,
C029,MARIA ELENA,44,0.294883,,,,,,,,,
I09,GENERAL VELASQUEZ,45,0.29436,,,,,,,,,
C060,ROJAS MAGALLANES,46,0.290231,27,0.593309,19,6013,3413,67,101,395,1
I10,GRAN AVENIDA,47,0.286692,18,0.619037,29,13722,7060,80,102,448,1
C078,WALDO TAFF,48,0.282809,,,,,,,,,
I21,PEDRO DE VALDIVIA,49,0.276762,,,,,,,,,
C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,50,0.276649,,,,,,,,,
I27,SANTA CECILIA - NONATO COO,51,0.276504,20,0.566315,31,13543,7818,126,101,644,1
C087,SALVADOR GUTIERREZ,52,0.274866,,,,,,,,,
C001,SAN EUGENIO,53,0.267353,,,,,,,,,
C058,ANTONIO EBNER-BARROS ARANA,54,0.265183,,,,,,,,,
EP-I33,LA CHIMBA,55,0.264307,,,,,,,,,
C044,LOS CERRILLOS,56,0.260185,22,0.617729,34,9107,5227,11,101,196,1
C014,JOSE DOMINGO CAÑAS,57,0.259489,,,,,,,,,
C022,LLANURA  - EL DESIERTO,58,0.257399,,,,,,,,,
C067,CARDENAL RAUL SILVA HENRIQUEZ,59,0.256148,,,,,,,,,
C074,URETA COX,60,0.255707,,,,,,,,,
I06,DIAGONAL ORIENTE,61,0.25493,25,0.623222,36,4804,2942,263,101,1138,1
I13,LO ESPEJO-RIQUELME,62,0.248992,,,,,,,,,
C053,CONDELL,63,0.246729,26,0.593531,37,5706,3325,77,101,280,1
C007,EDUARDO CASTILLO VELASCO,64,0.244757,,,,,,,,,
C037,SAN ALFONSO,65,0.24257,,,,,,,,,
I25,SAN FRANCISCO,66,0.242187,23,0.599352,43,7103,3747,218,101,1001,1
C032,OBISPO MANUEL UMAÑA,67,0.241851,,,,,,,,,
C035,PRODIVENCIA,68,0.241591,,,,,,,,,
C088,ÑUBLE,69,0.237304,,,,,,,,,
C042,PRINCIPE DE GALES,70,0.23624,,,,,,,,,
C005,CORONEL ALEJANDRO SEPULVEDA,71,0.235637,,,,,,,,,
C030,MAULE,72,0.234399,,,,,,,,,
C028,MADRID,73,0.234363,,,,,,,,,
C034,PEDRO LEON UGALDE,74,0.234337,,,,,,,,,
C089,J J PEREZ,75,0.233779,,,,,,,,,
C020,LATINOAMERICA - PINTOR MURILLO - FRANCISCO TOLEDO,76,0.233586,,,,,,,,,
C027,LOS PRESIDENTES,77,0.231447,,,,,,,,,
C013,HEROES DE LA CONCEPCION,78,0.231357,,,,,,,,,
C083,ORIENTAL-LAS PARCELAS,79,0.231299,,,,,,,,,
C40,VICUÑA MACKENNA - SAN MARTIN,80,0.230684,,,,,,,,,
I23,PETERSEN - VICUÑA MACKENNA,81,0.230648,,,,,,,,,
C063,LONGITUDINAL,82,0.229847,24,0.604253,58,4939,3032,41,101,192,1
C015,JOSE MANUEL GUZMAN,83,0.22952,,,,,,,,,
C049,FEDERICO ERRÁZURIZ (EX SERRANO),84,0.228322,,,,,,,,,
C052,BAQUEDANO - POSTALES ORIENTE,85,0.225883,16,0.606506,69,8320,11245,36,102,259,1
C064,SILVA CARVALLO - SANTA ELENA,86,0.224097,,,,,,,,,
I28,SANTA RAQUEL,87,0.223284,,,,,,,,,
C009,EL ROSAL - SANTA ELENA,88,0.221926,,,,,,,,,
C065,NUEVA SAN MARTIN,89,0.221688,,,,,,,,,
C010,ESQ BLANCA - ALBERTO LLONA,90,0.221117,,,,,,,,,
C090,SANTO DOMINGO,91,0.219478,,,,,,,,,
C011,EYZAGUIRRE,92,0.219054,,,,,,,,,
C017,LA PARINACOTA,93,0.218039,,,,,,,,,
C076,ISLA DECEPCION,94,0.217487,,,,,,,,,
I18,NUEVA IMPERIAL,95,0.216619,,,,,,,,,
C046,EUCALIPTOS,96,0.215579,,,,,,,,,
C033,OBSERVATORIO,97,0.215275,,,,,,,,,
C012,GABRIELA ORIENTE,98,0.21474,,,,,,,,,
C047,VIOLETA PARRA,99,0.214331,,,,,,,,,
I03,CARRASCAL,100,0.213959,,,,,,,,,
I31,FERNANDEZ ALBANO,101,0.21358,,,,,,,,,
C048,GENERAL ARRIAGADA,102,0.212272,,,,,,,,,
C082,CAUPOLICAN,103,0.211377,,,,,,,,,
I17,MATUCANA,104,0.210946,,,,,,,,,
C026,LOS MAITENES,105,0.210474,,,,,,,,,
C054,VICTORIA,106,0.210122,,,,,,,,,
C071,BARROS ARANA,107,0.209516,,,,,,,,,
C004,CONSISTORIAL,108,0.209357,,,,,,,,,
C002,CAPITAN IGNACIO CARRERA PINTO,109,0.206368,,,,,,,,,
C069,LOS OLMOS,110,0.204206,,,,,,,,,
C062,CORONA SUECA,111,0.203056,,,,,,,,,
I32,EINSTEIN,112,0.199202,,,,,,,,,
C038,TALCAHUANO - SANTA INES - LOS EDILES,113,0.198598,,,,,,,,,
C031,NECOCHEA,114,0.198443,,,,,,,,,
C036,RIO REFUGIO - SALAR SURIRE,115,0.196055,,,,,,,,,
C080,PARAGUAY,116,0.193364,,,,,,,,,
C077,RICARDO VIAL,117,0.192482,,,,,,,,,
