id,frecuencia,apariciones,escenarios
MET-L02,1,12,12
MET-L03,1,12,12
MET-L04,1,12,12
I16,0.9166666666666666,11,12
I26,0.9166666666666666,11,12
MET-L05,0.9166666666666666,11,12
MET-L06,0.9166666666666666,11,12
MET-L09,0.9166666666666666,11,12
MET-L01,0.8333333333333334,10,12
MET-L07,0.8333333333333334,10,12
C066,0.16666666666666666,2,12
C052,0.08333333333333333,1,12
EP-ALAMEDA-T3,0.08333333333333333,1,12
EP-I10,0.08333333333333333,1,12
I19,0.08333333333333333,1,12
I22,0.08333333333333333,1,12
I30,0.08333333333333333,1,12
MET-L08,0.08333333333333333,1,12
