scenario_key,scenario_name,step,id,nombre,score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
ponderacion_rmc,Ponderación RMC,1,MET-L04,Radial,0.79586,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
ponderacion_rmc,Ponderación RMC,2,MET-L03,Norte - Sur,0.712946,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
ponderacion_rmc,Ponderación RMC,3,MET-L06,Diagonal Norte - Sur,0.624787,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
ponderacion_rmc,Ponderación RMC,4,MET-L01,Rinconada - Santuario,0.617551,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
ponderacion_rmc,Ponderación RMC,5,MET-L02,Mapocho,0.558995,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
ponderacion_rmc,Ponderación RMC,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.545309,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
ponderacion_rmc,Ponderación RMC,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.526877,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
ponderacion_rmc,Ponderación RMC,8,I16,MATTA-VESPUCIO NORTE,0.489987,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
ponderacion_rmc,Ponderación RMC,9,MET-L05,Diagonal San Bdo - La Dehesa,0.486983,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
ponderacion_rmc,Ponderación RMC,10,I26,SAN PABLO,0.496259,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
balanceado,Balanceado,1,MET-L04,Radial,0.768011,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
balanceado,Balanceado,2,MET-L03,Norte - Sur,0.728757,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
balanceado,Balanceado,3,MET-L06,Diagonal Norte - Sur,0.602174,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
balanceado,Balanceado,4,MET-L01,Rinconada - Santuario,0.599701,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
balanceado,Balanceado,5,MET-L02,Mapocho,0.540276,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
balanceado,Balanceado,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.511655,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
balanceado,Balanceado,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.508799,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
balanceado,Balanceado,8,I16,MATTA-VESPUCIO NORTE,0.448439,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
balanceado,Balanceado,9,I26,SAN PABLO,0.457117,32881,38409,22657,156,1,106,883,1,100,478618,822001,5193,31950
balanceado,Balanceado,10,MET-L05,Diagonal San Bdo - La Dehesa,0.44595,30883,363657,39375,679,3,104,5116,1,100,509501,861376,5872,37066
equidad,Equidad territorial,1,MET-L04,Radial,0.654558,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
equidad,Equidad territorial,2,MET-L05,Diagonal San Bdo - La Dehesa,0.645826,70727,916852,236217,665,5,127,5116,1,100,171110,451547,1596,10881
equidad,Equidad territorial,3,C066,CUATRO PONIENTE,0.582936,49812,49812,28288,101,1,127,676,2,50,220922,479835,1697,11557
equidad,Equidad territorial,4,MET-L02,Mapocho,0.582071,26036,81305,31511,559,4,124,3105,1,100,246958,511346,2256,14662
equidad,Equidad territorial,5,MET-L06,Diagonal Norte - Sur,0.559146,51856,121869,56923,934,6,119,5163,1,100,298814,568269,3190,19825
equidad,Equidad territorial,6,I26,SAN PABLO,0.525402,32881,38409,20522,156,1,119,883,1,100,331695,588791,3346,20708
equidad,Equidad territorial,7,MET-L03,Norte - Sur,0.526966,71865,1380080,77327,808,4,116,3775,1,100,403560,666118,4154,24483
equidad,Equidad territorial,8,C052,BAQUEDANO - POSTALES ORIENTE,0.478572,8320,19283,11245,36,2,115,259,1,100,411880,677363,4190,24742
equidad,Equidad territorial,9,I22,PEDRO FONTOVA,0.476684,6466,14942,8206,72,2,114,688,1,100,418346,685569,4262,25430
equidad,Equidad territorial,10,I19,PAC-LO ESPEJO-SN BDO,0.534039,14284,67871,19483,145,4,111,1435,1,100,432630,705052,4407,26865
demanda,Demanda potencial,1,MET-L04,Radial,0.823709,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
demanda,Demanda potencial,2,MET-L03,Norte - Sur,0.794433,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
demanda,Demanda potencial,3,MET-L06,Diagonal Norte - Sur,0.61642,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
demanda,Demanda potencial,4,MET-L01,Rinconada - Santuario,0.57961,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
demanda,Demanda potencial,5,MET-L05,Diagonal San Bdo - La Dehesa,0.487261,45330,385181,64054,673,4,114,5116,1,100,316159,662743,4081,24234
demanda,Demanda potencial,6,I16,MATTA-VESPUCIO NORTE,0.492856,34088,1238275,61898,127,2,113,990,1,100,350247,724641,4208,25224
demanda,Demanda potencial,7,MET-L02,Mapocho,0.567897,26036,81305,35064,575,4,110,3105,1,100,376283,759705,4783,28329
demanda,Demanda potencial,8,MET-L07,Diagonal Padre Hurtado - Vitacura,0.534019,45297,106683,41343,563,6,106,4787,1,100,421580,801048,5346,33116
demanda,Demanda potencial,9,MET-L09,Rinconada Maipú - Cajon del Maipo,0.520882,55040,65025,37671,371,3,104,3067,1,100,476620,838719,5717,36183
demanda,Demanda potencial,10,I26,SAN PABLO,0.447508,32881,38409,22657,156,1,104,883,1,100,509501,861376,5873,37066
ciclistas_biogeme,Ciclistas inducidos (Biogeme),1,MET-L04,Radial,0.83019,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
ciclistas_biogeme,Ciclistas inducidos (Biogeme),2,MET-L03,Norte - Sur,0.776361,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
ciclistas_biogeme,Ciclistas inducidos (Biogeme),3,MET-L06,Diagonal Norte - Sur,0.692075,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
ciclistas_biogeme,Ciclistas inducidos (Biogeme),4,MET-L01,Rinconada - Santuario,0.643185,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
ciclistas_biogeme,Ciclistas inducidos (Biogeme),5,MET-L02,Mapocho,0.547973,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
ciclistas_biogeme,Ciclistas inducidos (Biogeme),6,MET-L05,Diagonal San Bdo - La Dehesa,0.533163,45330,385181,64054,673,4,111,5116,1,100,342195,696120,4655,27339
ciclistas_biogeme,Ciclistas inducidos (Biogeme),7,MET-L07,Diagonal Padre Hurtado - Vitacura,0.504027,45297,106683,40810,563,6,107,4787,1,100,387492,736930,5218,32126
ciclistas_biogeme,Ciclistas inducidos (Biogeme),8,MET-L09,Rinconada Maipú - Cajon del Maipo,0.44437,55040,65025,37334,371,3,105,3067,1,100,442532,774264,5589,35193
ciclistas_biogeme,Ciclistas inducidos (Biogeme),9,I16,MATTA-VESPUCIO NORTE,0.382159,34088,1353116,64455,127,2,104,990,1,100,476620,838719,5716,36183
ciclistas_biogeme,Ciclistas inducidos (Biogeme),10,MET-L08,Central,0.401311,27617,27617,16682,445,2,103,3335,1,100,504237,855401,6161,39518
fractal_alameda,Red dendrítica Alameda (fractal),1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
fractal_alameda,Red dendrítica Alameda (fractal),2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
fractal_alameda,Red dendrítica Alameda (fractal),3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
fractal_alameda,Red dendrítica Alameda (fractal),4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
fractal_alameda,Red dendrítica Alameda (fractal),5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
fractal_alameda,Red dendrítica Alameda (fractal),6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
fractal_alameda,Red dendrítica Alameda (fractal),7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
fractal_alameda,Red dendrítica Alameda (fractal),8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
fractal_alameda,Red dendrítica Alameda (fractal),9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
fractal_alameda,Red dendrítica Alameda (fractal),10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
continuidad,Continuidad de red,1,MET-L04,Radial,0.834937,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
continuidad,Continuidad de red,2,MET-L03,Norte - Sur,0.810662,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
continuidad,Continuidad de red,3,MET-L06,Diagonal Norte - Sur,0.707217,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
continuidad,Continuidad de red,4,MET-L01,Rinconada - Santuario,0.694465,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
continuidad,Continuidad de red,5,MET-L02,Mapocho,0.643952,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
continuidad,Continuidad de red,6,MET-L09,Rinconada Maipú - Cajon del Maipo,0.63412,55040,93472,53794,367,4,111,3067,1,100,351905,685860,4349,25290
continuidad,Continuidad de red,7,MET-L07,Diagonal Padre Hurtado - Vitacura,0.623401,59744,121130,49209,561,6,107,4787,1,100,411649,735069,4910,30077
continuidad,Continuidad de red,8,I16,MATTA-VESPUCIO NORTE,0.509305,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
continuidad,Continuidad de red,9,MET-L05,Diagonal San Bdo - La Dehesa,0.54714,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
continuidad,Continuidad de red,10,I26,SAN PABLO,0.458882,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
eficiencia,Eficiencia presupuestaria,1,MET-L03,Norte - Sur,0.653045,91130,1466776,201760,795,5,138,3775,1,100,91130,201760,795,3775
eficiencia,Eficiencia presupuestaria,2,MET-L04,Radial,0.616262,85269,1782859,224540,933,12,127,5765,1,100,176399,426300,1728,9540
eficiencia,Eficiencia presupuestaria,3,I26,SAN PABLO,0.570252,32881,80853,33280,156,2,126,883,1,100,209280,459580,1884,10423
eficiencia,Eficiencia presupuestaria,4,MET-L09,Rinconada Maipú - Cajon del Maipo,0.545329,67688,394962,93095,366,4,123,3067,1,100,276968,552675,2250,13490
eficiencia,Eficiencia presupuestaria,5,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.530442,0,727682,50227,149,3,121,341,0,100,276968,602902,2399,13831
eficiencia,Eficiencia presupuestaria,6,I16,MATTA-VESPUCIO NORTE,0.528143,34088,1206319,65148,126,3,119,990,2,50,311056,668050,2525,14821
eficiencia,Eficiencia presupuestaria,7,I30,WALKER - HUALLE - AGUIRRE,0.534493,28110,37496,21200,110,2,118,800,1,100,339166,689250,2635,15621
eficiencia,Eficiencia presupuestaria,8,C066,CUATRO PONIENTE,0.53181,32095,32095,19701,103,1,118,676,1,100,371261,708951,2738,16297
eficiencia,Eficiencia presupuestaria,9,MET-L02,Mapocho,0.508047,26036,38861,20864,562,3,116,3105,1,100,397297,729815,3300,19402
eficiencia,Eficiencia presupuestaria,10,EP-I10,GRAN AVENIDA,0.489807,17736,24071,13270,125,2,115,913,1,100,415033,743085,3425,20315
educacion,Educación superior,1,MET-L04,Radial,0.825212,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
educacion,Educación superior,2,MET-L03,Norte - Sur,0.660704,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
educacion,Educación superior,3,MET-L06,Diagonal Norte - Sur,0.599188,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
educacion,Educación superior,4,MET-L01,Rinconada - Santuario,0.533507,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
educacion,Educación superior,5,MET-L07,Diagonal Padre Hurtado - Vitacura,0.495807,59744,121130,49209,558,6,113,4787,1,100,330573,647898,3966,23905
