budget_fraction,scenario,scenario_label,budget_mclp,step,cum_cost_mclp,components,cum_population,cum_demand,cum_cyclists,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit
0.1,ponderacion_rmc,RMC,4388.7,5,4241,138,183555,202113,687,3.021540211566894,2.9076719458894384,2.830717275291553
0.1,balanceado,Balanceado,4388.7,4,3441,139,155445,165642,579,2.428178638390835,2.3622032458253552,2.3250846796780738
0.1,logit,Logit (Biogeme),4388.7,4,3988,138,123416,102871,870,2.26920800272847,2.149847583320057,2.3890168729438765
0.2,ponderacion_rmc,RMC,8777.4,10,7869,129,319070,486812,1151,5.814100894296584,5.750332317600707,5.494743760872641
0.2,balanceado,Balanceado,8777.4,10,8273,127,283945,503422,1161,5.877301231277678,5.851591849281096,5.590379874413102
0.2,logit,Logit (Biogeme),8777.4,9,8691,131,257745,407728,1529,5.14957674012085,5.05773398094157,5.276222679603274
0.3,ponderacion_rmc,RMC,13166.1,17,12644,123,431098,697378,1910,9.604402407216169,9.464078369197129,8.969051840868197
0.3,balanceado,Balanceado,13166.1,16,12671,122,391904,681000,1930,9.148290290555307,9.0102107457678,8.651735130187435
0.3,logit,Logit (Biogeme),13166.1,15,12488,124,358866,637000,2276,8.448674422819133,8.23753654185434,8.372801824203965
0.4,ponderacion_rmc,RMC,17554.8,23,16896,119,476167,754997,2820,12.351882190526933,11.933551366434317,11.57168776866962
0.4,balanceado,Balanceado,17554.8,23,17377,118,467069,752332,2922,12.505059149364746,12.071183067976321,11.759021842724826
0.4,logit,Logit (Biogeme),17554.8,21,17409,122,439580,705214,3174,11.373707157532026,10.925110732767385,11.129302080376938
0.5,ponderacion_rmc,RMC,21943.5,35,21918,113,528397,822241,3888,17.496422131031235,16.581760391969194,15.868499678712608
0.5,balanceado,Balanceado,21943.5,33,21702,115,531883,807541,3736,16.82029445269253,16.069727742432246,15.359886576749112
0.5,logit,Logit (Biogeme),21943.5,29,21660,118,505322,777484,3935,14.819252251691935,14.061209393739674,14.079271993358807
0.6,ponderacion_rmc,RMC,26332.2,46,26076,112,566845,852403,4778,21.578246080973045,20.142617731281117,19.22404245882071
0.6,balanceado,Balanceado,26332.2,44,26312,111,563763,851602,4681,21.1689349930356,19.926159258198407,18.97107339360847
0.6,logit,Logit (Biogeme),26332.2,42,26310,112,554761,836650,4823,20.010174550370056,18.700795594881118,18.231914830169643
0.7,ponderacion_rmc,RMC,30720.899999999998,56,30552,111,569261,853797,5713,24.90356162582583,22.83025881467868,21.984446456515066
0.7,balanceado,Balanceado,30720.899999999998,58,30713,107,571862,860006,5680,25.7624173838469,23.858873780207283,22.689866906160013
0.7,logit,Logit (Biogeme),30720.899999999998,55,30631,111,566845,852402,5785,24.56372703394046,22.43668710217834,21.772093864082514
0.8,ponderacion_rmc,RMC,35109.6,77,35033,108,573507,861329,6694,31.50450281654314,28.126906733581073,26.706854856969038
0.8,balanceado,Balanceado,35109.6,78,35105,106,576997,869305,6542,32.02155221148904,28.912709191358026,27.12310149562773
0.8,logit,Logit (Biogeme),35109.6,76,35033,107,573389,862361,6678,31.055984517018363,27.827067589785766,26.485687395852555
0.9,ponderacion_rmc,RMC,39498.3,100,39460,107,573507,862378,7262,38.41909856973433,33.6735715732531,31.25189015512632
0.9,balanceado,Balanceado,39498.3,100,39235,106,576997,869305,7207,38.65896322808173,34.16111577960933,31.5322976846013
0.9,logit,Logit (Biogeme),39498.3,96,39379,107,592494,871051,7283,37.01076081779583,32.685856729126925,30.53357774708951
1,ponderacion_rmc,RMC,43887,124,43887,107,600177,871511,7718,44.654900100859884,38.99463445970978,35.50320934461666
1,balanceado,Balanceado,43887,124,43887,107,600177,871511,7717,44.9155767636713,39.27805976822661,35.698346986597464
1,logit,Logit (Biogeme),43887,124,43887,107,600177,871510,7721,44.554807090367404,38.7959415643727,35.36993568301383
