k,id,nombre,appearances,frequency,in_rmc,in_balanceado,in_logit
10,C068,SAN CARLOS,3,1,true,true,true
10,I11,JOSE JOAQUIN PEREZ,3,1,true,true,true
10,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,3,1,true,true,true
10,I16,MATTA-VESPUCIO NORTE,3,1,true,true,true
10,I22,PEDRO FONTOVA,3,1,true,true,true
10,I26,SAN PABLO,3,1,true,true,true
10,C066,CUATRO PONIENTE,2,0.6666666666666666,true,true,false
10,C067,CARDENAL RAUL SILVA HENRIQUEZ,2,0.6666666666666666,true,true,false
10,I19,PAC-LO ESPEJO-SN BDO,2,0.6666666666666666,false,true,true
10,I30,WALKER - HUALLE - AGUIRRE,2,0.6666666666666666,true,true,false
10,EP-I34,VICUÑA MACKENNA,1,0.3333333333333333,false,false,true
10,I14,LO OVALLE,1,0.3333333333333333,false,false,true
10,I20,PAC - LO ESPEJO - EL BOSQUE,1,0.3333333333333333,true,false,false
10,I25,SAN FRANCISCO,1,0.3333333333333333,false,false,true
20,C066,CUATRO PONIENTE,3,1,true,true,true
20,C068,SAN CARLOS,3,1,true,true,true
20,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,3,1,true,true,true
20,EP-I10,GRAN AVENIDA,3,1,true,true,true
20,EP-I34,VICUÑA MACKENNA,3,1,true,true,true
20,I01,BARÓN DE JURAS REALES,3,1,true,true,true
20,I04,DEL FERROCARRIL,3,1,true,true,true
20,I11,JOSE JOAQUIN PEREZ,3,1,true,true,true
20,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,3,1,true,true,true
20,I16,MATTA-VESPUCIO NORTE,3,1,true,true,true
20,I19,PAC-LO ESPEJO-SN BDO,3,1,true,true,true
20,I21,PEDRO DE VALDIVIA,3,1,true,true,true
20,I22,PEDRO FONTOVA,3,1,true,true,true
20,I25,SAN FRANCISCO,3,1,true,true,true
20,I26,SAN PABLO,3,1,true,true,true
20,I27,SANTA CECILIA - NONATO COO,3,1,true,true,true
20,I30,WALKER - HUALLE - AGUIRRE,3,1,true,true,true
20,C067,CARDENAL RAUL SILVA HENRIQUEZ,2,0.6666666666666666,true,true,false
20,I14,LO OVALLE,2,0.6666666666666666,false,true,true
20,I20,PAC - LO ESPEJO - EL BOSQUE,2,0.6666666666666666,true,true,false
20,I06,DIAGONAL ORIENTE,1,0.3333333333333333,false,false,true
20,I10,GRAN AVENIDA,1,0.3333333333333333,true,false,false
20,I15,MARTINEZ DE ROZAS,1,0.3333333333333333,false,false,true
30,C063,LONGITUDINAL,3,1,true,true,true
30,C066,CUATRO PONIENTE,3,1,true,true,true
30,C068,SAN CARLOS,3,1,true,true,true
30,C086,LA ESTRELLA,3,1,true,true,true
30,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,3,1,true,true,true
30,EP-I10,GRAN AVENIDA,3,1,true,true,true
30,EP-I33,LA CHIMBA,3,1,true,true,true
30,EP-I34,VICUÑA MACKENNA,3,1,true,true,true
30,I01,BARÓN DE JURAS REALES,3,1,true,true,true
30,I04,DEL FERROCARRIL,3,1,true,true,true
30,I06,DIAGONAL ORIENTE,3,1,true,true,true
30,I11,JOSE JOAQUIN PEREZ,3,1,true,true,true
30,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,3,1,true,true,true
30,I16,MATTA-VESPUCIO NORTE,3,1,true,true,true
30,I19,PAC-LO ESPEJO-SN BDO,3,1,true,true,true
30,I20,PAC - LO ESPEJO - EL BOSQUE,3,1,true,true,true
30,I21,PEDRO DE VALDIVIA,3,1,true,true,true
30,I22,PEDRO FONTOVA,3,1,true,true,true
30,I25,SAN FRANCISCO,3,1,true,true,true
30,I26,SAN PABLO,3,1,true,true,true
30,I27,SANTA CECILIA - NONATO COO,3,1,true,true,true
30,I30,WALKER - HUALLE - AGUIRRE,3,1,true,true,true
30,C035,PRODIVENCIA,2,0.6666666666666666,true,true,false
30,C046,EUCALIPTOS,2,0.6666666666666666,true,true,false
30,C052,BAQUEDANO - POSTALES ORIENTE,2,0.6666666666666666,true,true,false
30,C067,CARDENAL RAUL SILVA HENRIQUEZ,2,0.6666666666666666,true,true,false
30,C089,J J PEREZ,2,0.6666666666666666,true,true,false
30,I10,GRAN AVENIDA,2,0.6666666666666666,true,true,false
30,I14,LO OVALLE,2,0.6666666666666666,false,true,true
30,I24,RADAL,2,0.6666666666666666,true,false,true
30,C053,CONDELL,1,0.3333333333333333,false,false,true
30,C060,ROJAS MAGALLANES,1,0.3333333333333333,false,true,false
30,I03,CARRASCAL,1,0.3333333333333333,false,false,true
30,I05,DIAGONAL JOSE MARIA CARO,1,0.3333333333333333,false,false,true
30,I09,GENERAL VELASQUEZ,1,0.3333333333333333,true,false,false
30,I13,LO ESPEJO-RIQUELME,1,0.3333333333333333,false,false,true
30,I15,MARTINEZ DE ROZAS,1,0.3333333333333333,false,false,true
30,I29,SANTA ROSA,1,0.3333333333333333,false,false,true
50,C006,DOMINGO TOCORNAL,3,1,true,true,true
50,C014,JOSE DOMINGO CAÑAS,3,1,true,true,true
50,C029,MARIA ELENA,3,1,true,true,true
50,C046,EUCALIPTOS,3,1,true,true,true
50,C052,BAQUEDANO - POSTALES ORIENTE,3,1,true,true,true
50,C053,CONDELL,3,1,true,true,true
50,C056,TEMUCO - TORO MAZOTTE,3,1,true,true,true
50,C060,ROJAS MAGALLANES,3,1,true,true,true
50,C063,LONGITUDINAL,3,1,true,true,true
50,C066,CUATRO PONIENTE,3,1,true,true,true
50,C067,CARDENAL RAUL SILVA HENRIQUEZ,3,1,true,true,true
50,C068,SAN CARLOS,3,1,true,true,true
50,C086,LA ESTRELLA,3,1,true,true,true
50,C089,J J PEREZ,3,1,true,true,true
50,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,3,1,true,true,true
