scenario,scenario_label,method,step,id,nombre,own_score,lookahead_value,next_best_id,next_best_score,evaluated_first_choices,score_eval_rmc,score_eval_balanceado,score_eval_logit,poblacion_marginal,demanda_habilitada,ciclistas_inducidos,componentes_red,costo_mclp,cum_cost_mclp,cum_own_score,cum_own_score_discounted,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit,cum_population,cum_demand,cum_cyclists
balanceado,Balanceado,depth2,1,I14,LO OVALLE,0.6104879829488095,1.2651313094167076,I10,0.6890982383872613,3,0.6371787956227899,0.6104879829488095,0.6811390619717375,45894,57930,228,140,1374,1374,0.6104879829488095,0.6104879829488095,0.6371787956227899,0.6104879829488095,0.6811390619717375,45894,57930,228
balanceado,Balanceado,depth2,2,I10,GRAN AVENIDA,0.6890982383872613,1.2705844660306733,I26,0.6120907659404338,3,0.6394818398568644,0.6890982383872613,0.6411391353515891,19546,107052,77,139,448,1822,1.2995862213360707,1.2651313094167076,1.2766606354796544,1.2995862213360707,1.3222781973233264,65440,164982,305
balanceado,Balanceado,depth2,3,C068,SAN CARLOS,0.5848416199932821,1.1724175912264378,I26,0.6185010223506902,3,0.5408144906411256,0.5848416199932821,0.5306842857047935,35574,72494,67,137,587,2409,1.884427841329353,1.7929508714606448,1.81747512612078,1.884427841329353,1.85296248302812,101014,237476,372
balanceado,Balanceado,depth2,4,I26,SAN PABLO,0.6185010223506902,1.1681146579389963,I11,0.5785406690403221,3,0.6289848530724489,0.6185010223506902,0.5976732684925528,38151,25989,154,136,883,3292,2.502928863680043,2.3232381854985675,2.4464599791932287,2.502928863680043,2.4506357515206725,139165,263465,526
balanceado,Balanceado,depth2,5,I11,JOSE JOAQUIN PEREZ,0.5785406690403221,1.1270583786217436,C066,0.5773870627172858,3,0.6199292847203278,0.5785406690403221,0.550392958740576,28111,55516,107,136,690,3982,3.081469532720365,2.7944631763110914,3.0663892639135564,3.081469532720365,3.0010287102612487,167276,318981,633
balanceado,Balanceado,depth2,6,I16,MATTA-VESPUCIO NORTE,0.5502072458808959,1.1467187149156102,I22,0.6279068095102255,3,0.5227107068074346,0.5502072458808959,0.5234634421223687,34088,18290,126,134,990,4972,3.631676778601261,3.220203054848104,3.5890999707209907,3.631676778601261,3.5244921523836172,201364,337271,759
balanceado,Balanceado,depth2,7,I22,PEDRO FONTOVA,0.6279068095102255,1.1976320231194801,I19,0.5997107511676364,3,0.623389909212638,0.6279068095102255,0.5792021968492547,16446,79724,72,132,688,5660,4.259583588111487,3.681772258587287,4.212489879933629,4.259583588111487,4.103694349232872,217810,416995,831
balanceado,Balanceado,depth2,8,I19,PAC-LO ESPEJO-SN BDO,0.5997107511676364,1.1482284607490578,C066,0.5773870627172858,3,0.6078560758968813,0.5997107511676364,0.5962995168635918,20704,51944,146,130,1435,7095,4.859294339279123,4.100572642996046,4.82034595583051,4.859294339279123,4.699993866096464,238514,468939,977
balanceado,Balanceado,depth2,9,C066,CUATRO PONIENTE,0.5773870627172858,1.0973306204901006,I04,0.5473090081819103,3,0.572487990377622,0.5773870627172858,0.51907901501457,49812,29943,101,130,676,7771,5.436681401996409,4.483623017164673,5.392833946208133,5.436681401996409,5.219072881111034,288326,498882,1078
balanceado,Balanceado,depth2,10,I04,DEL FERROCARRIL,0.5473090081819103,1.0587428403888821,I30,0.5383514023231284,3,0.5535921146275763,0.5473090081819103,0.48934968672236157,8474,64453,58,128,652,8423,5.983990410178319,4.8285641965082835,5.946426060835709,5.983990410178319,5.708422567833395,296800,563335,1136
balanceado,Balanceado,depth2,11,I30,WALKER - HUALLE - AGUIRRE,0.5383514023231284,1.0321322761273999,EP-ALAMEDA-T3,0.5197693408466016,3,0.578017387899666,0.5383514023231284,0.48721024199817337,28110,21894,108,127,800,9223,6.522341812501447,5.150895067369922,6.524443448735375,6.522341812501447,6.195632809831569,324910,585229,1244
balanceado,Balanceado,depth2,12,I21,PEDRO DE VALDIVIA,0.5196473024446984,1.043876894197688,EP-ALAMEDA-T3,0.5518206228978838,3,0.546444988660651,0.5196473024446984,0.4609596279491214,14501,25246,75,127,474,9697,7.041989114946146,5.44647050095168,7.070888437396026,7.041989114946146,6.65659243778069,339411,610475,1319
balanceado,Balanceado,depth2,13,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.5518206228978838,1.0685748036997045,I12,0.5439517692650743,3,0.5590571991411435,0.5518206228978838,0.5524084569128688,0,33578,149,125,341,10038,7.59380973784403,5.744652341114831,7.62994563653717,7.59380973784403,7.209000894693559,339411,644053,1468
