scenario,scenario_label,method,step,id,nombre,own_score,lookahead_value,next_best_id,next_best_score,evaluated_first_choices,score_eval_rmc,score_eval_balanceado,score_eval_logit,poblacion_marginal,demanda_habilitada,ciclistas_inducidos,componentes_red,costo_mclp,cum_cost_mclp,cum_own_score,cum_own_score_discounted,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit,cum_population,cum_demand,cum_cyclists
ponderacion_rmc,RMC,depth2,1,I14,LO OVALLE,0.6371787956227899,1.2533495450451428,I25,0.6486007888656348,3,0.6371787956227899,0.6104879829488095,0.6811390619717375,45894,57930,228,140,1374,1374,0.6371787956227899,0.6371787956227899,0.6371787956227899,0.6104879829488095,0.6811390619717375,45894,57930,228
ponderacion_rmc,RMC,depth2,2,I26,SAN PABLO,0.6289848530724489,1.2453895577186822,I25,0.6488470575223511,3,0.6289848530724489,0.6185010223506902,0.5976732684925528,38151,25989,154,139,883,2257,1.2661636486952388,1.2347144060416162,1.2661636486952388,1.2289890052994996,1.2788123304642902,84045,83919,382
ponderacion_rmc,RMC,depth2,3,I11,JOSE JOAQUIN PEREZ,0.6030167025904497,1.2313780870793303,I25,0.6614330363040847,3,0.6030167025904497,0.5605545279661195,0.5352893099279699,28111,53653,107,139,690,2947,1.8691803512856886,1.778936980129497,1.8691803512856886,1.789543533265619,1.81410164039226,112156,137572,489
ponderacion_rmc,RMC,depth2,4,I25,SAN FRANCISCO,0.6614330363040847,1.2104568023797895,I19,0.5779197537638999,3,0.6614330363040847,0.6791222486260894,0.745796205252289,26575,111193,210,138,1001,3948,2.5306133875897734,2.3460331296307118,2.5306133875897734,2.4686657818917084,2.559897845644549,138731,248765,699
ponderacion_rmc,RMC,depth2,5,I19,PAC-LO ESPEJO-SN BDO,0.5779197537638999,1.1217833446226408,C066,0.572487990377622,3,0.5779197537638999,0.5693785603653536,0.5751750232167736,20704,51465,146,136,1435,5383,3.108533141353673,2.816752381069869,3.108533141353673,3.038044342257062,3.1350728688613225,159435,300230,845
ponderacion_rmc,RMC,depth2,6,C066,CUATRO PONIENTE,0.572487990377622,1.1094451760422999,C068,0.565218090173345,3,0.572487990377622,0.5773870627172858,0.51907901501457,49812,29943,101,136,676,6059,3.681021131731295,3.2597326749717563,3.681021131731295,3.615431404974348,3.6541518838758926,209247,330173,946
ponderacion_rmc,RMC,depth2,7,I16,MATTA-VESPUCIO NORTE,0.5227107068074346,1.1202482847385453,I22,0.6289869241380112,3,0.5227107068074346,0.5502072458808959,0.5234634421223687,34088,18290,126,134,990,7049,4.2037318385387294,3.6439730766887632,4.2037318385387294,4.165638650855244,4.177615325998262,243335,348463,1072
ponderacion_rmc,RMC,depth2,8,I22,PEDRO FONTOVA,0.6289869241380112,1.1925299306982113,C068,0.5932031648002107,3,0.6289869241380112,0.6343170659204819,0.5834757011227588,16446,79724,72,132,688,7737,4.83271876267674,4.083218104569626,4.83271876267674,4.799955716775726,4.7610910271210205,259781,428187,1144
ponderacion_rmc,RMC,depth2,9,C068,SAN CARLOS,0.5932031648002107,1.1370025191257889,I30,0.5724203729742928,3,0.5932031648002107,0.6455100758402241,0.5724434979401014,35574,74176,67,130,587,8324,5.425921927476951,4.476761204003418,5.425921927476951,5.44546579261595,5.333534525061122,295355,502363,1211
ponderacion_rmc,RMC,depth2,10,I04,DEL FERROCARRIL,0.5535921146275763,1.1027086331322589,I30,0.578017387899666,3,0.5535921146275763,0.5473090081819103,0.48934968672236157,8474,64453,58,128,652,8976,5.979514042104527,4.825662307475646,5.979514042104527,5.992774800797861,5.822884211783483,303829,566816,1269
ponderacion_rmc,RMC,depth2,11,I21,PEDRO DE VALDIVIA,0.5402409060376349,1.1219686708847911,I30,0.6123450156285856,3,0.5402409060376349,0.5124028131793271,0.45483571435756104,14501,24350,75,128,474,9450,6.519754948142162,5.149124494007988,6.519754948142162,6.505177613977188,6.277719926141044,318330,591166,1344
