id,nombre,initial_rank,initial_score,selected_step,observed_steps_before_selection_or_end,max_score_increase_vs_G0,max_score_drop_vs_G0,best_rank_improvement,worst_rank_change,last_observed_rank,last_observed_score,originally_in_fixed_topN
I12,LAS REJAS - SUIZA - DEPARTAMENTAL,1,0.6686769070660649,1,1,0,0,0,0,1,0.6686769070660649,true
I14,LO OVALLE,2,0.6371787956227899,,30,0,-0.2931098713184792,0,-29,23,0.3440689243043107,true
I26,SAN PABLO,3,0.6268373699221884,2,2,0,-0.04053117276408569,2,0,1,0.5863061971581027,true
I30,WALKER - HUALLE - AGUIRRE,4,0.5815413361963746,4,4,0.011820236979684595,-0.004970807796434884,3,0,1,0.5933615731760592,true
C066,CUATRO PONIENTE,5,0.572487990377622,5,5,0,0,4,0,1,0.572487990377622,true
I11,JOSE JOAQUIN PEREZ,6,0.5721603338810728,3,3,0.02854720990797255,-0.013442238081470714,5,0,1,0.6007075437890453,true
EP-ALAMEDA-T3,ALAMEDA TRAMO 3,7,0.558260973877864,14,14,0.0034949089665343713,-0.08598562745699434,6,-6,1,0.5617558828443984,true
I16,MATTA-VESPUCIO NORTE,8,0.5227107068074346,9,9,0,0,7,0,1,0.5227107068074346,true
I20,PAC - LO ESPEJO - EL BOSQUE,9,0.49632538126901565,7,7,0.05735992503660242,0,8,0,1,0.5536853063056181,true
I15,MARTINEZ DE ROZAS,10,0.49042582216035796,,30,0,-0.07554205077489706,8,-14,2,0.4148837713854609,true
I01,BARÓN DE JURAS REALES,11,0.48687720322810635,16,16,0.07165329988380442,-0.07059336359058527,10,-1,1,0.5116121978464763,true
C068,SAN CARLOS,12,0.48156244324655567,8,8,0.05755281242502969,-0.007589552238805974,11,0,1,0.5391152556715854,true
EP-I34,VICUÑA MACKENNA,13,0.4789418889773093,18,18,0,0,12,0,1,0.4789418889773093,true
I22,PEDRO FONTOVA,14,0.4728109936708254,10,10,0.1518919733124457,0,13,0,1,0.6247029669832711,true
I09,GENERAL VELASQUEZ,15,0.45347011016300426,21,21,0,-0.08156525797503272,14,-19,1,0.4341813116960046,true
I08,GENERAL OSCAR BONILLA,16,0.44379823929485906,,30,0.09990952558450905,-0.09031302179635459,11,-11,10,0.38725473284935025,true
C006,DOMINGO TOCORNAL,17,0.44257795158972896,,30,0.04730585122197778,-0.21591312893314704,11,-86,11,0.38429556966416456,true
I05,DIAGONAL JOSE MARIA CARO,18,0.43893681633352033,,30,0.00624842370097578,-0.09874927470085709,12,-14,6,0.39309133143635283,true
EP-I10,GRAN AVENIDA,19,0.435180901694348,19,19,0.11287938435358191,0,18,0,1,0.46460786664517606,true
I21,PEDRO DE VALDIVIA,20,0.43141163724900483,13,13,0.11632576726888982,-0.005026301211349504,19,0,1,0.5477374045178947,true
I07,EL GUANACO,21,0.42548756362861406,,30,0.061042405788801934,-0.10306104043658981,15,-21,30,0.324739680651957,true
I02,CARLOS VALDOVINOS,22,0.4243998641097862,,30,0,-0.06988470703716354,5,-19,19,0.35528620955926693,true
I29,SANTA ROSA,23,0.42297111297710543,,30,0.03985842427525221,-0.03290276975459855,20,0,3,0.41245640292399943,true
C060,ROJAS MAGALLANES,24,0.4219139986989199,,30,0.006162412795207961,-0.13455232121752092,19,-48,5,0.3996060222843795,true
C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,25,0.41723732777812184,,30,0.012845038056239766,-0.08831500273135201,12,-15,17,0.3569073996736355,true
I24,RADAL,26,0.41533970570255174,30,30,0.008485814838582406,-0.042599537524482034,25,-5,1,0.4154031421910538,true
