strategy,transition_step,source_id,source_nombre,target_id,target_nombre,score_before,score_after,delta_score,rank_before,rank_after,delta_rank_improvement,relation
eva_adaptive_open,8,C068,SAN CARLOS,C006,DOMINGO TOCORNAL,0.48988380281170674,0.22666482265658192,-0.2632189801551248,6,103,-97,substitution_signal
eva_adaptive_open,3,I11,JOSE JOAQUIN PEREZ,C049,FEDERICO ERRÁZURIZ (EX SERRANO),0.5607503270744679,0.3020754541725971,-0.2586748729018708,4,63,-59,substitution_signal
eva_adaptive_open,8,C068,SAN CARLOS,C003,CONCHA Y TORO,0.4054616923323066,0.2369033164688023,-0.1685583758635043,20,99,-79,substitution_signal
eva_adaptive_open,10,I22,PEDRO FONTOVA,I07,EL GUANACO,0.486529969417416,0.32242652319202425,-0.16410344622539175,6,38,-32,substitution_signal
eva_adaptive_open,15,I10,GRAN AVENIDA,I14,LO OVALLE,0.5150511974190207,0.36392289464962513,-0.1511283027693956,2,20,-18,substitution_signal
eva_adaptive_open,10,I22,PEDRO FONTOVA,I01,BARÓN DE JURAS REALES,0.5585305031119108,0.4162838396375211,-0.1422466634743897,2,12,-10,substitution_signal
eva_adaptive_open,4,I30,WALKER - HUALLE - AGUIRRE,C060,ROJAS MAGALLANES,0.42807641149412784,0.28736167748139896,-0.14071473401272888,18,72,-54,substitution_signal
eva_adaptive_open,3,I11,JOSE JOAQUIN PEREZ,I08,GENERAL OSCAR BONILLA,0.5437077648793681,0.4199035352376331,-0.12380422964173504,5,21,-16,substitution_signal
eva_adaptive_open,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,I08,GENERAL OSCAR BONILLA,0.47857126626924523,0.3590822324238776,-0.11948903384536763,7,24,-17,substitution_signal
eva_adaptive_open,8,C068,SAN CARLOS,C029,MARIA ELENA,0.42247948952074016,0.3055255912691762,-0.11695389825156394,16,49,-33,substitution_signal
eva_adaptive_open,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,C041,VISTA HERMOSA,0.3538963641684658,0.23729046079619398,-0.11660590337227184,33,98,-65,substitution_signal
eva_adaptive_open,2,I26,SAN PABLO,C023,AVENIDA DORSAL,0.4198963414700359,0.3037663294389082,-0.11613001203112772,24,62,-38,substitution_signal
eva_adaptive_open,11,I19,PAC-LO ESPEJO-SN BDO,C053,CONDELL,0.45412861137487887,0.34549899482649016,-0.10862961654838871,10,31,-21,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I14,LO OVALLE,0.6371787956227899,0.5302680841538587,-0.10691071146893116,2,5,-3,substitution_signal
eva_adaptive_open,27,C052,BAQUEDANO - POSTALES ORIENTE,C053,CONDELL,0.38857848246317167,0.2912491237459163,-0.09732935871725534,10,71,-61,substitution_signal
eva_adaptive_open,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,0.4300823658343616,0.33451933997214295,-0.09556302586221865,13,34,-21,substitution_signal
eva_adaptive_open,30,I24,RADAL,C070,MENDOZA (EX-CORONEL ROBLES),0.4050205586776194,0.31428348334787637,-0.09073707532974301,4,37,-33,substitution_signal
eva_adaptive_open,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,C058,ANTONIO EBNER-BARROS ARANA,0.4166336104527017,0.32780814449325085,-0.08882546595945084,18,38,-20,substitution_signal
eva_adaptive_open,7,I20,PAC - LO ESPEJO - EL BOSQUE,I14,LO OVALLE,0.5534212047176278,0.4661006249699735,-0.08732057974765428,2,11,-9,substitution_signal
eva_adaptive_open,25,C089,J J PEREZ,C054,VICTORIA,0.3889499275079369,0.30195101422376497,-0.08699891328417192,10,56,-46,substitution_signal
eva_adaptive_open,10,I22,PEDRO FONTOVA,I05,DIAGONAL JOSE MARIA CARO,0.4252898724353918,0.34018754163266324,-0.08510233080272855,13,32,-19,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I09,GENERAL VELASQUEZ,0.45347011016300426,0.37190485218797154,-0.08156525797503272,15,34,-19,substitution_signal
eva_adaptive_open,23,C086,LA ESTRELLA,C082,CAUPOLICAN,0.4155589571947977,0.3343157551872506,-0.08124320200754709,4,33,-29,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C024,LOS ARRAYANES - LOS COPIHUES,0.369297779392275,0.2909815151341239,-0.07831626425815108,39,68,-29,substitution_signal
eva_adaptive_open,19,EP-I10,GRAN AVENIDA,C011,EYZAGUIRRE,0.4206647047500463,0.3437616552822007,-0.0769030494678456,6,28,-22,substitution_signal
eva_adaptive_open,11,I19,PAC-LO ESPEJO-SN BDO,EP-I10,GRAN AVENIDA,0.5480602860479299,0.4778935472512123,-0.07016673879671759,2,7,-5,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I02,CARLOS VALDOVINOS,0.4243998641097862,0.35451515707262266,-0.06988470703716354,22,41,-19,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.558260973877864,0.4902395477729498,-0.06802142610491418,7,10,-3,substitution_signal
eva_adaptive_open,15,I10,GRAN AVENIDA,C061,EL PINAR,0.39864505397931,0.3314808748748323,-0.0671641791044777,17,36,-19,substitution_signal
eva_adaptive_open,15,I10,GRAN AVENIDA,I29,SANTA ROSA,0.4572325223269845,0.3900683432225069,-0.06716417910447764,7,15,-8,substitution_signal
eva_adaptive_open,15,I10,GRAN AVENIDA,C081,SAN GREGORIO - DIEGO MEZA,0.4067950237445105,0.33963084464003285,-0.06716417910447764,16,32,-16,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C043,NEPTUNO,0.35474887854437137,0.2875846994398938,-0.06716417910447758,45,72,-27,substitution_signal
eva_adaptive_open,29,C063,LONGITUDINAL,C010,ESQ BLANCA - ALBERTO LLONA,0.35218186133855267,0.2850176822340751,-0.06716417910447758,21,72,-51,substitution_signal
eva_adaptive_open,3,I11,JOSE JOAQUIN PEREZ,C087,SALVADOR GUTIERREZ,0.2988400180747415,0.23167583897026392,-0.06716417910447756,67,106,-39,substitution_signal
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I15,MARTINEZ DE ROZAS,0.49042582216035796,0.42342407874800625,-0.06700174341235171,10,22,-12,substitution_signal
eva_adaptive_open,7,I20,PAC - LO ESPEJO - EL BOSQUE,C084,EL PINO - UNO SUR,0.2841847706338979,0.2172071843244779,-0.06697758630942002,73,110,-37,substitution_signal
eva_adaptive_open,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,I18,NUEVA IMPERIAL,0.38410088261426645,0.31746948982985224,-0.06663139278441421,24,42,-18,substitution_signal
