strategy,step,id,nombre,escala,initial_rank,current_rank_before_build,initial_score,realized_score,delta_score_vs_G0,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_realized_score,discounted_realized_score,cum_discounted_score,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
eva_adaptive_open,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,1,0.6686769070660649,0.6686769070660649,0,44459,550242,58232,217,3,140,1192,1,100,0.6686769070660649,0.6686769070660649,0.6686769070660649,44459,58232,217,1192
eva_adaptive_open,2,I26,SAN PABLO,Intercomunal,3,1,0.6268373699221884,0.5863061971581027,-0.04053117276408569,33063,89662,24215,154,2,139,883,1,100,1.2549831042241677,0.5569908873001975,1.2256677943662624,77522,82447,371,2075
eva_adaptive_open,3,I11,JOSE JOAQUIN PEREZ,Intercomunal,6,1,0.5721603338810728,0.6007075437890453,0.02854720990797255,28111,1128669,53252,107,1,139,690,1,100,1.855690648013213,0.5421385582696134,1.7678063526358758,105633,135699,478,2765
eva_adaptive_open,4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,4,1,0.5815413361963746,0.5933615731760592,0.011820236979684595,28110,292020,36471,108,2,138,800,1,100,2.4490522211892722,0.5087333788018237,2.2765397314376994,133743,172170,586,3565
eva_adaptive_open,5,C066,CUATRO PONIENTE,Comunal,5,1,0.572487990377622,0.572487990377622,0,49812,126728,29943,101,1,138,676,2,50,3.021540211566894,0.4662950462125129,2.7428347776502124,183555,202113,687,4241
eva_adaptive_open,6,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,57,1,0.31744308727562154,0.552346446961781,0.2349033596861595,4301,335823,85198,62,4,135,332,1,100,3.573886658528675,0.42739515155488084,3.1702299292050933,187856,287311,749,4573
eva_adaptive_open,7,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,9,1,0.49632538126901565,0.5536853063056181,0.05735992503660242,45106,202871,27196,137,1,135,1031,1,100,4.127571964834293,0.4070095786234789,3.577239507828572,232962,314507,886,5604
eva_adaptive_open,8,C068,SAN CARLOS,Comunal,12,1,0.48156244324655567,0.5391152556715854,0.05755281242502969,35574,407794,74172,67,3,133,587,2,50,4.666687220505878,0.3764842899285855,3.9537237977571578,268536,388679,953,6191
eva_adaptive_open,9,I16,MATTA-VESPUCIO NORTE,Intercomunal,8,1,0.5227107068074346,0.5227107068074346,0,34088,84165,18290,126,3,131,990,2,50,5.189397927313313,0.34677696254959883,4.300500760306757,302624,406969,1079,7181
eva_adaptive_open,10,I22,PEDRO FONTOVA,Intercomunal,14,1,0.4728109936708254,0.6247029669832711,0.1518919733124457,16446,1185713,79843,72,3,129,688,1,100,5.814100894296584,0.3937186761944186,4.694219436501175,319070,486812,1151,7869
eva_adaptive_open,11,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,27,1,0.41460848628355157,0.5623691570918944,0.14776067080834282,3668,484781,40791,147,3,127,1435,1,100,6.376470051388479,0.33671118783926773,5.030930624340443,322738,527603,1298,9304
eva_adaptive_open,12,I04,DEL FERROCARRIL,Intercomunal,32,1,0.3940478916997146,0.5720647554031296,0.17801686370341502,14321,374008,67208,58,3,125,652,1,100,6.948534806791608,0.32539048566141043,5.356321110001853,337059,594811,1356,9956
eva_adaptive_open,13,I21,PEDRO DE VALDIVIA,Intercomunal,20,1,0.43141163724900483,0.5477374045178947,0.11632576726888982,14501,740377,25388,75,1,125,474,1,100,7.496272211309503,0.29597543192139464,5.652296541923248,351560,620199,1431,10430
eva_adaptive_open,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,1,0.558260973877864,0.5617558828443984,0.0034949089665343713,0,64354,33578,156,3,123,341,0,100,8.0580280941539,0.28837293519386087,5.940669477117109,351560,653777,1587,10771
eva_adaptive_open,15,I10,GRAN AVENIDA,Intercomunal,28,1,0.40682183317748805,0.5257981753640685,0.11897634218658043,38695,38695,20301,76,1,123,448,2,50,8.583826269517969,0.2564186141896556,6.197088091306765,390255,674078,1663,11219
eva_adaptive_open,16,I01,BARÓN DE JURAS REALES,Intercomunal,11,1,0.48687720322810635,0.5116121978464763,0.02473499461836992,16219,16219,9010,123,1,123,781,1,100,9.095438467364446,0.23702544450502894,6.434113535811794,406474,683088,1786,12000
eva_adaptive_open,17,I27,SANTA CECILIA - NONATO COO,Intercomunal,42,1,0.36006768212709356,0.5089639398517234,0.14889625772462983,24624,24624,14290,124,1,123,644,1,100,9.604402407216169,0.22400860331081648,6.658122139122611,431098,697378,1910,12644
eva_adaptive_open,18,EP-I34,VICUÑA MACKENNA,Intercomunal,13,1,0.4789418889773093,0.4789418889773093,0,0,0,0,271,2,122,539,1,100,10.083344296193477,0.20025534316969845,6.858377482292309,431098,697378,2181,13183
eva_adaptive_open,19,EP-I10,GRAN AVENIDA,Intercomunal,19,1,0.435180901694348,0.46460786664517606,0.029426964950828083,4764,9973,5817,127,2,121,913,1,100,10.547952162838653,0.18454889709979033,7.0429263793920995,435862,703195,2308,14096
eva_adaptive_open,20,I25,SAN FRANCISCO,Intercomunal,43,1,0.3566735624368237,0.4392701160270343,0.08259655359021062,29567,29567,15082,210,1,121,1001,2,50,10.987222278865687,0.1657601607689038,7.208686540161003,465429,718277,2518,15097
eva_adaptive_open,21,I09,GENERAL VELASQUEZ,Intercomunal,15,1,0.45347011016300426,0.4341813116960046,-0.019288798466999657,735,13323,5298,71,1,121,643,1,100,11.421403590561692,0.15564788801589285,7.364334428176896,466164,723575,2589,15740
eva_adaptive_open,22,EP-I33,LA CHIMBA,Intercomunal,30,1,0.4043195865206677,0.4333992278113977,0.02907964129073004,4379,11547,5001,198,2,120,971,1,100,11.85480281837309,0.14759914585546277,7.5119335740323585,470543,728576,2787,16711
eva_adaptive_open,23,C086,LA ESTRELLA,Comunal,40,1,0.36814789692769634,0.49707937215384324,0.1289314752261469,5624,295545,26421,33,2,119,185,1,100,12.351882190526933,0.16082185140623848,7.672755425438597,476167,754997,2820,16896
eva_adaptive_open,24,I06,DIAGONAL ORIENTE,Intercomunal,31,1,0.40267663972498335,0.4431789236424345,0.04050228391745114,4804,4804,2894,254,1,119,1138,1,100,12.795061114169368,0.13621408581248606,7.808969511251083,480971,757891,3074,18034
