budget_fraction,budget_mclp,static_step,adaptive_step,static_cum_score,adaptive_cum_score,delta_cum_score,static_components,adaptive_components,delta_components,static_cum_demand,adaptive_cum_demand,static_cum_population,adaptive_cum_population,static_cum_cyclists,adaptive_cum_cyclists
0.1,2107.9,1,2,0.6686769070660649,1.2549831042241677,0.5863061971581028,140,139,-1,58232,82447,44459,77522,217,371
0.2,4215.8,3,4,1.7852511883780262,2.4490522211892722,0.663801032811246,139,138,-1,102871,172170,123416,133743,599,586
0.3,6323.7,7,7,4.028861735634864,4.184478688280513,0.1556169526456488,136,137,1,251303,316855,229449,248995,1071,992
0.4,8431.6,9,9,5.008778944632337,5.299548830561356,0.2907698859290191,134,133,-1,284629,437792,292458,294550,1335,1208
0.5,10539.5,13,12,6.959252494217219,6.998583912057755,0.03933141784053529,130,129,-1,381715,561771,344251,359585,2046,1481
0.6,12647.4,16,15,8.19564907231198,8.470553632224199,0.27490455991221907,129,126,-3,427892,602114,366330,382193,2277,2046
0.7,14755.3,19,17,9.239068818050152,9.413191607163611,0.17412278911345958,127,125,-2,463802,616941,388047,403176,2577,2296
0.8,16863.2,23,21,10.768602514095617,11.038923490736257,0.27032097664064025,126,123,-3,488121,628327,407750,413492,2986,2950
0.9,18971.100000000002,26,24,11.814447921133832,12.140680941375892,0.3262330202420607,125,122,-3,501521,637388,421805,419505,3197,3237
1,21079,30,30,13.671497615823647,14.042738064903974,0.37124044908032694,121,121,0,654246,654242,436666,436666,3760,3760
