strategy,transition_step,source_id,source_nombre,target_id,target_nombre,score_before,score_after,delta_score,rank_before,rank_after,delta_rank_improvement,relation
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I14,LO OVALLE,0.6371787956227899,0.5302680841538587,-0.10691071146893116,2,5,-3,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I26,SAN PABLO,0.6268373699221884,0.5863061971581027,-0.04053117276408569,3,1,2,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I30,WALKER - HUALLE - AGUIRRE,0.5815413361963746,0.582167543325313,0.0006262071289383497,4,2,2,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C066,CUATRO PONIENTE,0.572487990377622,0.572487990377622,0,5,3,2,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I11,JOSE JOAQUIN PEREZ,0.5721603338810728,0.5587180957996021,-0.013442238081470714,6,4,2,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,0.558260973877864,0.4902395477729498,-0.06802142610491418,7,10,-3,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I16,MATTA-VESPUCIO NORTE,0.5227107068074346,0.5227107068074346,0,8,6,2,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I20,PAC - LO ESPEJO - EL BOSQUE,0.49632538126901565,0.503748125196464,0.007422743927448294,9,8,1,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I15,MARTINEZ DE ROZAS,0.49042582216035796,0.42342407874800625,-0.06700174341235171,10,22,-12,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I01,BARÓN DE JURAS REALES,0.48687720322810635,0.48687720322810635,0,11,11,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C068,SAN CARLOS,0.48156244324655567,0.48156244324655567,0,12,12,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,EP-I34,VICUÑA MACKENNA,0.4789418889773093,0.4789418889773093,0,13,13,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I22,PEDRO FONTOVA,0.4728109936708254,0.4728109936708254,0,14,14,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I09,GENERAL VELASQUEZ,0.45347011016300426,0.37190485218797154,-0.08156525797503272,15,34,-19,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I08,GENERAL OSCAR BONILLA,0.44379823929485906,0.5152019385572235,0.07140369926236445,16,7,9,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C006,DOMINGO TOCORNAL,0.44257795158972896,0.44257795158972896,0,17,16,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I05,DIAGONAL JOSE MARIA CARO,0.43893681633352033,0.43893681633352033,0,18,17,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,EP-I10,GRAN AVENIDA,0.435180901694348,0.45002418527643756,0.014843283582089584,19,15,4,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I21,PEDRO DE VALDIVIA,0.43141163724900483,0.43198235096302845,0.0005707137140236185,20,18,2,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I07,EL GUANACO,0.42548756362861406,0.42548756362861406,0,21,20,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I02,CARLOS VALDOVINOS,0.4243998641097862,0.35451515707262266,-0.06988470703716354,22,41,-19,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I29,SANTA ROSA,0.42297111297710543,0.4235325573693767,0.0005614443922712931,23,21,2,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C060,ROJAS MAGALLANES,0.4219139986989199,0.42247939656875466,0.0005653978698347828,24,23,1,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C057,PADRE VICENTE IRARRAZABAL - MANUEL CHACON,0.41723732777812184,0.35926879818012003,-0.057968529598001806,25,40,-15,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I24,RADAL,0.41533970570255174,0.4019586400827961,-0.013381065619755661,26,28,-2,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I19,PAC-LO ESPEJO-SN BDO,0.41460848628355157,0.41843348297957955,0.0038249966960279824,27,25,2,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I10,GRAN AVENIDA,0.40682183317748805,0.42885168392375667,0.02202985074626862,28,19,9,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C058,ANTONIO EBNER-BARROS ARANA,0.40679457494201116,0.350997687135054,-0.05579688780695713,29,43,-14,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,EP-I33,LA CHIMBA,0.4043195865206677,0.4043195865206677,0,30,26,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I06,DIAGONAL ORIENTE,0.40267663972498335,0.40267663972498335,0,31,27,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I04,DEL FERROCARRIL,0.3940478916997146,0.5026073146224199,0.10855942292270532,32,9,23,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C081,SAN GREGORIO - DIEGO MEZA,0.38932341506856066,0.3897582429213287,0.00043482785276804936,33,30,3,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C070,MENDOZA (EX-CORONEL ROBLES),0.387202115587132,0.3937720786581624,0.00656996307103036,34,29,5,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C029,MARIA ELENA,0.3866330072050211,0.3866330072050211,0,35,31,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C061,EL PINAR,0.38117344530336017,0.38160827315612816,0.00043482785276799385,36,32,4,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C050,MAR DE DRAKE,0.3754671127887729,0.3754671127887729,0,37,33,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C003,CONCHA Y TORO,0.3709576416282776,0.3709576416282776,0,38,35,3,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C024,LOS ARRAYANES - LOS COPIHUES,0.369297779392275,0.2909815151341239,-0.07831626425815108,39,68,-29,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C086,LA ESTRELLA,0.36814789692769634,0.36814789692769634,0,40,36,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C032,OBISPO MANUEL UMAÑA,0.36167847000046166,0.31389417400550856,-0.0477842959949531,41,54,-13,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I27,SANTA CECILIA - NONATO COO,0.36006768212709356,0.36006768212709356,0,42,39,3,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I25,SAN FRANCISCO,0.3566735624368237,0.36278550273533117,0.006111940298507479,43,38,5,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C044,LOS CERRILLOS,0.355273233150638,0.34964631946381725,-0.005626913686820778,44,44,0,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C043,NEPTUNO,0.35474887854437137,0.2875846994398938,-0.06716417910447758,45,72,-27,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I17,MATUCANA,0.3532790270795219,0.3536472146483408,0.0003681875688189007,46,42,4,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C053,CONDELL,0.3532028448920026,0.3681132926531967,0.014910447761194101,47,37,10,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C023,AVENIDA DORSAL,0.34913804016037303,0.4198963414700359,0.07075830130966287,48,24,24,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C014,JOSE DOMINGO CAÑAS,0.3434151720257287,0.3434151720257287,0,49,45,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C083,ORIENTAL-LAS PARCELAS,0.33400841178333013,0.33400841178333013,0,50,46,4,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C078,WALDO TAFF,0.33255806783730496,0.29534911261342445,-0.03720895522388051,51,66,-15,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C001,SAN EUGENIO,0.3301050844306759,0.3301050844306759,0,52,47,5,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C049,FEDERICO ERRÁZURIZ (EX SERRANO),0.32905890532348764,0.32905890532348764,0,53,48,5,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I13,LO ESPEJO-RIQUELME,0.32833080195639963,0.32833080195639963,0,54,49,5,neutral
