strategy,step,id,nombre,escala,initial_rank,current_rank_before_build,initial_score,realized_score,delta_score_vs_G0,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_realized_score,discounted_realized_score,cum_discounted_score,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
static_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,1,0.6686769070660649,0.6686769070660649,0,44459,550242,58232,217,3,140,1192,1,100,0.6686769070660649,0.6686769070660649,0.6686769070660649,44459,58232,217,1192
static_fixed_set,2,I14,LO OVALLE,Intercomunal,2,5,0.6371787956227899,0.5302680841538587,-0.10691071146893116,45894,53668,20424,228,1,140,1374,1,100,1.1989449912199235,0.5037546799461657,1.1724315870122306,90353,78656,445,2566
static_fixed_set,3,I26,SAN PABLO,Intercomunal,3,4,0.6268373699221884,0.5863061971581027,-0.04053117276408569,33063,89662,24215,154,2,139,883,1,100,1.7852511883780262,0.5291413429351877,1.7015729299474183,123416,102871,599,3449
static_fixed_set,4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,4,5,0.5815413361963746,0.5783306343135644,-0.003210701882810252,28110,317623,37055,108,2,138,800,1,100,2.3635818226915903,0.4958462275945922,2.1974191575420106,151526,139926,707,4249
static_fixed_set,5,C066,CUATRO PONIENTE,Comunal,5,4,0.572487990377622,0.572487990377622,0,49812,126728,29943,101,1,138,676,2,50,2.936069813069212,0.4662950462125129,2.6637142037545236,201338,169869,808,4925
static_fixed_set,6,I11,JOSE JOAQUIN PEREZ,Intercomunal,6,2,0.5721603338810728,0.6093225462940365,0.03716221241296369,28111,1178230,54489,107,1,138,690,1,100,3.5453923593632486,0.47148217111128654,3.13519637486581,229449,224358,915,5615
static_fixed_set,7,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,7,0.558260973877864,0.483469376271616,-0.07479159760624798,0,64354,26945,156,3,136,341,0,100,4.028861735634864,0.35539441786279163,3.4905907927286015,229449,251303,1071,5956
static_fixed_set,8,I16,MATTA-VESPUCIO NORTE,Intercomunal,8,4,0.5227107068074346,0.5227107068074346,0,34088,84165,18290,126,3,134,990,2,50,4.551572442442299,0.36502838163115664,3.855619174359758,263537,269593,1197,6946
static_fixed_set,9,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,9,11,0.49632538126901565,0.4572065021900382,-0.03911887907897743,28921,85777,15036,138,1,134,1031,1,100,5.008778944632337,0.30332013487107873,4.158939309230837,292458,284629,1335,7977
static_fixed_set,10,I15,MARTINEZ DE ROZAS,Intercomunal,10,16,0.49042582216035796,0.4148837713854609,-0.07554205077489706,0,0,0,251,1,134,640,1,100,5.423662716017798,0.2614802520200064,4.420419561250843,292458,284629,1586,8617
static_fixed_set,11,I01,BARÓN DE JURAS REALES,Intercomunal,11,5,0.48687720322810635,0.5750854459755566,0.0882082427474502,16219,1018798,55005,122,2,133,781,1,100,5.998748161993355,0.34432489972394265,4.764744460974786,308677,339634,1708,9398
static_fixed_set,12,C068,SAN CARLOS,Comunal,12,7,0.48156244324655567,0.48156244324655567,0,35574,275516,42081,67,3,131,587,2,50,6.48031060523991,0.27391276215551824,5.038657223130304,344251,381715,1775,9985
static_fixed_set,13,EP-I34,VICUÑA MACKENNA,Intercomunal,13,7,0.4789418889773093,0.4789418889773093,0,0,0,0,271,2,130,539,1,100,6.959252494217219,0.25880108111308764,5.297458304243392,344251,381715,2046,10524
static_fixed_set,14,I22,PEDRO FONTOVA,Intercomunal,14,6,0.4728109936708254,0.5138601129747042,0.041049119303878834,16446,935218,35847,72,2,129,688,1,100,7.473112607191924,0.26378602090867637,5.561244325152068,360697,417562,2118,11212
static_fixed_set,15,I09,GENERAL VELASQUEZ,Intercomunal,15,12,0.45347011016300426,0.40304317492007796,-0.050426935242926296,735,9656,3129,72,1,129,643,1,100,7.876155782112002,0.19655407191180574,5.757798397063874,361432,420691,2190,11855
static_fixed_set,16,I08,GENERAL OSCAR BONILLA,Intercomunal,16,29,0.44379823929485906,0.3194932901999786,-0.12430494909488049,4898,13286,7201,87,1,129,595,1,100,8.19564907231198,0.14801843944453505,5.90581683650841,366330,427892,2277,12450
static_fixed_set,17,C006,DOMINGO TOCORNAL,Comunal,17,66,0.44257795158972896,0.2871582452605561,-0.15541970632917285,0,4416,1117,68,2,128,439,2,50,8.482807317572536,0.12638600186241514,6.032202838370825,366330,429009,2345,12889
