step,static_id,adaptive_id,static_cum_score,adaptive_cum_score,delta_cum_score_adaptive_minus_static,static_discounted_score,adaptive_discounted_score,delta_discounted_score,static_components,adaptive_components,delta_components_adaptive_minus_static,static_cum_cost,adaptive_cum_cost,static_cum_demand,adaptive_cum_demand,static_cum_population,adaptive_cum_population,static_cum_cyclists,adaptive_cum_cyclists
1,I12,I12,0.6686769070660649,0.6686769070660649,0,0.6686769070660649,0.6686769070660649,0,140,140,0,1192,1192,58232,58232,44459,44459,217,217
2,I14,I26,1.1989449912199235,1.2549831042241677,0.05603811300424422,1.1724315870122306,1.2256677943662624,0.053236207354031784,140,139,-1,2566,2075,78656,82447,90353,77522,445,371
3,I26,I11,1.7852511883780262,1.855690648013213,0.07043945963518672,1.7015729299474183,1.7678063526358758,0.06623342268845755,139,139,0,3449,2765,102871,135699,123416,105633,599,478
4,I30,I30,2.3635818226915903,2.4490522211892722,0.0854703984976819,2.1974191575420106,2.2765397314376994,0.07912057389568883,138,138,0,4249,3565,139926,172170,151526,133743,707,586
5,C066,C066,2.936069813069212,3.021540211566894,0.0854703984976819,2.6637142037545236,2.7428347776502124,0.07912057389568883,138,138,0,4925,4241,169869,202113,201338,183555,808,687
6,I11,I14,3.5453923593632486,3.569533317404476,0.02414095804122729,3.13519637486581,3.166861396828753,0.03166502196294285,138,138,0,5615,5615,224358,224357,229449,229449,915,915
7,EP-ALAMEDA-T3,I10,4.028861735634864,4.184478688280513,0.1556169526456488,3.4905907927286015,3.6189027521371107,0.12831195940850915,136,137,1,5956,6063,251303,316855,229449,248995,1071,992
8,I16,C068,4.551572442442299,4.738249117561999,0.1866766751197,3.855619174359758,4.0056212963782185,0.15000212201846042,134,135,1,6946,6650,269593,390840,263537,284569,1197,1059
9,I20,I19,5.008778944632337,5.299548830561356,0.2907698859290191,4.158939309230837,4.377998994058679,0.2190596848278421,134,133,-1,7977,8085,284629,437792,292458,294550,1335,1208
10,I15,I16,5.423662716017798,5.822259537368791,0.39859682135099295,4.420419561250843,4.707437108480797,0.2870175472299543,134,131,-3,8617,9075,284629,456082,292458,328638,1586,1334
11,I01,I22,5.998748161993355,6.468963732071139,0.4702155700777846,4.764744460974786,5.0946427986095015,0.32989833763471577,133,129,-4,9398,9763,339634,536464,308677,345084,1708,1406
12,C068,I21,6.48031060523991,6.998583912057755,0.5182733068178447,5.038657223130304,5.395890805857364,0.3572335827270594,131,129,-2,9985,10237,381715,561771,344251,359585,1775,1481
13,EP-I34,EP-ALAMEDA-T3,6.959252494217219,7.528168044436184,0.5689155502189642,5.297458304243392,5.682056934054113,0.38459862981072135,130,127,-3,10524,10578,381715,590323,344251,359585,2046,1637
14,I22,EP-I34,7.473112607191924,8.007109933413492,0.5339973262215683,5.561244325152068,5.927917961111547,0.36667363595947844,129,126,-3,11212,11117,417562,590323,360697,359585,2118,1908
15,I09,I20,7.876155782112002,8.470553632224199,0.5943978501121974,5.757798397063874,6.153927857250282,0.3961294601864074,129,126,-3,11855,12148,420691,602114,361432,382193,2190,2046
16,I08,I01,8.19564907231198,8.965374785294555,0.7697257129825754,5.90581683650841,6.383174157965315,0.4773573214569051,129,126,-3,12450,12929,427892,611124,366330,398412,2277,2169
17,C006,EP-I10,8.482807317572536,9.413191607163611,0.9303842895910748,6.032202838370825,6.580270283940764,0.5480674455699388,128,125,-3,12889,13842,429009,616941,366330,403176,2345,2296
18,I05,EP-I33,8.775487368244146,9.835396805124264,1.0599094368801172,6.154578319269604,6.75680286284335,0.6022245435737457,128,124,-4,13533,14813,431524,621942,370551,407555,2454,2494
19,EP-I10,I15,9.239068818050152,10.250280576509724,1.011211758459572,6.338719508904169,6.921600637333601,0.582881128429432,127,124,-3,14446,15453,463802,621942,388047,407555,2577,2745
20,I21,I09,9.707082762146566,10.659663651121175,0.9525808889746088,6.515326256745708,7.076082815355212,0.560756558609504,127,124,-3,14920,16096,485389,625500,402548,408290,2652,2818
21,I07,I29,10.032207969041846,11.038923490736257,1.006715521694412,6.63187906643783,7.212042128792141,0.5801630623543108,127,123,-4,15363,16806,485389,628327,402548,413492,2746,2950
22,I02,I24,10.387494178601113,11.417443167867875,1.029948989266762,6.752875915763074,7.340951405618136,0.5880754898550622,127,122,-5,16050,17315,485389,633975,402548,413492,2849,3063
