step,id,nombre,decision_type,poblacion_marginal,cum_population,bridge_next_population,bridge_next_id,enablers_tested,demanda_habilitada,ciclistas_inducidos,costo_mclp,cum_cost_mclp
1,I20,PAC - LO ESPEJO - EL BOSQUE,direct_population,54569,54569,0,,0,21620,136,1031,1031
2,C066,CUATRO PONIENTE,direct_population,49812,104381,0,,0,29943,101,676,1707
3,I27,SANTA CECILIA - NONATO COO,direct_population,39359,143740,0,,0,0,123,644,2351
4,I10,GRAN AVENIDA,direct_population,38695,182435,0,,0,7814,76,448,2799
5,I26,SAN PABLO,direct_population,38151,220586,0,,0,23411,154,883,3682
6,I16,MATTA-VESPUCIO NORTE,direct_population,34088,254674,0,,0,18290,126,990,4672
7,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,direct_population,29908,284582,0,,0,54781,218,1192,5864
8,I25,SAN FRANCISCO,direct_population,29567,314149,0,,0,5538,210,1001,6865
9,I11,JOSE JOAQUIN PEREZ,direct_population,28111,342260,0,,0,54210,107,690,7555
10,I30,WALKER - HUALLE - AGUIRRE,direct_population,28110,370370,0,,0,36877,108,800,8355
11,C068,SAN CARLOS,direct_population,20839,391209,0,,0,47316,68,587,8942
12,I28,SANTA RAQUEL,direct_population,20689,411898,0,,0,0,64,300,9242
13,I05,DIAGONAL JOSE MARIA CARO,direct_population,18972,430870,0,,0,17036,107,644,9886
14,I21,PEDRO DE VALDIVIA,direct_population,14501,445371,0,,0,21411,75,474,10360
15,C044,LOS CERRILLOS,direct_population,14321,459692,0,,0,6255,11,196,10556
16,C069,LOS OLMOS,direct_population,13970,473662,0,,0,0,40,167,10723
17,C063,LONGITUDINAL,direct_population,13349,487011,0,,0,0,38,192,10915
18,I01,BARÓN DE JURAS REALES,direct_population,12617,499628,0,,0,44570,124,781,11696
19,C052,BAQUEDANO - POSTALES ORIENTE,direct_population,12471,512099,0,,0,0,34,259,11955
20,I23,PETERSEN - VICUÑA MACKENNA,direct_population,10649,522748,0,,0,0,69,361,12316
21,C056,TEMUCO - TORO MAZOTTE,direct_population,8042,530790,0,,0,1336,76,186,12502
22,C029,MARIA ELENA,direct_population,7474,538264,0,,0,493,55,270,12772
23,C011,EYZAGUIRRE,direct_population,6313,544577,0,,0,0,27,284,13056
24,C053,CONDELL,direct_population,5706,550283,0,,0,33969,75,280,13336
25,I22,PEDRO FONTOVA,direct_population,5297,555580,0,,0,30094,73,688,14024
26,C061,EL PINAR,direct_population,5202,560782,0,,0,2732,32,222,14246
27,C085,LOS LIBERTADORES,direct_population,5017,565799,0,,0,2992,8,177,14423
28,C050,MAR DE DRAKE,direct_population,4898,570697,0,,0,10332,31,177,14600
29,C083,ORIENTAL-LAS PARCELAS,direct_population,4804,575501,0,,0,2894,87,392,14992
30,C073,LOS MORROS,direct_population,4670,580171,0,,0,0,17,335,15327
31,EP-I33,LA CHIMBA,direct_population,4379,584550,0,,0,5001,199,971,16298
32,C032,OBISPO MANUEL UMAÑA,direct_population,3082,587632,0,,0,12753,25,251,16549
33,C015,JOSE MANUEL GUZMAN,direct_population,2719,590351,0,,0,1466,20,202,16751
34,C008,EL CERRO,direct_population,2416,592767,0,,0,0,22,206,16957
35,I19,PAC-LO ESPEJO-SN BDO,direct_population,2119,594886,0,,0,8073,148,1435,18392
36,C017,LA PARINACOTA,direct_population,2096,596982,0,,0,0,6,465,18857
37,C049,FEDERICO ERRÁZURIZ (EX SERRANO),direct_population,1527,598509,0,,0,3939,53,332,19189
38,I09,GENERAL VELASQUEZ,direct_population,735,599244,0,,0,4221,71,643,19832
39,C021,LAUTARO,direct_population,658,599902,0,,0,187,16,342,20174
40,C025,LOS DURAZNOS,direct_population,238,600140,0,,0,68,2,128,20302
41,C016,JUANITA,direct_population,21,600161,0,,0,6,26,123,20425
42,C046,EUCALIPTOS,direct_population,16,600177,0,,0,0,31,206,20631
